Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,5.080000,5.165000,5.040000,5.060000,5.060000,1433098
2019-09-17,4.960000,5.010000,4.870000,4.880000,4.880000,2562978
2019-09-18,4.850000,4.875000,4.760000,4.770000,4.770000,2647505
2019-09-19,4.710000,4.790000,4.690000,4.690000,4.690000,2521289
2019-09-20,4.700000,4.755000,4.635000,4.670000,4.670000,3591465
2019-09-23,4.690000,4.720000,4.610000,4.610000,4.610000,2083513
2019-09-24,4.590000,4.610000,4.490000,4.520000,4.520000,2395988
2019-09-25,4.430000,4.520000,4.430000,4.440000,4.440000,1754442
2019-09-26,4.410000,4.440000,4.310000,4.330000,4.330000,2757014
2019-09-27,4.340000,4.475000,4.330000,4.460000,4.460000,2237311
2019-09-30,6.600000,6.940000,5.450000,5.640000,5.640000,14168096
2019-10-01,5.750000,6.500000,5.670000,6.500000,6.500000,15567689
2019-10-02,6.350000,6.630000,6.240000,6.480000,6.480000,10446745
2019-10-03,6.220000,6.585000,6.220000,6.460000,6.460000,4005392
2019-10-04,6.460000,6.460000,6.460000,6.460000,6.460000,0
2019-10-07,6.580000,6.600000,6.360000,6.550000,6.550000,2050533
2019-10-08,6.590000,6.790000,6.560000,6.720000,6.720000,5118747
2019-10-09,6.680000,6.750000,6.590000,6.650000,6.650000,5854668
2019-10-10,6.660000,6.780000,6.650000,6.760000,6.760000,2507639
2019-10-11,6.710000,6.780000,6.410000,6.480000,6.480000,2327635
2019-10-14,6.510000,6.680000,6.480000,6.640000,6.640000,3018585
2019-10-15,6.600000,6.700000,6.550000,6.620000,6.620000,3401894
2019-10-16,6.680000,6.720000,6.500000,6.560000,6.560000,3566177
2019-10-17,6.560000,6.655000,6.470000,6.580000,6.580000,2100163
2019-10-18,6.440000,6.480000,6.180000,6.220000,6.220000,3624247
2019-10-21,6.190000,6.280000,6.170000,6.250000,6.250000,1433143
2019-10-22,6.180000,6.395000,6.110000,6.300000,6.300000,3405970
2019-10-23,6.200000,6.320000,6.175000,6.290000,6.290000,1883078
2019-10-24,6.250000,6.320000,6.155000,6.170000,6.170000,1202330
2019-10-25,6.240000,6.320000,6.220000,6.270000,6.270000,874564
2019-10-28,6.290000,6.420000,6.210000,6.330000,6.330000,983128
2019-10-29,6.300000,6.445000,6.230000,6.280000,6.280000,1148996
2019-10-30,6.200000,6.255000,6.160000,6.200000,6.200000,1898946
2019-10-31,6.150000,6.220000,5.910000,5.920000,5.920000,3690842
2019-11-01,5.850000,5.980000,5.780000,5.950000,5.950000,2204199
2019-11-04,6.040000,6.070000,5.940000,5.980000,5.980000,1752243
2019-11-05,5.980000,6.130000,5.980000,6.090000,6.090000,1447594
2019-11-06,6.080000,6.205000,6.080000,6.150000,6.150000,2438628
2019-11-07,6.130000,6.410000,6.115000,6.350000,6.350000,2671391
2019-11-08,6.320000,6.410000,6.275000,6.390000,6.390000,1607218
2019-11-11,6.400000,6.400000,6.230000,6.350000,6.350000,1907729
2019-11-12,6.350000,6.380000,6.200000,6.240000,6.240000,1055130
2019-11-13,6.230000,6.270000,6.110000,6.200000,6.200000,1094845
2019-11-14,6.160000,6.240000,6.105000,6.150000,6.150000,913351
2019-11-15,6.210000,6.455000,6.210000,6.410000,6.410000,1308524
2019-11-18,6.330000,6.370000,6.020000,6.080000,6.080000,1742864
2019-11-19,6.070000,6.190000,6.040000,6.180000,6.180000,1322339
2019-11-20,6.150000,6.150000,5.985000,6.080000,6.080000,984521
2019-11-21,6.040000,6.150000,6.030000,6.090000,6.090000,1174214
2019-11-22,6.110000,6.230000,6.110000,6.160000,6.160000,919118
2019-11-25,5.670000,5.670000,4.955000,5.080000,5.080000,5458408
2019-11-26,5.010000,5.090000,4.950000,4.980000,4.980000,4683360
2019-11-27,4.930000,4.970000,4.830000,4.840000,4.840000,3497834
2019-11-28,4.870000,5.020000,4.860000,5.000000,5.000000,2196630
2019-11-29,5.060000,5.090000,4.945000,4.950000,4.950000,2291715
2019-12-02,5.030000,5.150000,4.990000,5.110000,5.110000,2446381
2019-12-03,5.080000,5.105000,5.020000,5.060000,5.060000,2482946
2019-12-04,5.000000,5.050000,4.970000,5.050000,5.050000,2648800
2019-12-05,5.080000,5.120000,4.910000,4.970000,4.970000,2115407
2019-12-06,4.940000,5.140000,4.930000,5.020000,5.020000,2255980
2019-12-09,5.080000,5.165000,5.000000,5.160000,5.160000,1665446
2019-12-10,5.120000,5.220000,5.120000,5.130000,5.130000,1401153
2019-12-11,5.100000,5.320000,5.090000,5.280000,5.280000,1264798
2019-12-12,5.340000,5.430000,5.330000,5.390000,5.390000,2000391
2019-12-13,5.380000,5.520000,5.370000,5.520000,5.520000,1563114
2019-12-16,5.520000,5.780000,5.480000,5.770000,5.770000,1768862
2019-12-17,5.800000,5.830000,5.635000,5.740000,5.740000,1508239
2019-12-18,5.680000,5.820000,5.595000,5.800000,5.800000,1575586
2019-12-19,5.850000,5.850000,5.720000,5.810000,5.810000,1931327
2019-12-20,5.740000,5.890000,5.740000,5.850000,5.850000,5616801
2019-12-23,5.850000,5.860000,5.740000,5.740000,5.740000,1164136
2019-12-24,5.830000,5.830000,5.670000,5.680000,5.680000,684245
2019-12-27,5.680000,5.940000,5.660000,5.940000,5.940000,752324
2019-12-30,5.890000,5.930000,5.780000,5.810000,5.810000,749815
2019-12-31,5.760000,5.920000,5.720000,5.790000,5.790000,791659
2020-01-02,5.760000,6.240000,5.760000,6.130000,6.130000,2464523
2020-01-03,6.150000,6.240000,6.100000,6.100000,6.100000,851733
2020-01-06,6.010000,6.050000,5.920000,5.930000,5.930000,1435862
2020-01-07,5.940000,6.150000,5.930000,6.130000,6.130000,1173991
2020-01-08,6.050000,6.120000,5.955000,6.020000,6.020000,961833
2020-01-09,6.090000,6.165000,6.010000,6.080000,6.080000,1112936
2020-01-10,6.050000,6.110000,6.015000,6.100000,6.100000,834931
2020-01-13,6.050000,6.100000,6.005000,6.020000,6.020000,676441
2020-01-14,6.000000,6.070000,5.940000,5.950000,5.950000,1678486
2020-01-15,6.020000,6.480000,6.010000,6.200000,6.200000,3513920
2020-01-16,6.310000,6.310000,6.075000,6.090000,6.090000,1518230
2020-01-17,5.200000,5.660000,5.140000,5.480000,5.480000,5071929
2020-01-20,5.520000,5.590000,5.430000,5.500000,5.500000,1692357
2020-01-21,5.490000,5.510000,5.450000,5.490000,5.490000,910199
2020-01-22,5.510000,5.620000,5.460000,5.610000,5.610000,1574408
2020-01-23,5.610000,5.700000,5.570000,5.670000,5.670000,840643
2020-01-24,5.680000,5.770000,5.605000,5.640000,5.640000,1005461
2020-01-28,5.600000,5.630000,5.460000,5.570000,5.570000,976160
2020-01-29,5.560000,5.700000,5.530000,5.600000,5.600000,1024569
2020-01-30,5.690000,5.690000,5.460000,5.550000,5.550000,1428492
2020-01-31,5.500000,5.660000,5.470000,5.530000,5.530000,1323886
2020-02-03,5.400000,5.450000,5.250000,5.270000,5.270000,1949815
2020-02-04,5.270000,5.570000,5.270000,5.550000,5.550000,1697471
2020-02-05,5.530000,5.630000,5.440000,5.610000,5.610000,1379403
2020-02-06,5.650000,5.930000,5.640000,5.850000,5.850000,1672098
2020-02-07,5.860000,5.920000,5.660000,5.740000,5.740000,733711
2020-02-10,5.700000,5.830000,5.660000,5.780000,5.780000,748114
2020-02-11,5.830000,5.870000,5.780000,5.800000,5.800000,1033872
2020-02-12,5.740000,5.870000,5.670000,5.820000,5.820000,782176
2020-02-13,5.830000,5.930000,5.830000,5.880000,5.880000,719945
