Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,6.200000,6.250000,6.160000,6.160000,6.160000,1447764
2019-09-17,6.130000,6.235000,6.055000,6.200000,6.200000,1647888
2019-09-18,6.250000,6.315000,6.170000,6.170000,6.170000,1281350
2019-09-19,6.220000,6.310000,6.210000,6.290000,6.290000,1663826
2019-09-20,6.300000,6.390000,6.220000,6.220000,6.220000,1039093
2019-09-23,6.280000,6.310000,6.240000,6.280000,6.280000,941836
2019-09-24,6.260000,6.290000,6.210000,6.210000,6.210000,690735
2019-09-25,6.180000,6.200000,6.120000,6.120000,6.120000,935786
2019-09-26,6.220000,6.300000,6.120000,6.130000,6.130000,954682
2019-09-27,6.180000,6.260000,6.130000,6.130000,6.130000,930605
2019-09-30,6.120000,6.190000,6.070000,6.160000,6.160000,1002242
2019-10-01,6.160000,6.330000,6.160000,6.280000,6.280000,901191
2019-10-02,6.160000,6.230000,6.100000,6.130000,6.130000,1158207
2019-10-03,6.010000,6.020000,5.910000,5.940000,5.940000,1746531
2019-10-04,5.940000,5.940000,5.940000,5.940000,5.940000,0
2019-10-07,6.100000,6.200000,6.060000,6.200000,6.200000,518432
2019-10-08,6.250000,6.360000,6.210000,6.320000,6.320000,886647
2019-10-09,6.290000,6.345000,6.200000,6.320000,6.320000,1081946
2019-10-10,6.320000,6.330000,6.220000,6.260000,6.260000,1089117
2019-10-11,6.330000,6.380000,6.240000,6.330000,6.330000,858218
2019-10-14,6.370000,6.440000,6.360000,6.420000,6.420000,621659
2019-10-15,6.420000,6.480000,6.390000,6.410000,6.410000,824751
2019-10-16,6.480000,6.510000,6.450000,6.500000,6.500000,1864446
2019-10-17,6.530000,6.560000,6.450000,6.450000,6.450000,791045
2019-10-18,6.430000,6.545000,6.420000,6.520000,6.520000,953311
2019-10-21,6.510000,6.520000,6.410000,6.480000,6.480000,833115
2019-10-22,6.490000,6.520000,6.310000,6.340000,6.340000,1201012
2019-10-23,6.330000,6.375000,6.260000,6.300000,6.300000,1006906
2019-10-24,6.480000,6.480000,6.300000,6.300000,6.300000,1247470
2019-10-25,6.380000,6.470000,6.350000,6.440000,6.440000,786412
2019-10-28,6.490000,6.520000,6.410000,6.430000,6.430000,825242
2019-10-29,6.510000,6.540000,6.440000,6.440000,6.440000,1286084
2019-10-30,6.300000,6.430000,6.290000,6.330000,6.330000,1400148
2019-10-31,6.370000,6.490000,6.360000,6.410000,6.410000,1118850
2019-11-01,6.410000,6.540000,6.350000,6.490000,6.490000,1391573
2019-11-04,6.530000,6.630000,6.520000,6.580000,6.580000,929345
2019-11-05,6.620000,6.630000,6.450000,6.450000,6.450000,743036
2019-11-06,6.460000,6.480000,6.400000,6.430000,6.430000,1011208
2019-11-07,6.390000,6.600000,6.385000,6.590000,6.590000,1059195
2019-11-08,6.570000,6.640000,6.560000,6.600000,6.600000,1091699
2019-11-11,6.610000,6.710000,6.570000,6.650000,6.650000,939012
2019-11-12,6.620000,6.700000,6.570000,6.590000,6.590000,921633
2019-11-13,6.530000,6.720000,6.510000,6.600000,6.600000,3449665
2019-11-14,6.560000,6.670000,6.560000,6.660000,6.660000,3158018
2019-11-15,6.700000,7.055000,6.700000,6.930000,6.930000,3819483
2019-11-18,6.930000,6.980000,6.735000,6.800000,6.800000,2097233
2019-11-19,6.810000,6.840000,6.720000,6.800000,6.800000,1076515
2019-11-20,6.800000,6.840000,6.630000,6.640000,6.640000,1578615
2019-11-21,6.440000,6.490000,6.250000,6.390000,6.390000,2463240
2019-11-22,6.420000,6.550000,6.400000,6.510000,6.510000,3087355
2019-11-25,6.470000,6.630000,6.460000,6.510000,6.510000,4713291
2019-11-26,6.540000,6.600000,6.475000,6.490000,6.490000,1140663
2019-11-27,6.500000,6.550000,6.420000,6.500000,6.500000,1327864
2019-11-28,6.550000,6.615000,6.510000,6.540000,6.540000,689714
2019-11-29,6.640000,6.650000,6.560000,6.610000,6.610000,765599
2019-12-02,6.660000,6.690000,6.520000,6.520000,6.520000,947549
2019-12-03,6.480000,6.480000,6.340000,6.390000,6.390000,1728405
2019-12-04,6.310000,6.350000,6.235000,6.240000,6.240000,1976793
2019-12-05,6.300000,6.400000,6.300000,6.390000,6.390000,1868047
2019-12-06,6.400000,6.490000,6.350000,6.480000,6.480000,1018610
2019-12-09,6.540000,6.620000,6.540000,6.570000,6.570000,6476092
2019-12-10,6.530000,6.690000,6.485000,6.670000,6.670000,1343240
2019-12-11,6.660000,6.765000,6.620000,6.710000,6.710000,2317241
2019-12-12,6.660000,6.690000,6.580000,6.610000,6.610000,1143296
2019-12-13,6.600000,6.720000,6.590000,6.710000,6.710000,2746260
2019-12-16,6.750000,6.920000,6.730000,6.840000,6.840000,1099675
2019-12-17,6.850000,6.940000,6.810000,6.870000,6.870000,1219200
2019-12-18,6.840000,6.860000,6.720000,6.750000,6.750000,1651479
2019-12-19,6.750000,6.790000,6.670000,6.700000,6.700000,2120491
2019-12-20,6.620000,6.840000,6.620000,6.790000,6.790000,1366251
2019-12-23,6.800000,6.830000,6.680000,6.700000,6.700000,793477
2019-12-24,6.730000,6.735000,6.640000,6.670000,6.670000,422832
2019-12-27,6.690000,6.750000,6.660000,6.750000,6.750000,277979
2019-12-30,6.780000,6.830000,6.725000,6.770000,6.770000,876468
2019-12-31,6.670000,6.680000,6.580000,6.580000,6.580000,590090
2020-01-02,6.580000,6.600000,6.485000,6.530000,6.530000,696976
2020-01-03,6.710000,6.740000,6.550000,6.550000,6.550000,925815
2020-01-06,6.490000,6.580000,6.430000,6.560000,6.560000,900548
2020-01-07,6.650000,6.740000,6.590000,6.730000,6.730000,801577
2020-01-08,6.730000,6.730000,6.480000,6.570000,6.570000,1197325
2020-01-09,6.600000,6.655000,6.500000,6.530000,6.530000,1177794
2020-01-10,6.600000,6.620000,6.500000,6.520000,6.520000,1354137
2020-01-13,6.500000,6.650000,6.490000,6.650000,6.650000,896017
2020-01-14,6.630000,6.650000,6.570000,6.630000,6.630000,1871661
2020-01-15,6.690000,6.870000,6.680000,6.870000,6.870000,1152462
2020-01-16,6.940000,6.990000,6.895000,6.960000,6.960000,1092579
2020-01-17,6.960000,7.130000,6.950000,7.100000,7.100000,2531794
2020-01-20,7.160000,7.355000,7.160000,7.320000,7.320000,3042454
2020-01-21,7.380000,7.450000,7.370000,7.440000,7.440000,1563841
2020-01-22,7.430000,7.540000,7.370000,7.480000,7.480000,2529909
2020-01-23,7.460000,7.540000,7.430000,7.500000,7.500000,2171366
2020-01-24,7.520000,7.560000,7.490000,7.540000,7.540000,1392382
2020-01-28,7.200000,7.540000,7.160000,7.500000,7.500000,1907412
2020-01-29,7.540000,7.680000,7.480000,7.480000,7.480000,2330030
2020-01-30,7.550000,7.590000,7.475000,7.580000,7.580000,2142539
2020-01-31,7.600000,7.710000,7.530000,7.590000,7.590000,2054389
2020-02-03,7.460000,7.575000,7.430000,7.510000,7.510000,1974100
