Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,4.385440,4.385440,4.318410,4.347140,4.074343,182205
2018-01-31,4.337560,4.404590,4.294470,4.385440,4.110240,502480
2018-02-01,4.404590,4.428520,4.366290,4.385440,4.110240,193138
2018-02-02,4.366290,4.404590,4.347140,4.385440,4.110240,79091
2018-02-05,4.404590,4.404590,4.241810,4.308830,4.038437,310222
2018-02-06,4.184360,4.203510,4.069450,4.203510,3.939726,644273
2018-02-07,4.136480,4.237020,4.117330,4.193930,3.930748,632854
2018-02-08,4.146060,4.260960,4.146060,4.260960,3.993571,199936
2018-02-09,4.088600,4.146060,4.088600,4.126910,3.867934,246213
2018-02-12,4.117330,4.155630,4.055090,4.126910,3.867934,345004
2018-02-13,4.136480,4.251380,4.102970,4.251380,3.984592,248446
2018-02-14,4.222660,4.241810,4.126910,4.146060,3.885881,133181
2018-02-15,4.213080,4.213080,4.126910,4.203510,3.939726,256556
2018-02-16,4.203510,4.299260,4.203510,4.232230,3.966644,129562
2018-02-19,4.251380,4.490760,4.251380,4.423740,4.146136,1031937
2018-02-20,4.366290,4.471610,4.347140,4.404590,4.128188,657858
2018-02-21,4.366290,4.500340,4.337560,4.423740,4.146136,978685
2018-02-22,4.423740,4.452460,4.404590,4.414160,4.137157,698518
2018-02-23,4.356710,4.385440,4.308830,4.337560,4.164424,305438
2018-02-26,4.356710,4.390220,4.308830,4.347140,4.173621,444099
2018-02-27,4.385440,4.385440,4.289680,4.327980,4.155226,235942
2018-02-28,4.318410,4.356710,4.289680,4.308830,4.136841,308119
2018-03-01,4.289680,4.327980,4.174780,4.184360,4.017339,253439
2018-03-02,4.165210,4.174780,4.069450,4.117330,3.952985,433541
2018-03-05,4.136480,4.213080,4.126910,4.193930,4.026527,804700
2018-03-06,4.213080,4.337560,4.193930,4.327980,4.155226,444758
2018-03-07,4.299260,4.332770,4.260960,4.327980,4.155226,352442
2018-03-08,4.366290,4.390220,4.356710,4.375860,4.201195,467636
2018-03-09,4.356710,4.418950,4.356710,4.404590,4.228779,410625
2018-03-12,4.404590,4.433310,4.390220,4.395010,4.219581,272125
2018-03-13,4.385440,4.414160,4.337560,4.337560,4.164424,197639
2018-03-14,4.318410,4.327980,4.251380,4.280110,4.109267,180215
2018-03-15,4.270530,4.289680,4.203510,4.241810,4.072496,285507
2018-03-16,4.232230,4.280110,4.203510,4.260960,4.090881,394833
2018-03-19,4.347140,4.375860,4.260960,4.366290,4.192008,234935
2018-03-20,4.327980,4.395010,4.308830,4.385440,4.210393,332301
2018-03-21,4.395010,4.452460,4.366290,4.433310,4.256352,743672
2018-03-22,4.385440,4.457250,4.337560,4.433310,4.256352,604240
2018-03-23,4.375860,4.433310,4.375860,4.414160,4.237967,376740
2018-03-26,4.404590,4.433310,4.356710,4.414160,4.237967,268931
