Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,3.220000,3.250000,3.220000,3.230000,2.981964,2322178
2018-01-31,3.220000,3.260000,3.210000,3.260000,3.009660,2266270
2018-02-01,3.270000,3.295000,3.250000,3.260000,3.009660,3322604
2018-02-02,3.250000,3.270000,3.240000,3.260000,3.009660,2061668
2018-02-05,3.250000,3.270000,3.210000,3.210000,2.963499,3175170
2018-02-06,3.150000,3.180000,3.110000,3.150000,2.908107,4048660
2018-02-07,3.190000,3.220000,3.180000,3.200000,2.954267,3955603
2018-02-08,3.170000,3.250000,3.170000,3.250000,3.000428,2168850
2018-02-09,3.200000,3.210000,3.170000,3.200000,2.954267,4574369
2018-02-12,3.200000,3.240000,3.190000,3.210000,2.963499,4006336
2018-02-13,3.200000,3.220000,3.170000,3.190000,2.945035,3056213
2018-02-14,3.290000,3.345000,3.260000,3.290000,3.037356,4217490
2018-02-15,3.360000,3.390000,3.350000,3.350000,3.092748,4972073
2018-02-16,3.350000,3.350000,3.285000,3.300000,3.046588,3430269
2018-02-19,3.330000,3.350000,3.310000,3.350000,3.092748,2743821
2018-02-20,3.350000,3.380000,3.330000,3.360000,3.101981,1667645
2018-02-21,3.340000,3.400000,3.320000,3.400000,3.138909,1770928
2018-02-22,3.450000,3.500000,3.420000,3.450000,3.185069,3303816
2018-02-23,3.480000,3.495000,3.460000,3.490000,3.221998,1948086
2018-02-26,3.500000,3.510000,3.460000,3.470000,3.203533,2235794
2018-02-27,3.500000,3.510000,3.420000,3.430000,3.166605,3585701
2018-02-28,3.360000,3.380000,3.300000,3.300000,3.100830,4417465
2018-03-01,3.320000,3.370000,3.320000,3.350000,3.147812,2405785
2018-03-02,3.330000,3.360000,3.300000,3.350000,3.147812,3564323
2018-03-05,3.340000,3.350000,3.300000,3.300000,3.100830,1647918
2018-03-06,3.320000,3.340000,3.290000,3.320000,3.119623,2737953
2018-03-07,3.330000,3.390000,3.325000,3.340000,3.138416,3400312
2018-03-08,3.360000,3.420000,3.350000,3.400000,3.194795,2575662
2018-03-09,3.400000,3.450000,3.390000,3.420000,3.213588,2556113
2018-03-12,3.440000,3.470000,3.420000,3.420000,3.213588,3292045
2018-03-13,3.410000,3.415000,3.390000,3.400000,3.194795,2141231
2018-03-14,3.400000,3.400000,3.350000,3.370000,3.166605,2872172
2018-03-15,3.330000,3.380000,3.330000,3.360000,3.157209,3171116
2018-03-16,3.350000,3.370000,3.330000,3.350000,3.147812,3204445
2018-03-19,3.380000,3.380000,3.330000,3.350000,3.147812,2120168
2018-03-20,3.350000,3.370000,3.290000,3.340000,3.138416,2936696
2018-03-21,3.360000,3.380000,3.340000,3.350000,3.147812,2078006
2018-03-22,3.330000,3.350000,3.300000,3.320000,3.119623,2610527
2018-03-23,3.300000,3.300000,3.250000,3.280000,3.082037,2479702
2018-03-26,3.270000,3.285000,3.240000,3.280000,3.082037,1678299
2018-03-27,3.280000,3.300000,3.270000,3.280000,3.082037,1500658
2018-03-28,3.220000,3.310000,3.220000,3.290000,3.091434,1716358
2018-03-29,3.270000,3.320000,3.270000,3.300000,3.100830,1641775
2018-04-03,3.230000,3.275000,3.230000,3.250000,3.053848,1672286
2018-04-04,3.240000,3.280000,3.230000,3.270000,3.072641,2321377
2018-04-05,3.270000,3.330000,3.270000,3.300000,3.100830,1749001
2018-04-06,3.300000,3.320000,3.280000,3.310000,3.110226,1715384
2018-04-09,3.290000,3.350000,3.275000,3.330000,3.129019,2387318
2018-04-10,3.310000,3.360000,3.300000,3.340000,3.138416,1073165
2018-04-11,3.340000,3.340000,3.290000,3.300000,3.100830,1588086
2018-04-12,3.280000,3.310000,3.250000,3.280000,3.082037,1694376
2018-04-13,3.280000,3.290000,3.255000,3.270000,3.072641,1875707
2018-04-16,3.270000,3.290000,3.260000,3.280000,3.082037,1503880
2018-04-17,3.270000,3.310000,3.270000,3.300000,3.100830,1352418
2018-04-18,3.300000,3.300000,3.250000,3.260000,3.063244,2401115
2018-04-19,3.280000,3.280000,3.240000,3.240000,3.044451,6732859
2018-04-20,3.240000,3.245000,3.220000,3.230000,3.035055,2454488
2018-04-23,3.240000,3.260000,3.220000,3.250000,3.053848,2272362
2018-04-24,3.270000,3.290000,3.260000,3.270000,3.072641,6845461
2018-04-26,3.280000,3.350000,3.280000,3.330000,3.129019,4200644
2018-04-27,3.350000,3.370000,3.310000,3.320000,3.119623,14879914
2018-04-30,3.340000,3.360000,3.310000,3.340000,3.138416,1850884
2018-05-01,3.350000,3.350000,3.310000,3.330000,3.129019,1606852
2018-05-02,3.310000,3.360000,3.310000,3.330000,3.129019,2404181
2018-05-03,3.350000,3.360000,3.310000,3.330000,3.129019,2412118
2018-05-04,3.340000,3.345000,3.310000,3.320000,3.119623,2128518
2018-05-07,3.340000,3.360000,3.320000,3.320000,3.119623,2004581
2018-05-08,3.320000,3.355000,3.310000,3.310000,3.110226,2287088
2018-05-09,3.330000,3.390000,3.310000,3.370000,3.166605,4473050
