Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,7.210000,7.440000,7.100000,7.230000,7.230000,2259080
2018-01-31,7.070000,7.190000,6.970000,7.180000,7.180000,1753889
2018-02-01,7.200000,7.350000,7.020000,7.150000,7.150000,1917190
2018-02-02,7.090000,7.290000,7.010000,7.120000,7.120000,1335558
2018-02-05,6.720000,6.900000,6.560000,6.600000,6.600000,2585914
2018-02-06,6.100000,6.400000,6.010000,6.300000,6.300000,3818665
2018-02-07,6.700000,6.790000,6.520000,6.530000,6.530000,1838813
2018-02-08,6.500000,6.550000,6.300000,6.360000,6.360000,2083140
2018-02-09,6.100000,6.490000,6.090000,6.340000,6.340000,2310527
2018-02-12,6.370000,6.540000,6.350000,6.360000,6.360000,2129323
2018-02-13,6.630000,6.840000,6.520000,6.800000,6.800000,2537575
2018-02-14,6.850000,6.850000,6.635000,6.680000,6.680000,1379781
2018-02-15,6.880000,6.880000,6.720000,6.740000,6.740000,1800171
2018-02-16,6.800000,6.840000,6.650000,6.720000,6.720000,1609754
2018-02-19,6.700000,6.780000,6.610000,6.750000,6.750000,973519
2018-02-20,6.670000,6.750000,6.630000,6.700000,6.700000,675484
2018-02-21,6.580000,6.670000,6.570000,6.600000,6.600000,1146916
2018-02-22,6.630000,6.790000,6.550000,6.660000,6.660000,1993793
2018-02-23,6.610000,6.670000,6.380000,6.550000,6.550000,2112179
2018-02-26,6.550000,6.990000,6.500000,6.950000,6.950000,4957152
2018-02-27,6.610000,6.680000,6.260000,6.590000,6.590000,3577908
2018-02-28,6.640000,6.790000,6.490000,6.540000,6.540000,2085716
2018-03-01,6.320000,6.335000,5.950000,6.140000,6.140000,5026649
2018-03-02,5.880000,6.000000,5.700000,5.880000,5.880000,5030727
2018-03-05,5.800000,5.930000,5.670000,5.680000,5.680000,1842395
2018-03-06,5.740000,5.920000,5.690000,5.700000,5.700000,1878181
2018-03-07,5.880000,5.880000,5.620000,5.630000,5.630000,1980604
2018-03-08,5.680000,5.930000,5.640000,5.810000,5.810000,2123820
2018-03-09,5.770000,5.890000,5.660000,5.690000,5.690000,1644612
2018-03-12,5.800000,5.930000,5.770000,5.850000,5.850000,2016863
2018-03-13,5.830000,6.090000,5.810000,5.900000,5.900000,1937894
2018-03-14,5.840000,6.280000,5.830000,6.230000,6.230000,2903916
2018-03-15,6.160000,6.265000,6.080000,6.170000,6.170000,2102206
2018-03-16,6.060000,6.200000,5.990000,6.030000,6.030000,1978181
2018-03-19,5.960000,6.160000,5.900000,5.910000,5.910000,1425276
2018-03-20,5.750000,5.820000,5.630000,5.790000,5.790000,1704094
2018-03-21,5.800000,5.890000,5.800000,5.830000,5.830000,1217182
2018-03-22,5.920000,6.140000,5.880000,6.020000,6.020000,1572232
2018-03-23,5.790000,5.985000,5.730000,5.830000,5.830000,1724999
2018-03-26,5.830000,5.880000,5.650000,5.720000,5.720000,2458364
2018-03-27,5.880000,6.010000,5.830000,5.990000,5.990000,2094202
2018-03-28,5.830000,5.890000,5.675000,5.710000,5.710000,1796862
2018-03-29,5.660000,5.670000,5.330000,5.360000,5.360000,2883850
2018-04-03,5.220000,5.480000,5.200000,5.420000,5.420000,1845448
2018-04-04,5.340000,5.430000,5.210000,5.240000,5.240000,1807905
2018-04-05,5.140000,5.200000,4.740000,4.740000,4.740000,3540999
2018-04-06,4.780000,5.070000,4.750000,5.010000,5.010000,3102154
2018-04-09,4.970000,4.990000,4.820000,4.930000,4.930000,2280572
2018-04-10,4.860000,5.045000,4.830000,5.000000,5.000000,1463752
2018-04-11,5.080000,5.080000,4.775000,4.780000,4.780000,1715145
2018-04-12,4.830000,4.880000,4.740000,4.770000,4.770000,2009441
2018-04-13,4.780000,4.880000,4.780000,4.850000,4.850000,1679444
2018-04-16,4.920000,4.960000,4.740000,4.800000,4.800000,1273740
2018-04-17,4.770000,5.010000,4.770000,4.910000,4.910000,2413290
2018-04-18,4.910000,5.130000,4.790000,5.090000,5.090000,1799218
2018-04-19,5.230000,5.420000,5.230000,5.360000,5.360000,2732560
2018-04-20,5.420000,5.440000,5.240000,5.310000,5.310000,2216323
