Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,7.230000,7.300000,7.190000,7.250000,7.010902,4013970
2017-01-31,7.180000,7.210000,7.010000,7.090000,6.856178,7207250
2017-02-01,7.050000,7.240000,7.050000,7.200000,6.962551,3770165
2017-02-02,7.220000,7.250000,7.135000,7.160000,6.923870,5247264
2017-02-03,7.120000,7.155000,6.980000,7.030000,6.798157,4827719
2017-02-06,7.020000,7.225000,7.010000,7.100000,6.865849,7818306
2017-02-07,6.970000,7.065000,6.970000,7.040000,6.807827,3771414
2017-02-08,6.950000,7.000000,6.890000,6.900000,6.672444,4925506
2017-02-09,6.910000,7.140000,6.910000,7.100000,6.865849,5493106
2017-02-10,7.160000,7.280000,7.160000,7.220000,6.981891,3884911
2017-02-13,7.270000,7.340000,7.260000,7.290000,7.049583,3318016
2017-02-14,7.290000,7.360000,7.225000,7.300000,7.059253,3506261
2017-02-15,7.310000,7.470000,7.150000,7.250000,7.010902,7043851
2017-02-16,7.250000,7.250000,7.040000,7.090000,6.856178,6328163
2017-02-17,7.000000,7.050000,6.840000,6.870000,6.643434,10522354
2017-02-20,6.800000,6.900000,6.760000,6.870000,6.643434,5026338
2017-02-21,6.900000,6.925000,6.800000,6.900000,6.672444,5499621
2017-02-22,6.980000,7.000000,6.905000,6.980000,6.749806,8346052
2017-02-23,6.940000,6.940000,6.800000,6.810000,6.585413,6042948
2017-02-24,6.820000,6.850000,6.550000,6.600000,6.382338,8352238
2017-02-27,6.600000,6.600000,6.460000,6.530000,6.314647,3485693
2017-02-28,6.530000,6.690000,6.520000,6.560000,6.343657,6114889
2017-03-01,6.510000,6.540000,6.460000,6.480000,6.266296,5179341
2017-03-02,6.560000,6.590000,6.460000,6.480000,6.266296,6988126
2017-03-03,6.440000,6.440000,6.350000,6.350000,6.140583,4645546
2017-03-06,6.290000,6.390000,6.210000,6.300000,6.092232,5986520
2017-03-07,6.250000,6.350000,6.240000,6.310000,6.101902,4858231
2017-03-08,6.310000,6.440000,6.310000,6.420000,6.208274,7731845
2017-03-09,6.300000,6.350000,6.250000,6.350000,6.140583,6430467
2017-03-10,6.390000,6.440000,6.330000,6.400000,6.188934,5757546
2017-03-13,6.350000,6.380000,6.300000,6.360000,6.150253,3981106
2017-03-14,6.450000,6.610000,6.450000,6.540000,6.324317,5601402
2017-03-15,6.540000,6.580000,6.500000,6.570000,6.353328,4663459
2017-03-16,6.700000,6.810000,6.650000,6.810000,6.585413,9742757
2017-03-17,6.830000,6.830000,6.650000,6.660000,6.440360,7661609
2017-03-20,6.650000,6.650000,6.540000,6.610000,6.392008,2721441
2017-03-21,6.580000,6.710000,6.580000,6.650000,6.430689,4902492
2017-03-22,6.540000,6.640000,6.520000,6.580000,6.362998,4360263
2017-03-23,6.600000,6.740000,6.570000,6.720000,6.498381,5950367
2017-03-24,6.780000,6.780000,6.640000,6.690000,6.469370,3200000
2017-03-27,6.650000,6.870000,6.600000,6.840000,6.614423,4559972
2017-03-28,6.930000,6.960000,6.870000,6.930000,6.701455,4097557
2017-03-29,6.980000,7.080000,6.980000,7.080000,6.846508,9366513
2017-03-30,7.150000,7.205000,7.090000,7.140000,6.904530,5683904
2017-03-31,7.130000,7.160000,7.050000,7.050000,6.817498,6070001
2017-04-03,7.010000,7.050000,6.930000,7.040000,6.807827,3137113
2017-04-04,7.040000,7.130000,7.010000,7.020000,6.788487,2719322
2017-04-05,7.050000,7.130000,7.025000,7.120000,6.885189,5318173
2017-04-06,7.090000,7.140000,7.030000,7.140000,6.904530,4148838
2017-04-07,7.150000,7.390000,7.140000,7.310000,7.068923,8024144
2017-04-10,7.360000,7.480000,7.340000,7.450000,7.204306,6404274
2017-04-11,7.500000,7.535000,7.450000,7.460000,7.213976,5067214
2017-04-12,7.460000,7.565000,7.455000,7.520000,7.271997,6701425
2017-04-13,7.480000,7.550000,7.460000,7.520000,7.271997,4719954
2017-04-18,7.550000,7.550000,7.305000,7.400000,7.155955,6579231
2017-04-19,7.360000,7.450000,7.320000,7.380000,7.136615,6324514
2017-04-20,7.400000,7.410000,7.320000,7.360000,7.117274,3957518
2017-04-21,7.400000,7.480000,7.390000,7.420000,7.175295,3288424
2017-04-24,7.450000,7.500000,7.390000,7.470000,7.223646,2877772
2017-04-26,7.500000,7.550000,7.490000,7.530000,7.281668,4709667
2017-04-27,7.370000,7.420000,7.170000,7.260000,7.020572,7706659
2017-04-28,7.200000,7.270000,7.130000,7.180000,6.943210,5842044
2017-05-01,7.180000,7.180000,7.050000,7.170000,6.933540,4392499
2017-05-02,7.170000,7.360000,7.150000,7.360000,7.117274,6874068
