Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,7.720000,7.790000,7.580000,7.730000,7.730000,11991228
2019-09-17,7.730000,7.850000,7.700000,7.760000,7.760000,6113715
2019-09-18,7.590000,7.680000,7.485000,7.600000,7.600000,11640170
2019-09-19,7.650000,7.685000,7.540000,7.600000,7.600000,7144368
2019-09-20,7.630000,7.660000,7.575000,7.610000,7.610000,6554310
2019-09-23,7.690000,7.740000,7.610000,7.700000,7.700000,4880981
2019-09-24,7.700000,7.790000,7.660000,7.680000,7.680000,3654747
2019-09-25,7.570000,7.590000,7.430000,7.470000,7.470000,8868209
2019-09-26,7.420000,7.490000,7.320000,7.380000,7.380000,7616111
2019-09-27,7.380000,7.410000,7.275000,7.350000,7.350000,11291026
2019-09-30,7.350000,7.390000,7.270000,7.320000,7.320000,5709515
2019-10-01,7.250000,7.310000,7.130000,7.190000,7.190000,9561808
2019-10-02,7.080000,7.200000,7.060000,7.170000,7.170000,6925842
2019-10-03,7.000000,7.040000,6.920000,7.010000,7.010000,5522051
2019-10-04,7.010000,7.010000,7.010000,7.010000,7.010000,0
2019-10-07,7.020000,7.100000,6.990000,7.070000,7.070000,2066176
2019-10-08,7.130000,7.135000,7.050000,7.090000,7.090000,2442260
2019-10-09,7.010000,7.030000,6.950000,6.980000,6.980000,3594193
2019-10-10,6.960000,7.010000,6.880000,6.910000,6.910000,3667106
2019-10-11,7.030000,7.070000,6.925000,6.950000,6.950000,2837973
2019-10-14,7.020000,7.155000,7.020000,7.120000,7.120000,4569224
2019-10-15,7.050000,7.140000,7.035000,7.120000,7.120000,3004450
2019-10-16,7.170000,7.240000,7.155000,7.190000,7.190000,3909269
2019-10-17,7.210000,7.270000,7.170000,7.180000,7.180000,3883085
2019-10-18,7.150000,7.215000,7.130000,7.190000,7.190000,3876062
2019-10-21,7.130000,7.210000,7.125000,7.160000,7.160000,4756543
2019-10-22,7.100000,7.175000,7.050000,7.090000,7.090000,3111709
2019-10-23,7.060000,7.170000,7.020000,7.140000,7.140000,4832298
2019-10-24,7.210000,7.280000,7.200000,7.220000,7.220000,4249986
2019-10-25,7.230000,7.285000,7.210000,7.250000,7.250000,4094994
2019-10-28,7.290000,7.390000,7.270000,7.290000,7.290000,2373670
2019-10-29,7.250000,7.320000,7.200000,7.270000,7.270000,2441720
2019-10-30,7.220000,7.280000,7.130000,7.180000,7.180000,5609255
2019-10-31,7.120000,7.200000,7.050000,7.160000,7.160000,3015163
2019-11-01,7.150000,7.190000,7.070000,7.190000,7.190000,3175870
2019-11-04,7.260000,7.315000,7.210000,7.230000,7.230000,3826842
2019-11-05,7.300000,7.315000,7.240000,7.280000,7.280000,2969488
2019-11-06,7.300000,7.440000,7.280000,7.420000,7.420000,5891425
2019-11-07,7.330000,7.380000,7.260000,7.340000,7.340000,6374383
2019-11-08,7.380000,7.440000,7.340000,7.380000,7.380000,2771316
2019-11-11,7.410000,7.450000,7.330000,7.400000,7.400000,3748659
2019-11-12,7.400000,7.410000,7.350000,7.400000,7.400000,2322115
2019-11-13,7.360000,7.370000,7.270000,7.320000,7.320000,3788640
2019-11-14,7.320000,7.340000,7.250000,7.330000,7.330000,4350779
2019-11-15,7.350000,7.395000,7.305000,7.370000,7.370000,2171339
2019-11-18,7.400000,7.410000,7.360000,7.380000,7.380000,2064149
2019-11-19,7.320000,7.360000,7.260000,7.360000,7.360000,2734887
2019-11-20,7.250000,7.260000,7.190000,7.230000,7.230000,3550472
2019-11-21,7.250000,7.260000,7.120000,7.160000,7.160000,4703016
2019-11-22,7.210000,7.310000,7.210000,7.240000,7.240000,3415136
2019-11-25,7.290000,7.340000,7.240000,7.300000,7.300000,2226099
2019-11-26,7.340000,7.400000,7.260000,7.290000,7.290000,4493260
2019-11-27,7.270000,7.395000,7.250000,7.370000,7.370000,3894960
2019-11-28,7.400000,7.460000,7.380000,7.380000,7.380000,3513235
2019-11-29,7.450000,7.490000,7.380000,7.440000,7.440000,6468908
2019-12-02,7.360000,7.400000,7.290000,7.300000,7.300000,4241163
2019-12-03,7.190000,7.210000,7.055000,7.100000,7.100000,5386614
2019-12-04,6.980000,7.030000,6.920000,7.000000,7.000000,6467557
2019-12-05,7.060000,7.140000,7.060000,7.100000,7.100000,3620158
2019-12-06,7.090000,7.120000,7.020000,7.060000,7.060000,2867433
2019-12-09,7.130000,7.260000,7.130000,7.230000,7.230000,4873126
2019-12-10,7.160000,7.250000,7.150000,7.190000,7.190000,2165110
2019-12-11,7.230000,7.330000,7.220000,7.320000,7.320000,4174512
2019-12-12,7.270000,7.310000,7.230000,7.290000,7.290000,5604340
2019-12-13,7.230000,7.370000,7.210000,7.350000,7.350000,5840076
2019-12-16,7.300000,7.400000,7.300000,7.360000,7.360000,3793684
2019-12-17,7.330000,7.360000,7.280000,7.310000,7.310000,4296324
2019-12-18,7.350000,7.595000,7.330000,7.550000,7.550000,6783804
2019-12-19,7.600000,7.600000,7.430000,7.440000,7.440000,7525005
2019-12-20,7.480000,7.490000,7.400000,7.420000,7.420000,5949419
2019-12-23,7.370000,7.420000,7.320000,7.330000,7.330000,1847418
2019-12-24,7.350000,7.440000,7.330000,7.380000,7.380000,1525871
2019-12-27,7.410000,7.435000,7.370000,7.420000,7.420000,921375
2019-12-30,7.400000,7.420000,7.320000,7.370000,7.370000,1829069
2019-12-31,7.300000,7.320000,7.200000,7.250000,7.250000,2728142
2020-01-02,7.190000,7.290000,7.190000,7.260000,7.260000,1907116
2020-01-03,7.310000,7.510000,7.270000,7.490000,7.490000,3776215
2020-01-06,7.510000,7.710000,7.510000,7.670000,7.670000,4949878
2020-01-07,7.730000,7.870000,7.720000,7.850000,7.850000,6236418
2020-01-08,7.860000,8.120000,7.860000,7.920000,7.920000,8065901
2020-01-09,7.830000,7.830000,7.720000,7.780000,7.780000,6899113
2020-01-10,7.800000,7.950000,7.790000,7.940000,7.940000,3463435
2020-01-13,7.850000,7.920000,7.780000,7.790000,7.790000,2409294
2020-01-14,7.840000,7.900000,7.810000,7.860000,7.860000,2874307
2020-01-15,7.870000,7.970000,7.860000,7.940000,7.940000,3970768
2020-01-16,7.970000,7.970000,7.835000,7.870000,7.870000,4012108
2020-01-17,7.890000,7.890000,7.830000,7.860000,7.860000,2518170
2020-01-20,7.870000,7.940000,7.850000,7.860000,7.860000,2588067
2020-01-21,7.860000,7.870000,7.760000,7.810000,7.810000,2913371
2020-01-22,7.800000,7.935000,7.765000,7.880000,7.880000,3681970
2020-01-23,7.810000,7.830000,7.660000,7.790000,7.790000,6555308
2020-01-24,7.780000,7.790000,7.640000,7.710000,7.710000,4690208
2020-01-28,7.350000,7.400000,6.980000,7.130000,7.130000,17951351
2020-01-29,7.150000,7.195000,6.960000,7.130000,7.130000,8130139
2020-01-30,7.110000,7.230000,7.100000,7.190000,7.190000,5914116
2020-01-31,7.180000,7.275000,7.180000,7.240000,7.240000,6467226
2020-02-03,6.510000,6.860000,6.410000,6.720000,6.720000,12783458
2020-02-04,6.580000,6.620000,6.530000,6.550000,6.550000,9911302
2020-02-05,6.580000,6.580000,6.440000,6.460000,6.460000,13499302
2020-02-06,6.570000,6.570000,6.450000,6.470000,6.470000,7632227
2020-02-07,6.450000,6.455000,6.380000,6.400000,6.400000,6898594
2020-02-10,6.330000,6.360000,6.180000,6.360000,6.360000,13375324
2020-02-11,6.450000,6.450000,6.290000,6.410000,6.410000,9080487
2020-02-12,6.460000,6.470000,6.370000,6.380000,6.380000,8387233
2020-02-13,6.470000,6.480000,6.370000,6.420000,6.420000,8638589
2020-02-14,6.390000,6.540000,6.380000,6.470000,6.470000,16868029
