Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,9.160000,9.210000,8.995000,9.080000,8.463133,1269866
2017-01-31,8.970000,9.030000,8.890000,8.980000,8.369926,1674460
2017-02-01,8.940000,9.140000,8.940000,9.130000,8.509736,2185291
2017-02-02,9.300000,9.560000,9.270000,9.430000,8.789357,3379075
2017-02-03,9.430000,9.630000,9.110000,9.150000,8.528378,2181449
2017-02-06,9.280000,9.330000,8.970000,9.010000,8.397890,1669325
2017-02-07,8.930000,9.080000,8.770000,9.010000,8.397890,2472164
2017-02-08,9.050000,9.375000,9.010000,9.270000,8.640226,1925856
2017-02-09,9.350000,9.490000,9.300000,9.450000,8.807998,2516752
2017-02-10,9.500000,9.600000,9.400000,9.580000,8.929166,1992446
2017-02-13,9.800000,10.080000,9.690000,9.900000,9.227425,2142238
2017-02-14,9.990000,9.990000,9.710000,9.880000,9.208786,1772900
2017-02-15,9.970000,9.980000,9.860000,9.940000,9.264709,1465218
2017-02-16,9.990000,10.000000,9.880000,9.990000,9.311311,1201346
2017-02-17,9.930000,9.930000,9.720000,9.820000,9.152860,1228640
2017-02-20,9.800000,9.870000,9.630000,9.820000,9.152860,1317344
2017-02-21,9.850000,9.990000,9.850000,9.960000,9.283350,1735924
2017-02-22,10.000000,10.000000,9.880000,9.960000,9.283350,1725258
2017-02-23,9.900000,10.050000,9.590000,9.630000,8.975769,2145412
2017-02-24,9.560000,9.770000,9.410000,9.500000,8.854601,3954696
2017-02-27,9.480000,9.670000,9.460000,9.500000,8.854601,1678922
2017-02-28,9.370000,9.510000,9.280000,9.300000,8.668186,2051544
2017-03-01,9.250000,9.330000,9.125000,9.160000,8.537698,2168893
2017-03-02,9.350000,9.490000,9.220000,9.480000,8.835958,2597430
2017-03-03,9.200000,9.230000,8.875000,8.930000,8.323325,3180664
2017-03-06,8.890000,9.080000,8.890000,8.950000,8.341967,1617009
2017-03-07,8.900000,9.040000,8.665000,8.740000,8.146233,3492406
2017-03-08,8.610000,8.800000,8.520000,8.580000,7.997102,2433564
2017-03-09,8.370000,8.400000,8.160000,8.250000,7.817073,3936035
2017-03-10,8.370000,8.490000,8.185000,8.210000,7.779172,2355694
2017-03-13,8.100000,8.100000,7.900000,7.990000,7.570716,3838122
2017-03-14,8.140000,8.200000,8.000000,8.040000,7.618093,4259075
2017-03-15,7.990000,8.370000,7.960000,8.360000,7.921300,3499659
2017-03-16,8.570000,8.640000,8.400000,8.500000,8.053953,3204765
2017-03-17,8.580000,8.630000,8.450000,8.470000,8.025528,2758710
2017-03-20,8.500000,8.500000,8.300000,8.430000,7.987628,1769473
2017-03-21,8.430000,8.500000,8.350000,8.380000,7.940251,1790562
2017-03-22,8.180000,8.350000,8.090000,8.250000,7.817073,2594943
2017-03-23,8.250000,8.340000,8.210000,8.250000,7.817073,1032593
2017-03-24,8.250000,8.280000,8.170000,8.260000,7.826549,1483881
2017-03-27,8.120000,8.170000,8.000000,8.040000,7.618093,2158321
2017-03-28,8.120000,8.160000,8.010000,8.030000,7.608617,1934908
2017-03-29,8.100000,8.190000,7.970000,8.000000,7.580192,2021346
2017-03-30,8.100000,8.120000,7.940000,7.940000,7.523340,1944747
2017-03-31,8.000000,8.020000,7.810000,7.830000,7.419113,2807032
2017-04-03,7.780000,7.800000,7.670000,7.780000,7.371737,2390575
2017-04-04,7.780000,8.070000,7.780000,7.990000,7.570716,2220176
2017-04-05,8.110000,8.375000,8.110000,8.360000,7.921300,5206090
2017-04-06,8.280000,8.460000,8.250000,8.440000,7.997103,2424678
2017-04-07,8.400000,8.490000,8.220000,8.290000,7.854974,1807695
2017-04-10,8.210000,8.420000,8.210000,8.380000,7.940251,1077288
2017-04-11,8.380000,8.400000,8.130000,8.200000,7.769696,1249851
