Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,9.490000,9.490000,9.240000,9.350000,8.276691,659802
2017-01-31,9.330000,9.390000,9.210000,9.350000,8.276691,715793
2017-02-01,9.370000,9.530000,9.100000,9.270000,8.205875,795660
2017-02-02,9.190000,9.370000,9.190000,9.310000,8.241282,654095
2017-02-03,9.260000,9.410000,9.260000,9.290000,8.223577,543352
2017-02-06,9.380000,9.505000,9.380000,9.400000,8.320951,726894
2017-02-07,9.340000,9.400000,9.060000,9.400000,8.320951,969548
2017-02-08,9.330000,9.560000,9.270000,9.520000,8.427176,542587
2017-02-09,9.550000,9.650000,9.450000,9.620000,8.515697,1020561
2017-02-10,9.700000,9.870000,9.680000,9.720000,8.604217,748921
2017-02-13,9.720000,9.820000,9.680000,9.790000,8.666182,412088
2017-02-14,9.840000,9.930000,9.780000,9.820000,8.692739,548113
2017-02-15,9.910000,9.920000,9.830000,9.870000,8.736999,697834
2017-02-16,9.930000,9.940000,9.770000,9.870000,8.736999,411766
2017-02-17,9.920000,9.920000,9.770000,9.800000,8.675034,435802
2017-02-20,9.800000,9.860000,9.690000,9.780000,8.657330,592689
2017-02-21,9.780000,9.840000,9.680000,9.810000,8.683887,414913
2017-02-22,9.810000,9.810000,9.680000,9.690000,8.577661,882598
2017-02-23,9.630000,9.825000,9.620000,9.760000,8.639627,538152
2017-02-24,9.700000,9.750000,9.550000,9.630000,8.524549,379717
2017-02-27,9.640000,9.690000,9.550000,9.660000,8.551105,579170
2017-02-28,9.650000,9.750000,9.510000,9.690000,8.577661,533830
2017-03-01,9.700000,9.700000,9.530000,9.600000,8.497993,1111318
2017-03-02,9.700000,10.050000,9.700000,10.040000,8.887484,806826
2017-03-03,10.050000,10.050000,9.900000,9.960000,8.816667,364129
2017-03-06,9.960000,10.000000,9.860000,9.900000,8.763555,444664
2017-03-07,9.860000,9.870000,9.750000,9.790000,8.666182,863412
2017-03-08,9.830000,9.850000,9.680000,9.810000,8.683887,514838
2017-03-09,9.810000,9.860000,9.740000,9.830000,8.701589,432338
2017-03-10,9.870000,10.000000,9.850000,9.980000,8.834371,609956
