Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,5.200000,5.240000,5.150000,5.190000,4.949030,469621
2018-01-31,5.200000,5.300000,5.190000,5.300000,5.053923,419500
2018-02-01,5.300000,5.300000,5.240000,5.250000,5.006245,400208
2018-02-02,5.250000,5.260000,5.200000,5.250000,5.006245,214965
2018-02-05,5.190000,5.190000,5.105000,5.120000,4.882280,552202
2018-02-06,5.050000,5.080000,5.000000,5.020000,4.786923,811139
2018-02-07,5.050000,5.100000,5.025000,5.070000,4.834602,502511
2018-02-08,5.030000,5.075000,5.025000,5.050000,4.815531,498237
2018-02-09,5.030000,5.060000,4.915000,4.990000,4.758316,443104
2018-02-12,4.930000,4.960000,4.905000,4.940000,4.710638,758371
2018-02-13,4.930000,4.990000,4.870000,4.960000,4.729709,391012
2018-02-14,4.930000,4.970000,4.910000,4.950000,4.720173,468082
2018-02-15,4.980000,5.000000,4.960000,4.970000,4.739244,319804
2018-02-16,4.970000,4.970000,4.880000,4.880000,4.653424,447402
2018-02-19,4.860000,4.910000,4.830000,4.880000,4.653424,854317
2018-02-20,4.880000,4.930000,4.880000,4.900000,4.672495,873200
2018-02-21,4.950000,5.280000,4.950000,5.230000,4.987173,818495
2018-02-22,5.250000,5.370000,5.250000,5.330000,5.082530,906962
2018-02-23,5.390000,5.460000,5.380000,5.450000,5.196959,1143362
2018-02-26,5.590000,5.620000,5.420000,5.500000,5.244637,653253
2018-02-27,5.530000,5.530000,5.440000,5.450000,5.196959,621163
2018-02-28,5.440000,5.625000,5.420000,5.600000,5.339994,1793011
2018-03-01,5.500000,5.520000,5.460000,5.500000,5.354598,747731
2018-03-02,5.440000,5.480000,5.330000,5.390000,5.247506,929394
2018-03-05,5.350000,5.440000,5.350000,5.380000,5.237770,264342
2018-03-06,5.410000,5.500000,5.390000,5.490000,5.344862,316021
2018-03-07,5.510000,5.615000,5.480000,5.550000,5.403276,663291
2018-03-08,5.560000,5.670000,5.540000,5.670000,5.520103,390746
2018-03-09,5.650000,5.795000,5.650000,5.760000,5.607724,515589
2018-03-12,5.790000,5.820000,5.740000,5.750000,5.597988,544412
2018-03-13,5.740000,5.740000,5.660000,5.660000,5.510367,666335
2018-03-14,5.620000,5.705000,5.610000,5.680000,5.529839,560824
2018-03-15,5.670000,5.710000,5.655000,5.680000,5.529839,451788
2018-03-16,5.700000,5.700000,5.630000,5.670000,5.520103,510307
2018-03-19,5.750000,5.750000,5.630000,5.650000,5.500632,417437
2018-03-20,5.670000,5.680000,5.590000,5.660000,5.510367,887964
2018-03-21,5.700000,5.760000,5.640000,5.640000,5.490896,614343
2018-03-22,5.670000,5.670000,5.610000,5.620000,5.471425,611130
2018-03-23,5.600000,5.600000,5.460000,5.490000,5.344862,340702
2018-03-26,5.470000,5.505000,5.430000,5.500000,5.354598,268884
2018-03-27,5.500000,5.540000,5.460000,5.500000,5.354598,571740
2018-03-28,5.460000,5.545000,5.450000,5.500000,5.354598,543942
2018-03-29,5.500000,5.530000,5.455000,5.480000,5.335126,699950
2018-04-03,5.460000,5.500000,5.420000,5.440000,5.296184,501443
2018-04-04,5.430000,5.460000,5.380000,5.410000,5.266977,300314
2018-04-05,5.400000,5.485000,5.400000,5.450000,5.305919,976392
2018-04-06,5.450000,5.500000,5.440000,5.450000,5.305919,154780
2018-04-09,5.500000,5.640000,5.500000,5.610000,5.461689,758509
2018-04-10,5.600000,5.670000,5.590000,5.630000,5.481161,231223
2018-04-11,5.610000,5.640000,5.500000,5.520000,5.374069,242550
2018-04-12,5.480000,5.540000,5.460000,5.520000,5.374069,327422
2018-04-13,5.550000,5.550000,5.460000,5.480000,5.335126,1321436
2018-04-16,5.530000,5.630000,5.530000,5.590000,5.442218,186898
2018-04-17,5.600000,5.650000,5.570000,5.570000,5.422747,186998
2018-04-18,5.590000,5.630000,5.570000,5.620000,5.471425,347225
2018-04-19,5.660000,5.680000,5.620000,5.650000,5.500632,381863
2018-04-20,5.650000,5.745000,5.650000,5.710000,5.559046,959247
2018-04-23,5.700000,5.700000,5.620000,5.640000,5.490896,321313
2018-04-24,5.680000,5.765000,5.600000,5.600000,5.451954,683916
2018-04-26,5.590000,5.670000,5.550000,5.570000,5.422747,472510
2018-04-27,5.620000,5.670000,5.580000,5.610000,5.461689,572205
2018-04-30,5.640000,5.760000,5.620000,5.680000,5.529839,497127
2018-05-01,5.670000,5.690000,5.625000,5.640000,5.490896,281907
2018-05-02,5.650000,5.750000,5.620000,5.650000,5.500632,449356
2018-05-03,5.720000,5.750000,5.670000,5.670000,5.520103,1443872
2018-05-04,5.670000,5.720000,5.670000,5.680000,5.529839,180372
2018-05-07,5.700000,5.710000,5.640000,5.650000,5.500632,270179
2018-05-08,5.690000,5.750000,5.690000,5.710000,5.559046,606368
2018-05-09,5.730000,5.880000,5.715000,5.770000,5.617460,571682
2018-05-10,5.800000,5.830000,5.720000,5.730000,5.578517,327572
2018-05-11,5.760000,5.840000,5.750000,5.790000,5.636931,198071
2018-05-14,5.880000,5.950000,5.850000,5.870000,5.714816,512660
2018-05-15,5.920000,5.930000,5.830000,5.840000,5.685609,378577
2018-05-16,5.850000,5.890000,5.810000,5.830000,5.675873,581321
2018-05-17,5.810000,5.850000,5.700000,5.730000,5.578517,413449
2018-05-18,5.790000,5.790000,5.680000,5.720000,5.568781,246046
2018-05-21,5.690000,5.800000,5.690000,5.750000,5.597988,199902
2018-05-22,5.750000,5.780000,5.700000,5.710000,5.559046,206977
2018-05-23,5.760000,5.785000,5.675000,5.750000,5.597988,313019
2018-05-24,5.720000,5.770000,5.680000,5.700000,5.549310,258186
2018-05-25,5.660000,5.720000,5.650000,5.700000,5.549310,263121
2018-05-28,5.720000,5.760000,5.690000,5.730000,5.578517,134535
2018-05-29,5.710000,5.720000,5.660000,5.700000,5.549310,411441
2018-05-30,5.690000,5.740000,5.640000,5.740000,5.588253,381932
2018-05-31,5.760000,5.830000,5.610000,5.660000,5.510367,1200989
2018-06-01,5.630000,5.670000,5.620000,5.650000,5.500632,510053
2018-06-04,5.650000,5.650000,5.510000,5.540000,5.393540,368730
2018-06-05,5.480000,5.520000,5.230000,5.270000,5.130678,1924461
2018-06-06,5.250000,5.430000,5.240000,5.430000,5.286448,1435584
2018-06-07,5.420000,5.590000,5.420000,5.550000,5.403276,546171
2018-06-08,5.540000,5.610000,5.530000,5.560000,5.413011,397012
2018-06-12,5.620000,5.660000,5.580000,5.640000,5.490896,685455
2018-06-13,5.630000,5.680000,5.520000,5.520000,5.374069,575175
2018-06-14,5.490000,5.510000,5.360000,5.360000,5.218299,929680
2018-06-15,5.370000,5.450000,5.300000,5.320000,5.179357,1331909
2018-06-18,5.300000,5.470000,5.300000,5.470000,5.325390,501985
2018-06-19,5.460000,5.480000,5.340000,5.350000,5.208563,689250
2018-06-20,5.400000,5.410000,5.300000,5.340000,5.198828,615343
2018-06-21,5.400000,5.440000,5.310000,5.400000,5.257241,1382682
2018-06-22,5.350000,5.410000,5.200000,5.200000,5.062529,1133585
2018-06-25,5.230000,5.260000,5.190000,5.240000,5.101471,536737
2018-06-26,5.240000,5.290000,5.210000,5.280000,5.140414,564477
2018-06-27,5.240000,5.310000,5.220000,5.230000,5.091735,768036
2018-06-28,5.230000,5.260000,5.170000,5.190000,5.052793,551082
2018-06-29,5.200000,5.300000,5.120000,5.270000,5.130678,688752
2018-07-02,5.260000,5.280000,5.180000,5.180000,5.043057,632826
2018-07-03,5.200000,5.225000,5.190000,5.190000,5.052793,464693
2018-07-04,5.170000,5.325000,5.170000,5.250000,5.111207,523134
2018-07-05,5.260000,5.290000,5.205000,5.220000,5.082000,408438
2018-07-06,5.220000,5.320000,5.210000,5.300000,5.159885,359276
2018-07-09,5.340000,5.380000,5.280000,5.320000,5.179357,530621
2018-07-10,5.320000,5.350000,5.220000,5.230000,5.091735,606537
2018-07-11,5.240000,5.280000,5.200000,5.220000,5.082000,430027
2018-07-12,5.210000,5.345000,5.210000,5.240000,5.101471,585065
2018-07-13,5.260000,5.260000,5.135000,5.190000,5.052793,763837
2018-07-16,5.190000,5.260000,5.170000,5.240000,5.101471,257306
2018-07-17,5.150000,5.180000,5.090000,5.090000,4.955437,614638
2018-07-18,5.120000,5.230000,5.110000,5.150000,5.013851,855588
2018-07-19,5.140000,5.195000,5.095000,5.130000,4.994380,831564
2018-07-20,5.150000,5.200000,5.130000,5.170000,5.033322,578977
2018-07-23,5.170000,5.220000,5.160000,5.200000,5.062529,380616
2018-07-24,5.220000,5.285000,5.170000,5.250000,5.111207,448360
2018-07-25,5.210000,5.270000,5.170000,5.250000,5.111207,1378457
2018-07-26,5.270000,5.330000,5.220000,5.310000,5.169621,596168
2018-07-27,5.330000,5.490000,5.310000,5.440000,5.296184,705424
2018-07-30,5.380000,5.450000,5.380000,5.440000,5.296184,564664
2018-07-31,5.470000,5.480000,5.390000,5.410000,5.266977,973979
2018-08-01,5.380000,5.490000,5.370000,5.450000,5.305919,603905
2018-08-02,5.450000,5.520000,5.420000,5.490000,5.344862,674514
2018-08-03,5.510000,5.560000,5.500000,5.520000,5.374069,452367
2018-08-06,5.510000,5.535000,5.440000,5.450000,5.305919,302386
2018-08-07,5.490000,5.575000,5.460000,5.520000,5.374069,736840
2018-08-08,5.510000,5.515000,5.470000,5.470000,5.325390,614499
2018-08-09,5.470000,5.510000,5.380000,5.380000,5.237770,754545
2018-08-10,5.410000,5.480000,5.360000,5.360000,5.218299,534608
2018-08-13,5.320000,5.320000,5.260000,5.300000,5.159885,473358
2018-08-14,5.310000,5.375000,5.260000,5.340000,5.198828,570796
2018-08-15,4.670000,4.770000,4.170000,4.170000,4.059759,11754816
2018-08-16,4.330000,4.500000,4.180000,4.220000,4.108437,6356165
2018-08-17,4.290000,4.360000,4.230000,4.250000,4.137644,2161438
2018-08-20,4.370000,4.440000,4.290000,4.320000,4.205793,1951702
2018-08-21,4.410000,4.410000,4.300000,4.350000,4.235000,1715071
2018-08-22,4.330000,4.330000,4.130000,4.140000,4.140000,1823837
2018-08-23,4.170000,4.170000,3.990000,4.020000,4.020000,2938260
2018-08-24,4.040000,4.145000,3.990000,4.020000,4.020000,1860417
2018-08-27,4.040000,4.110000,4.010000,4.010000,4.010000,1522402
2018-08-28,4.030000,4.030000,3.930000,3.940000,3.940000,1647447
2018-08-29,3.940000,4.100000,3.910000,4.050000,4.050000,1791668
2018-08-30,4.100000,4.100000,4.050000,4.080000,4.080000,774072
2018-08-31,4.100000,4.130000,4.065000,4.120000,4.120000,1550805
2018-09-03,4.140000,4.150000,4.060000,4.070000,4.070000,1147668
2018-09-04,4.070000,4.160000,4.050000,4.140000,4.140000,549108
2018-09-05,4.140000,4.140000,4.070000,4.090000,4.090000,994840
2018-09-06,4.090000,4.090000,4.010000,4.030000,4.030000,1283300
2018-09-07,4.010000,4.020000,3.880000,3.970000,3.970000,1982523
2018-09-10,3.920000,3.970000,3.785000,3.810000,3.810000,2569412
2018-09-11,3.880000,3.920000,3.830000,3.890000,3.890000,1614635
2018-09-12,3.900000,4.020000,3.820000,3.870000,3.870000,2456207
2018-09-13,3.860000,3.970000,3.860000,3.920000,3.920000,810865
2018-09-14,3.920000,3.935000,3.850000,3.880000,3.880000,698487
2018-09-17,3.890000,3.890000,3.760000,3.780000,3.780000,2408840
2018-09-18,3.800000,3.845000,3.640000,3.710000,3.710000,4494320
2018-09-19,3.740000,3.800000,3.710000,3.730000,3.730000,1465797
2018-09-20,3.720000,3.900000,3.710000,3.770000,3.770000,1264146
2018-09-21,3.790000,3.960000,3.790000,3.940000,3.940000,3029866
2018-09-24,3.910000,3.910000,3.790000,3.810000,3.810000,870386
2018-09-25,3.860000,3.860000,3.760000,3.780000,3.780000,689321
2018-09-26,3.790000,3.790000,3.680000,3.700000,3.700000,1474504
