Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,4.750000,4.750000,4.600000,4.600000,4.505354,315117
2019-09-17,4.600000,4.650000,4.465000,4.490000,4.397617,361956
2019-09-18,4.670000,4.670000,4.520000,4.520000,4.427000,349257
2019-09-19,4.510000,4.640000,4.450000,4.570000,4.570000,654528
2019-09-20,4.630000,4.630000,4.455000,4.500000,4.500000,513067
2019-09-23,4.400000,4.470000,4.340000,4.420000,4.420000,405948
2019-09-24,4.400000,4.520000,4.360000,4.440000,4.440000,361990
2019-09-25,4.330000,4.390000,4.280000,4.310000,4.310000,302323
2019-09-26,4.320000,4.410000,4.230000,4.280000,4.280000,272098
2019-09-27,4.270000,4.320000,4.160000,4.280000,4.280000,534304
2019-09-30,4.280000,4.470000,4.230000,4.400000,4.400000,430165
2019-10-01,4.400000,4.440000,4.260000,4.370000,4.370000,589483
2019-10-02,4.350000,4.360000,4.190000,4.230000,4.230000,545026
2019-10-03,4.150000,4.270000,4.085000,4.160000,4.160000,605957
2019-10-04,4.160000,4.160000,4.160000,4.160000,4.160000,0
2019-10-07,4.180000,4.220000,4.060000,4.160000,4.160000,342512
2019-10-08,4.230000,4.280000,4.140000,4.250000,4.250000,350016
2019-10-09,4.210000,4.320000,4.140000,4.270000,4.270000,676010
2019-10-10,4.250000,4.330000,4.220000,4.280000,4.280000,355555
2019-10-11,4.400000,4.430000,4.240000,4.310000,4.310000,991057
2019-10-14,4.320000,4.510000,4.320000,4.410000,4.410000,317895
2019-10-15,4.410000,4.470000,4.350000,4.430000,4.430000,526345
2019-10-16,4.520000,4.790000,4.470000,4.660000,4.660000,892407
2019-10-17,4.670000,4.720000,4.530000,4.650000,4.650000,729744
2019-10-18,4.550000,4.640000,4.390000,4.440000,4.440000,780732
2019-10-21,4.410000,4.670000,4.410000,4.530000,4.530000,325664
2019-10-22,4.550000,4.660000,4.520000,4.540000,4.540000,617921
2019-10-23,4.530000,4.810000,4.520000,4.720000,4.720000,587285
2019-10-24,4.740000,4.740000,4.590000,4.630000,4.630000,243862
2019-10-25,4.750000,4.770000,4.630000,4.680000,4.680000,294110
2019-10-28,4.680000,4.760000,4.610000,4.660000,4.660000,216389
2019-10-29,4.730000,4.790000,4.630000,4.680000,4.680000,419506
2019-10-30,4.670000,4.980000,4.670000,4.950000,4.950000,891940
2019-10-31,4.950000,4.950000,4.790000,4.920000,4.920000,480046
2019-11-01,4.890000,4.900000,4.780000,4.830000,4.830000,485919
2019-11-04,4.850000,5.000000,4.790000,4.920000,4.920000,446179
2019-11-05,5.060000,5.060000,4.840000,4.890000,4.890000,242675
2019-11-06,4.940000,5.010000,4.830000,4.920000,4.920000,634890
