Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,52.119999,52.520000,51.970001,52.480000,46.344143,116242
2018-01-31,52.340000,52.520000,52.000000,52.380001,46.255840,170355
2018-02-01,52.490002,53.369999,52.380001,53.230000,47.006458,281579
2018-02-02,53.200001,53.599998,53.000000,53.590000,47.324364,145123
2018-02-05,53.049999,53.880001,52.880001,53.360001,47.121258,232151
2018-02-06,51.080002,51.529999,50.639999,51.250000,45.257954,275644
2018-02-07,51.669998,52.200001,50.980000,51.029999,45.063675,250296
2018-02-08,50.509998,51.950001,50.509998,51.610001,45.575867,168894
2018-02-09,50.689999,50.799999,50.070000,50.310001,44.427860,186242
2018-02-12,50.009998,50.650002,49.750000,50.310001,44.427860,184367
2018-02-13,50.349998,50.540001,49.750000,50.349998,44.463184,194092
2018-02-14,50.610001,51.160000,50.520000,50.750000,44.816418,167116
2018-02-15,51.320000,52.320000,50.980000,51.959999,45.884941,175527
2018-02-16,52.299999,52.310001,51.119999,51.349998,45.346260,107651
2018-02-19,51.619999,52.270000,51.160000,52.049999,45.964420,131365
2018-02-20,51.900002,52.080002,51.580002,51.910000,45.840790,99515
2018-02-21,51.520000,53.150002,51.520000,52.869999,46.688545,191989
2018-02-22,53.380001,54.320000,53.279999,53.889999,47.589291,281442
2018-02-23,54.330002,55.099998,52.939999,53.750000,47.465660,258546
2018-02-26,54.130001,54.349998,52.730000,53.500000,47.244892,228315
2018-02-27,53.880001,54.060001,53.250000,53.459999,47.209568,227515
2018-02-28,51.990002,52.220001,51.520000,51.869999,46.992134,177927
2018-03-01,51.709999,51.830002,51.090000,51.160000,46.348904,188240
2018-03-02,50.900002,51.000000,50.080002,50.480000,45.732853,168476
2018-03-05,50.450001,50.529999,49.580002,49.680000,45.008083,119021
2018-03-06,50.150002,50.764999,49.950001,50.599998,45.841564,196686
2018-03-07,50.790001,50.860001,50.240002,50.560001,45.805328,146239
2018-03-08,50.700001,51.000000,50.480000,50.639999,45.877804,225559
2018-03-09,51.529999,51.820000,51.290001,51.529999,46.684109,134702
2018-03-12,52.000000,52.000000,51.320000,51.320000,46.493858,107509
2018-03-13,51.439999,51.439999,50.580002,50.779999,46.004639,93741
2018-03-14,50.189999,50.389999,49.700001,50.020000,45.316109,173080
2018-03-15,49.830002,50.139999,49.279999,49.299999,44.663818,174542
2018-03-16,49.310001,49.369999,48.599998,49.200001,44.573223,172441
2018-03-19,49.500000,49.669998,48.834999,49.209999,44.582283,101018
2018-03-20,49.099998,49.169998,48.290001,48.290001,43.748802,243544
2018-03-21,48.580002,48.619999,47.880001,48.549999,43.984348,148865
2018-03-22,48.389999,48.669998,47.709999,48.290001,43.748802,112568
2018-03-23,47.669998,48.110001,46.669998,46.919998,42.507633,194468
2018-03-26,46.779999,47.349998,46.549999,47.139999,42.706947,155654
2018-03-27,47.180000,47.720001,46.880001,47.060001,42.634468,138681
2018-03-28,46.740002,47.060001,46.650002,47.009998,42.589169,106981
2018-03-29,46.810001,47.009998,46.369999,46.549999,42.172428,117248
2018-04-03,46.139999,46.299999,45.450001,45.570000,41.284588,125221
2018-04-04,45.580002,45.700001,45.209999,45.400002,41.130577,144201
2018-04-05,45.509998,45.740002,45.025002,45.669998,41.375187,154187
2018-04-06,45.700001,45.779999,45.009998,45.099998,40.858788,140741
2018-04-09,45.090000,45.150002,44.580002,44.770000,40.559826,167275
2018-04-10,44.650002,45.130001,44.509998,45.130001,40.885967,285563
2018-04-11,45.250000,45.360001,44.500000,44.650002,40.451107,391695
2018-04-12,44.369999,44.990002,43.900002,44.060001,39.916592,447096
2018-04-13,44.000000,44.599998,43.770000,44.480000,40.297092,177063
2018-04-16,44.400002,44.400002,41.990002,42.090000,38.131851,371039
2018-04-17,42.299999,42.639999,40.450001,41.000000,37.144356,531810
2018-04-18,41.060001,41.599998,40.759998,40.880001,37.035637,286480
2018-04-19,40.990002,41.040001,39.669998,39.810001,36.066261,308126
2018-04-20,39.619999,39.799999,39.169998,39.230000,35.540802,310104
2018-04-23,39.250000,39.560001,39.099998,39.169998,35.486446,259347
2018-04-24,39.240002,40.459999,39.200001,40.299999,36.510181,462223
2018-04-26,40.490002,41.480000,39.939999,39.990002,36.229336,381981
2018-04-27,40.200001,40.419998,39.590000,39.840000,36.093437,182874
2018-04-30,39.849998,40.500000,39.720001,40.290001,36.501122,300054
2018-05-01,40.490002,41.299999,39.700001,41.009998,37.153412,277803
2018-05-02,41.139999,41.580002,40.720001,41.380001,37.488617,288548
2018-05-03,41.860001,41.869999,41.209999,41.360001,37.470497,253543
2018-05-04,41.400002,41.650002,40.639999,41.099998,37.234947,238279
2018-05-07,41.459999,41.619999,40.459999,40.529999,36.718552,332743
2018-05-08,40.529999,41.250000,40.340000,40.410000,36.609837,227068
2018-05-09,40.880001,41.220001,39.900002,40.160000,36.383347,281124
2018-05-10,40.330002,40.990002,40.330002,40.509998,36.700428,230358
2018-05-11,40.880001,42.700001,40.860001,42.090000,38.131851,317734
2018-05-14,42.150002,42.160000,40.470001,40.509998,36.700428,325241
2018-05-15,40.570000,41.650002,40.244999,40.619999,36.800087,253096
2018-05-16,40.790001,41.299999,40.570000,40.610001,36.791027,198340
2018-05-17,40.610001,41.279999,40.509998,40.919998,37.071873,179405
2018-05-18,41.000000,41.029999,40.250000,40.770000,36.935982,206224
2018-05-21,40.650002,40.669998,40.160000,40.590000,36.772911,161407
2018-05-22,40.310001,40.330002,39.619999,39.619999,35.894127,265175
2018-05-23,39.849998,40.355000,39.639999,39.720001,35.984726,167768
2018-05-24,39.540001,39.770000,39.040001,39.279999,35.586098,252483
2018-05-25,39.180000,39.380001,38.619999,39.209999,35.522682,176554
2018-05-28,39.180000,39.389999,39.009998,39.320000,35.622337,110242
2018-05-29,39.310001,39.880001,39.279999,39.490002,35.776356,140821
2018-05-30,39.230000,39.230000,38.639999,39.040001,35.368671,192616
2018-05-31,39.470001,39.470001,38.259998,38.400002,34.788857,430062
2018-06-01,38.299999,38.660000,38.044998,38.419998,34.806973,154413
2018-06-04,38.419998,38.750000,38.200001,38.250000,34.652962,130364
2018-06-05,38.240002,39.150002,38.200001,39.000000,35.332432,205318
2018-06-06,38.990002,39.270000,38.580002,38.590000,34.960991,307202
2018-06-07,38.580002,39.320000,38.450001,39.080002,35.404911,152273
2018-06-08,39.040001,39.820000,39.040001,39.549999,35.830708,133193
2018-06-12,39.770000,40.500000,39.599998,40.410000,36.609837,267959
2018-06-13,40.450001,40.610001,39.570000,39.660000,35.930363,305521
2018-06-14,39.720001,40.099998,39.169998,39.599998,35.876007,155528
2018-06-15,39.970001,40.639999,39.599998,40.580002,36.763851,275157
2018-06-18,40.549999,40.580002,39.509998,39.650002,35.921307,169385
2018-06-19,39.660000,40.060001,39.314999,39.950001,36.193092,202941
2018-06-20,40.009998,40.580002,40.009998,40.419998,36.618893,137562
2018-06-21,40.730000,40.759998,40.200001,40.380001,36.582661,285050
2018-06-22,40.410000,40.849998,40.310001,40.660000,36.836327,229546
2018-06-25,40.790001,40.930000,40.299999,40.660000,36.836327,166905
2018-06-26,40.400002,40.669998,40.209999,40.450001,36.646072,127758
2018-06-27,40.459999,40.770000,40.389999,40.500000,36.691376,321398
2018-06-28,40.490002,40.619999,39.799999,40.099998,36.328991,165673
2018-06-29,40.349998,42.599998,40.270000,41.599998,37.687923,404926
2018-07-02,42.000000,43.380001,41.910000,42.610001,38.602947,271601
2018-07-03,42.599998,43.680000,42.299999,43.459999,39.373016,283161
2018-07-04,43.250000,43.299999,42.500000,42.950001,38.910976,229337
2018-07-05,43.130001,43.389999,42.910000,43.160000,39.101223,175958
2018-07-06,43.200001,43.570000,43.200001,43.439999,39.354893,179959
2018-07-09,43.389999,43.950001,43.080002,43.889999,39.762577,142266
2018-07-10,44.040001,44.369999,43.669998,44.150002,39.998123,202914
2018-07-11,44.139999,44.369999,42.610001,42.750000,38.729782,307700
2018-07-12,42.910000,43.840000,42.900002,43.500000,39.409252,201413
2018-07-13,43.599998,43.849998,43.200001,43.770000,39.653858,143029
2018-07-16,43.779999,44.480000,43.599998,44.250000,40.088726,147588
2018-07-17,43.930000,44.270000,43.220001,43.599998,39.499847,158249
2018-07-18,43.669998,44.470001,43.639999,43.919998,39.789753,212513
2018-07-19,44.110001,44.110001,43.259998,43.630001,39.527027,189211
2018-07-20,43.619999,44.029999,43.330002,43.599998,39.499847,163923
2018-07-23,43.320000,43.480000,42.619999,42.900002,38.865677,172945
2018-07-24,42.889999,44.080002,42.869999,43.900002,39.771637,134178
2018-07-25,43.959999,44.080002,43.439999,43.639999,39.536087,202756
2018-07-26,43.619999,44.209999,43.040001,44.009998,39.871288,175811
2018-07-27,44.299999,44.630001,44.060001,44.250000,40.088726,103068
2018-07-30,43.959999,44.169998,43.529999,43.700001,39.590443,153612
2018-07-31,43.720001,44.230000,43.619999,43.619999,39.517967,371644
2018-08-01,43.509998,43.990002,43.220001,43.820000,39.699158,185610
2018-08-02,43.730000,43.970001,42.639999,42.720001,38.702606,215733
2018-08-03,42.759998,43.099998,42.340000,42.500000,38.503288,204293
2018-08-06,42.480000,42.970001,42.480000,42.680000,38.666363,124426
2018-08-07,42.689999,42.919998,42.240002,42.340000,38.358337,137878
2018-08-08,42.119999,42.590000,42.049999,42.240002,38.267746,205696
2018-08-09,42.270000,42.869999,42.200001,42.490002,38.494236,326689
2018-08-10,42.549999,42.970001,42.439999,42.580002,38.575771,181228
2018-08-13,42.410000,42.950001,42.369999,42.610001,38.602947,160762
