Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,8.350000,8.410000,8.250000,8.330000,7.442750,1194528
2018-01-31,8.240000,8.350000,8.120000,8.310000,7.424881,947602
2018-02-01,8.290000,8.500000,8.180000,8.500000,7.594643,1072194
2018-02-02,8.470000,8.720000,8.390000,8.720000,7.791211,1796783
2018-02-05,8.590000,8.590000,8.225000,8.290000,7.407011,1094183
2018-02-06,7.410000,7.920000,7.200000,7.780000,6.951333,2946080
2018-02-07,7.930000,8.145000,7.800000,7.880000,7.040681,1468747
2018-02-08,7.810000,7.950000,7.730000,7.760000,6.933463,1177204
2018-02-09,7.540000,7.650000,7.530000,7.610000,6.799439,1185535
2018-02-12,7.550000,7.560000,7.400000,7.450000,6.656481,1135266
2018-02-13,7.450000,7.670000,7.390000,7.660000,6.844114,962954
2018-02-14,7.660000,7.750000,7.630000,7.670000,6.853049,857972
2018-02-15,7.770000,7.810000,7.690000,7.740000,6.915593,686924
2018-02-16,7.740000,7.800000,7.600000,7.600000,6.790505,644457
2018-02-19,7.600000,7.720000,7.600000,7.660000,6.844114,525828
2018-02-20,7.620000,7.705000,7.600000,7.670000,6.853049,503054
2018-02-21,7.620000,7.780000,7.610000,7.750000,6.924528,814972
2018-02-22,7.710000,7.860000,7.700000,7.820000,6.987072,707723
2018-02-23,7.000000,7.090000,6.450000,6.900000,6.165064,5915594
2018-02-26,6.940000,7.120000,6.750000,6.810000,6.084650,2901269
2018-02-27,6.850000,6.865000,6.530000,6.570000,5.870213,2941629
2018-02-28,6.600000,6.625000,6.335000,6.410000,5.727254,3489573
2018-03-01,6.290000,6.290000,6.110000,6.150000,5.635619,2637074
2018-03-02,6.030000,6.100000,5.830000,5.990000,5.489000,6833451
2018-03-05,5.970000,6.310000,5.970000,6.140000,5.626455,2085003
2018-03-06,6.240000,6.290000,6.110000,6.210000,5.690600,2244922
2018-03-07,6.200000,6.210000,5.910000,5.930000,5.434019,2063843
2018-03-08,5.980000,6.080000,5.960000,6.000000,5.498164,1695778
2018-03-09,6.040000,6.240000,6.010000,6.110000,5.598964,1885185
2018-03-12,6.250000,6.390000,6.090000,6.110000,5.598964,1470141
2018-03-13,6.140000,6.170000,5.950000,5.980000,5.479837,1944431
2018-03-14,5.960000,6.080000,5.890000,6.080000,5.571473,2351577
2018-03-15,6.110000,6.160000,6.060000,6.120000,5.608127,2437142
2018-03-16,6.120000,6.150000,6.100000,6.130000,5.617291,1592206
2018-03-19,6.130000,6.140000,5.990000,6.030000,5.525655,1469595
2018-03-20,6.060000,6.170000,5.995000,6.160000,5.644782,1638147
2018-03-21,6.220000,6.280000,6.020000,6.150000,5.635619,2404553
2018-03-22,6.060000,6.180000,6.030000,6.150000,5.635619,1453545
2018-03-23,6.050000,6.060000,5.960000,6.040000,5.534819,1312591
2018-03-26,6.000000,6.035000,5.890000,5.930000,5.434019,2395548
2018-03-27,5.970000,6.080000,5.955000,5.980000,5.479837,1977072
