Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,6.230000,6.240000,6.100000,6.110000,6.110000,13648859
2019-09-17,6.090000,6.200000,6.020000,6.170000,6.170000,8737120
2019-09-18,6.450000,6.570000,6.240000,6.280000,6.280000,17205122
2019-09-19,6.340000,6.350000,6.245000,6.280000,6.280000,8448710
2019-09-20,6.330000,6.330000,6.210000,6.210000,6.210000,5842865
2019-09-23,6.280000,6.300000,6.230000,6.260000,6.260000,4137162
2019-09-24,6.220000,6.260000,6.150000,6.200000,6.200000,6265516
2019-09-25,6.200000,6.240000,6.120000,6.240000,6.240000,7133725
2019-09-26,6.220000,6.330000,6.200000,6.230000,6.230000,6280129
2019-09-27,6.260000,6.350000,6.240000,6.340000,6.340000,4622252
2019-09-30,6.330000,6.360000,6.260000,6.290000,6.290000,5743436
2019-10-01,6.290000,6.440000,6.290000,6.440000,6.440000,7746413
2019-10-02,6.310000,6.420000,6.310000,6.400000,6.400000,7362516
2019-10-03,6.210000,6.340000,6.210000,6.300000,6.300000,6155363
2019-10-04,6.300000,6.300000,6.300000,6.300000,6.300000,0
2019-10-07,6.400000,6.450000,6.370000,6.450000,6.450000,3246813
2019-10-08,6.490000,6.490000,6.360000,6.400000,6.400000,3836152
2019-10-09,6.310000,6.360000,6.265000,6.320000,6.320000,7080657
2019-10-10,6.250000,6.370000,6.220000,6.350000,6.350000,7089191
2019-10-11,6.390000,6.410000,6.300000,6.350000,6.350000,3568176
2019-10-14,6.390000,6.530000,6.370000,6.500000,6.500000,5022613
2019-10-15,6.610000,6.770000,6.600000,6.690000,6.690000,18486077
2019-10-16,6.680000,6.705000,6.620000,6.690000,6.690000,8972033
2019-10-17,6.590000,6.640000,6.550000,6.580000,6.580000,9361812
2019-10-18,6.510000,6.560000,6.470000,6.530000,6.530000,9264989
2019-10-21,6.400000,6.545000,6.380000,6.540000,6.540000,6508397
2019-10-22,6.510000,6.600000,6.510000,6.540000,6.540000,7285853
2019-10-23,6.520000,6.580000,6.500000,6.520000,6.520000,8591160
2019-10-24,6.300000,6.310000,6.140000,6.280000,6.280000,14806743
2019-10-25,6.260000,6.310000,6.220000,6.250000,6.250000,8184107
2019-10-28,6.330000,6.490000,6.310000,6.490000,6.490000,8950456
2019-10-29,6.500000,6.580000,6.470000,6.520000,6.520000,9006872
2019-10-30,6.500000,6.580000,6.460000,6.580000,6.580000,12080487
2019-10-31,6.430000,6.510000,6.375000,6.410000,6.410000,13456007
2019-11-01,6.430000,6.500000,6.390000,6.450000,6.450000,7163466
2019-11-04,6.500000,6.670000,6.500000,6.650000,6.650000,12442522
2019-11-05,6.650000,6.655000,6.570000,6.610000,6.610000,7156262
2019-11-06,6.570000,6.640000,6.570000,6.600000,6.600000,6257392
2019-11-07,6.620000,6.630000,6.510000,6.570000,6.570000,9184661
2019-11-08,6.600000,6.720000,6.550000,6.710000,6.710000,12397626
2019-11-11,6.730000,6.870000,6.725000,6.830000,6.830000,10765098
2019-11-12,6.840000,6.950000,6.740000,6.940000,6.940000,17076958
2019-11-13,6.920000,7.015000,6.870000,6.950000,6.950000,13407977
2019-11-14,6.940000,6.980000,6.830000,6.850000,6.850000,8724659
2019-11-15,6.800000,6.840000,6.720000,6.780000,6.780000,12130520
2019-11-18,6.860000,6.995000,6.840000,6.980000,6.980000,15181249
2019-11-19,6.930000,7.150000,6.920000,7.130000,7.130000,13143315
2019-11-20,7.100000,7.220000,7.060000,7.210000,7.210000,14969431
2019-11-21,7.180000,7.190000,6.970000,7.030000,7.030000,10857673
2019-11-22,7.080000,7.165000,7.070000,7.140000,7.140000,11265810
2019-11-25,7.050000,7.280000,7.050000,7.280000,7.280000,15865651
