Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,3.230000,3.275000,3.190000,3.190000,3.161000,4363607
2019-09-17,3.170000,3.200000,3.160000,3.180000,3.180000,4131125
2019-09-18,3.200000,3.220000,3.170000,3.180000,3.180000,4470449
2019-09-19,3.190000,3.205000,3.140000,3.160000,3.160000,7822633
2019-09-20,3.170000,3.180000,3.150000,3.180000,3.180000,14562037
2019-09-23,3.180000,3.180000,3.150000,3.150000,3.150000,2831600
2019-09-24,3.170000,3.180000,3.120000,3.160000,3.160000,4142280
2019-09-25,3.150000,3.190000,3.140000,3.170000,3.170000,6453273
2019-09-26,3.170000,3.190000,3.150000,3.160000,3.160000,4760703
2019-09-27,3.180000,3.200000,3.160000,3.180000,3.180000,2797537
2019-09-30,3.180000,3.220000,3.160000,3.200000,3.200000,11453227
2019-10-01,3.210000,3.240000,3.200000,3.240000,3.240000,3044065
2019-10-02,3.200000,3.230000,3.170000,3.220000,3.220000,5021595
2019-10-03,3.170000,3.195000,3.145000,3.170000,3.170000,5332395
2019-10-04,3.170000,3.170000,3.170000,3.170000,3.170000,0
2019-10-07,3.170000,3.220000,3.170000,3.210000,3.210000,1991434
2019-10-08,3.230000,3.280000,3.220000,3.260000,3.260000,3205248
2019-10-09,3.240000,3.290000,3.230000,3.290000,3.290000,3574944
2019-10-10,3.290000,3.300000,3.225000,3.250000,3.250000,3997751
2019-10-11,3.270000,3.280000,3.215000,3.260000,3.260000,3083015
2019-10-14,3.270000,3.330000,3.265000,3.320000,3.320000,3541817
2019-10-15,3.310000,3.370000,3.290000,3.350000,3.350000,3928834
2019-10-16,3.380000,3.390000,3.310000,3.350000,3.350000,7891386
2019-10-17,3.340000,3.340000,3.280000,3.280000,3.280000,2915260
2019-10-18,3.260000,3.280000,3.240000,3.260000,3.260000,2566633
2019-10-21,3.230000,3.260000,3.225000,3.250000,3.250000,2011480
2019-10-22,3.250000,3.280000,3.240000,3.250000,3.250000,2801563
2019-10-23,3.250000,3.290000,3.240000,3.290000,3.290000,2948858
2019-10-24,3.300000,3.330000,3.300000,3.300000,3.300000,1229629
2019-10-25,3.310000,3.320000,3.270000,3.310000,3.310000,1712712
2019-10-28,3.300000,3.315000,3.275000,3.300000,3.300000,1436388
2019-10-29,3.310000,3.310000,3.280000,3.300000,3.300000,2327066
2019-10-30,3.270000,3.270000,3.230000,3.250000,3.250000,4978761
2019-10-31,3.250000,3.270000,3.230000,3.250000,3.250000,2158860
2019-11-01,3.250000,3.260000,3.230000,3.250000,3.250000,4110283
2019-11-04,3.280000,3.305000,3.275000,3.290000,3.290000,2172467
2019-11-05,3.320000,3.330000,3.290000,3.300000,3.300000,1754988
2019-11-06,3.310000,3.310000,3.220000,3.230000,3.230000,2760792
2019-11-07,3.210000,3.240000,3.200000,3.240000,3.240000,3435267
2019-11-08,3.230000,3.260000,3.200000,3.210000,3.210000,1582583
2019-11-11,3.230000,3.260000,3.220000,3.240000,3.240000,1802872
2019-11-12,3.260000,3.300000,3.260000,3.280000,3.280000,2229347
2019-11-13,3.280000,3.330000,3.280000,3.310000,3.310000,2941758
2019-11-14,3.320000,3.360000,3.310000,3.350000,3.350000,3088425
2019-11-15,3.360000,3.400000,3.350000,3.380000,3.380000,1791517
2019-11-18,3.390000,3.390000,3.300000,3.320000,3.320000,2464007
2019-11-19,3.340000,3.340000,3.270000,3.330000,3.330000,4768415
2019-11-20,3.310000,3.310000,3.260000,3.280000,3.280000,2443404
2019-11-21,3.270000,3.270000,3.220000,3.250000,3.250000,8659673
2019-11-22,3.250000,3.280000,3.250000,3.260000,3.260000,2748925
2019-11-25,3.280000,3.300000,3.270000,3.280000,3.280000,1329254
2019-11-26,3.300000,3.310000,3.260000,3.290000,3.290000,5327562
2019-11-27,3.310000,3.320000,3.275000,3.320000,3.320000,7209575
2019-11-28,3.340000,3.360000,3.325000,3.330000,3.330000,2308049
2019-11-29,3.350000,3.380000,3.330000,3.360000,3.360000,3600586
2019-12-02,3.380000,3.390000,3.360000,3.360000,3.360000,2292845
2019-12-03,3.320000,3.320000,3.250000,3.250000,3.250000,4069801
2019-12-04,3.210000,3.220000,3.180000,3.190000,3.190000,3238038
2019-12-05,3.190000,3.210000,3.170000,3.200000,3.200000,2142940
2019-12-06,3.190000,3.210000,3.185000,3.200000,3.200000,1637805
2019-12-09,3.230000,3.230000,3.180000,3.200000,3.200000,2250051
2019-12-10,3.190000,3.210000,3.180000,3.200000,3.200000,2179216
2019-12-11,3.220000,3.260000,3.200000,3.260000,3.260000,3244703
2019-12-12,3.280000,3.280000,3.200000,3.210000,3.210000,3250797
2019-12-13,3.230000,3.245000,3.200000,3.230000,3.230000,3143697
2019-12-16,3.250000,3.340000,3.245000,3.320000,3.320000,2713021
2019-12-17,3.370000,3.370000,3.310000,3.330000,3.330000,2810666
2019-12-18,3.330000,3.350000,3.300000,3.330000,3.330000,3499946
2019-12-19,3.350000,3.370000,3.310000,3.340000,3.340000,3973192
2019-12-20,3.330000,3.350000,3.310000,3.330000,3.330000,3546741
2019-12-23,3.330000,3.360000,3.310000,3.330000,3.330000,1174302
2019-12-24,3.310000,3.330000,3.300000,3.300000,3.300000,650755
2019-12-27,3.290000,3.330000,3.290000,3.330000,3.330000,812423
2019-12-30,3.330000,3.360000,3.315000,3.350000,3.350000,981998
2019-12-31,3.280000,3.300000,3.270000,3.290000,3.290000,2268788
2020-01-02,3.270000,3.330000,3.240000,3.300000,3.300000,2079237
2020-01-03,3.380000,3.380000,3.350000,3.360000,3.360000,1518015
2020-01-06,3.350000,3.360000,3.320000,3.340000,3.340000,1563357
2020-01-07,3.350000,3.395000,3.350000,3.390000,3.390000,1543673
2020-01-08,3.390000,3.390000,3.310000,3.370000,3.370000,2709971
2020-01-09,3.400000,3.450000,3.370000,3.390000,3.390000,3336625
2020-01-10,3.420000,3.600000,3.415000,3.560000,3.560000,2798353
2020-01-13,3.540000,3.570000,3.510000,3.530000,3.530000,2462503
2020-01-14,3.550000,3.550000,3.480000,3.530000,3.530000,3475002
2020-01-15,3.530000,3.550000,3.500000,3.550000,3.550000,4495567
2020-01-16,3.610000,3.630000,3.560000,3.590000,3.590000,2867801
2020-01-17,3.600000,3.610000,3.550000,3.570000,3.570000,4328451
2020-01-20,3.580000,3.620000,3.530000,3.550000,3.550000,2683890
2020-01-21,3.550000,3.570000,3.520000,3.570000,3.570000,2217518
2020-01-22,3.580000,3.615000,3.565000,3.610000,3.610000,3726716
2020-01-23,3.590000,3.595000,3.480000,3.510000,3.510000,3414493
2020-01-24,3.540000,3.560000,3.430000,3.470000,3.470000,4988870
2020-01-28,3.440000,3.550000,3.420000,3.530000,3.530000,3018790
2020-01-29,3.550000,3.570000,3.430000,3.490000,3.490000,4826589
2020-01-30,3.480000,3.480000,3.410000,3.440000,3.440000,2737881
2020-01-31,3.440000,3.480000,3.420000,3.440000,3.440000,3463465
2020-02-03,3.400000,3.460000,3.400000,3.430000,3.430000,2582564
2020-02-04,3.410000,3.440000,3.355000,3.380000,3.380000,4016539
2020-02-05,3.390000,3.450000,3.390000,3.440000,3.440000,3184655
2020-02-06,3.470000,3.480000,3.420000,3.440000,3.440000,5079971
2020-02-07,3.450000,3.480000,3.430000,3.450000,3.450000,3980971
2020-02-10,3.460000,3.470000,3.420000,3.430000,3.430000,1826193
2020-02-11,3.450000,3.480000,3.440000,3.460000,3.460000,3614922
2020-02-12,3.460000,3.500000,3.455000,3.490000,3.490000,3508066
2020-02-13,3.500000,3.505000,3.470000,3.480000,3.480000,3515404
2020-02-14,3.480000,3.530000,3.475000,3.510000,3.510000,4003786
