Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,94.000000,94.220001,92.239998,94.110001,94.110001,1564863
2019-09-17,92.870003,93.080002,92.114998,92.650002,92.650002,1890680
2019-09-18,92.000000,93.230003,91.550003,92.919998,92.919998,1421140
2019-09-19,93.589996,93.760002,92.550003,93.040001,93.040001,2104274
2019-09-20,92.720001,93.160004,92.059998,92.440002,92.440002,2062849
2019-09-23,93.000000,93.500000,92.790001,92.839996,92.839996,1160444
2019-09-24,93.900002,93.980003,92.650002,93.040001,93.040001,1704194
2019-09-25,90.930000,91.239998,90.199997,91.010002,91.010002,1583528
2019-09-26,91.089996,92.230003,91.050003,91.129997,91.129997,1780728
2019-09-27,90.870003,91.820000,90.800003,91.599998,91.599998,4145331
2019-09-30,91.739998,93.949997,91.470001,92.669998,92.669998,1884957
2019-10-01,92.669998,92.870003,91.690002,92.599998,92.599998,1367542
2019-10-02,91.269997,91.699997,90.449997,91.089996,91.089996,1454335
2019-10-03,87.989998,88.430000,87.250000,87.250000,87.250000,2107333
2019-10-04,87.250000,87.250000,87.250000,87.250000,87.250000,0
2019-10-07,87.510002,88.470001,87.510002,87.599998,87.599998,938930
2019-10-08,88.300003,88.860001,87.790001,88.580002,88.580002,1116259
2019-10-09,87.400002,88.419998,87.110001,87.750000,87.750000,972400
2019-10-10,87.300003,88.120003,87.150002,87.919998,87.919998,1140997
2019-10-11,89.750000,90.400002,89.709999,89.970001,89.970001,1759839
2019-10-14,91.769997,92.800003,91.559998,91.910004,91.910004,1543480
2019-10-15,91.000000,91.135002,90.324997,90.599998,90.599998,1288053
2019-10-16,91.400002,91.599998,89.650002,89.809998,89.809998,1292653
2019-10-17,88.449997,88.500000,87.160004,87.220001,87.220001,2353765
2019-10-18,87.629997,88.584999,87.559998,87.870003,87.870003,1450964
2019-10-21,87.489998,88.250000,87.389999,88.120003,88.120003,672390
2019-10-22,88.580002,89.879997,88.559998,89.430000,89.430000,1178994
2019-10-23,89.599998,90.379997,89.570000,89.800003,89.800003,971068
2019-10-24,90.599998,91.309998,90.290001,90.389999,90.389999,1098212
2019-10-25,90.879997,91.209999,90.410004,90.809998,90.809998,1856714
2019-10-28,91.300003,92.139999,91.129997,91.250000,91.250000,664716
2019-10-29,92.150002,92.514999,92.000000,92.199997,92.199997,935388
2019-10-30,91.570000,91.720001,90.809998,91.199997,91.199997,854707
2019-10-31,90.470001,91.089996,90.160004,90.879997,90.879997,1178667
2019-11-01,90.070000,90.709999,89.720001,90.489998,90.489998,1358587
2019-11-04,92.209999,94.190002,92.209999,93.690002,93.690002,2230173
2019-11-05,94.459999,95.269997,94.389999,94.839996,94.839996,1529149
2019-11-06,95.699997,95.730003,94.930000,95.110001,95.110001,1262004
2019-11-07,95.000000,95.309998,94.430000,95.160004,95.160004,1208775
2019-11-08,95.199997,95.650002,94.800003,95.230003,95.230003,1478685
2019-11-11,93.930000,93.930000,92.519997,92.980003,92.980003,1583975
2019-11-12,92.400002,93.430000,91.949997,93.360001,93.360001,1270245
2019-11-13,93.000000,93.309998,91.290001,91.800003,91.800003,1526374
2019-11-14,91.650002,92.480003,91.010002,92.360001,92.360001,1059987
2019-11-15,92.180000,93.949997,92.029999,93.540001,93.540001,1201064
