Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,4.070000,4.260000,4.060000,4.060000,3.796004,3061741
2018-01-31,4.070000,4.140000,4.070000,4.120000,3.852102,2303595
2018-02-01,4.150000,4.150000,4.090000,4.120000,3.852102,1626227
2018-02-02,4.120000,4.160000,4.110000,4.140000,3.870802,1272763
2018-02-05,4.060000,4.080000,4.005000,4.010000,3.749255,2801593
2018-02-06,3.970000,4.040000,3.940000,4.020000,3.758605,3633738
2018-02-07,4.000000,4.040000,3.920000,3.940000,3.683807,2832166
2018-02-08,3.920000,3.985000,3.890000,3.940000,3.683807,2186899
2018-02-09,3.910000,4.040000,3.910000,4.020000,3.758605,3934562
2018-02-12,3.990000,4.000000,3.810000,3.890000,3.637058,4779609
2018-02-13,3.950000,4.090000,3.930000,4.060000,3.796004,6094339
2018-02-14,4.060000,4.125000,4.000000,4.050000,3.786654,3984511
2018-02-15,4.260000,4.280000,4.140000,4.190000,3.917551,4095081
2018-02-16,4.190000,4.190000,4.090000,4.120000,3.852102,1929533
2018-02-19,4.120000,4.140000,4.050000,4.070000,3.805354,1601412
2018-02-20,4.130000,4.165000,4.100000,4.100000,3.833403,1559795
2018-02-21,4.060000,4.170000,4.050000,4.100000,3.833403,1982006
2018-02-22,4.110000,4.170000,4.100000,4.130000,3.861452,1694815
2018-02-23,4.150000,4.230000,4.150000,4.220000,3.945600,2072977
2018-02-26,4.230000,4.310000,4.230000,4.300000,4.020398,2509266
2018-02-27,4.320000,4.340000,4.270000,4.290000,4.011048,2005397
2018-02-28,4.270000,4.280000,4.220000,4.280000,4.001699,3528175
2018-03-01,4.260000,4.340000,4.260000,4.270000,3.992348,2656092
2018-03-02,4.260000,4.370000,4.260000,4.360000,4.076497,3075170
2018-03-05,4.380000,4.500000,4.350000,4.460000,4.169994,4765478
2018-03-06,4.470000,4.500000,4.430000,4.490000,4.198043,2822255
2018-03-07,4.520000,4.630000,4.510000,4.580000,4.282191,3666407
2018-03-08,4.470000,4.490000,4.430000,4.480000,4.263160,2513922
2018-03-09,4.480000,4.500000,4.415000,4.430000,4.215579,2195725
