Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,1.440000,1.495000,1.440000,1.465000,1.415498,4677672
2017-01-31,1.465000,1.500000,1.455000,1.455000,1.405836,5775678
2017-02-01,1.500000,1.515000,1.460000,1.465000,1.415498,8141941
2017-02-02,1.475000,1.570000,1.470000,1.545000,1.492794,7928660
2017-02-03,1.570000,1.610000,1.555000,1.600000,1.545936,8750438
2017-02-06,1.645000,1.675000,1.600000,1.655000,1.599077,6630957
2017-02-07,1.735000,1.765000,1.730000,1.745000,1.686036,7277247
2017-02-08,1.730000,1.735000,1.655000,1.665000,1.608739,6156947
2017-02-09,1.730000,1.765000,1.710000,1.720000,1.661881,5531699
2017-02-10,1.650000,1.685000,1.605000,1.670000,1.613571,5112586
2017-02-13,1.715000,1.732000,1.700000,1.720000,1.661881,5655161
2017-02-14,1.700000,1.755000,1.677000,1.745000,1.686036,4592280
2017-02-15,1.755000,1.760000,1.710000,1.730000,1.671543,4455445
2017-02-16,1.755000,1.775000,1.725000,1.730000,1.671543,5215349
2017-02-17,1.765000,1.860000,1.760000,1.785000,1.724685,9976125
2017-02-20,1.760000,1.855000,1.760000,1.855000,1.792319,6165309
2017-02-21,1.860000,1.860000,1.782000,1.810000,1.748840,5611477
2017-02-22,1.800000,1.805000,1.745000,1.770000,1.710191,5297721
2017-02-23,1.780000,1.820000,1.765000,1.775000,1.715023,7789014
2017-02-24,1.845000,1.885000,1.832000,1.860000,1.797150,8961992
2017-02-27,1.885000,1.912500,1.822000,1.835000,1.772995,5993090
2017-02-28,1.750000,1.755000,1.575000,1.610000,1.555598,17044547
2017-03-01,1.610000,1.615000,1.525000,1.545000,1.492794,8722290
2017-03-02,1.600000,1.625000,1.550000,1.565000,1.512119,7279813
2017-03-03,1.490000,1.490000,1.405000,1.415000,1.367187,8381547
2017-03-06,1.420000,1.430000,1.337000,1.345000,1.299552,10494136
2017-03-07,1.285000,1.330000,1.252000,1.300000,1.256073,12849626
2017-03-08,1.280000,1.345000,1.265000,1.300000,1.256073,14669362
2017-03-09,1.285000,1.325000,1.260000,1.285000,1.241580,10935657
2017-03-10,1.285000,1.300000,1.260000,1.260000,1.217425,11620733
2017-03-13,1.345000,1.375000,1.325000,1.340000,1.294721,10769876
2017-03-14,1.370000,1.370000,1.340000,1.350000,1.304383,12102066
2017-03-15,1.320000,1.350000,1.300000,1.345000,1.299552,12252019
2017-03-16,1.445000,1.490000,1.430000,1.475000,1.425160,9406091
2017-03-17,1.485000,1.490000,1.440000,1.440000,1.391342,17494031
2017-03-20,1.445000,1.450000,1.390000,1.430000,1.381680,10881575
2017-03-21,1.425000,1.455000,1.405000,1.410000,1.362356,7477605
2017-03-22,1.465000,1.465000,1.417000,1.420000,1.372018,11532348
2017-03-23,1.410000,1.410000,1.370000,1.395000,1.347863,6440566
2017-03-24,1.370000,1.380000,1.340000,1.345000,1.299552,7211619
2017-03-27,1.375000,1.405000,1.365000,1.365000,1.318877,9304609
2017-03-28,1.375000,1.375000,1.305000,1.325000,1.280228,8350806
2017-03-29,1.305000,1.325000,1.275000,1.305000,1.260904,6748209
2017-03-30,1.340000,1.340000,1.275000,1.285000,1.241580,5562330
2017-03-31,1.280000,1.305000,1.265000,1.300000,1.256073,4371076
2017-04-03,1.305000,1.325000,1.292000,1.295000,1.251242,7745681
2017-04-04,1.330000,1.377500,1.320000,1.365000,1.318877,7345261
2017-04-05,1.360000,1.390000,1.360000,1.370000,1.323708,7145967
2017-04-06,1.410000,1.420000,1.365000,1.370000,1.323708,9446219
2017-04-07,1.350000,1.430000,1.335000,1.410000,1.362356,12789598
2017-04-10,1.385000,1.405000,1.347000,1.390000,1.343032,10903294
2017-04-11,1.400000,1.415000,1.350000,1.360000,1.314045,5457576
2017-04-12,1.435000,1.440000,1.372000,1.385000,1.338201,8957031
2017-04-13,1.405000,1.405000,1.315000,1.325000,1.280228,11035050
2017-04-18,1.310000,1.320000,1.150000,1.160000,1.120803,23252072
