Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.831900,2.841600,2.797950,2.812500,2.660851,1976867
2017-01-31,2.793100,2.822200,2.783410,2.812500,2.660851,2151104
2017-02-01,2.783410,2.822200,2.744610,2.783410,2.633330,2342959
2017-02-02,2.764010,2.802800,2.754310,2.783410,2.633330,1946473
2017-02-03,2.793100,2.802800,2.676720,2.676720,2.532393,2562533
2017-02-06,2.725220,2.734910,2.628230,2.657330,2.514048,3650023
2017-02-07,2.637930,2.686420,2.613690,2.647630,2.504871,4698069
2017-02-08,2.647630,2.686420,2.628230,2.657330,2.514048,8177862
2017-02-09,2.667030,2.676720,2.637930,2.667030,2.523225,2202244
2017-02-10,2.647630,2.696120,2.647630,2.686420,2.541569,1764425
2017-02-13,2.667030,2.696120,2.667030,2.676720,2.532393,1055506
2017-02-14,2.686420,2.686420,2.599140,2.637930,2.495694,3240104
2017-02-15,2.667030,2.667030,2.628230,2.647630,2.504871,975440
2017-02-16,2.647630,2.667030,2.637930,2.647630,2.504871,3002320
2017-02-17,2.637930,2.686420,2.637930,2.657330,2.514048,1294924
2017-02-20,2.686420,2.696120,2.637930,2.686420,2.541569,3100057
2017-02-21,2.754310,2.754310,2.686420,2.734910,2.587445,2401754
2017-02-22,2.764010,2.783410,2.710670,2.744610,2.596622,2176974
2017-02-23,2.890090,2.890090,2.676720,2.754310,2.605799,11868694
2017-02-24,2.764010,2.793100,2.715520,2.734910,2.587445,2254029
2017-02-27,2.725220,2.734910,2.657330,2.715520,2.569100,8423592
2017-02-28,2.802800,2.802800,2.705820,2.705820,2.559923,6533727
2017-03-01,2.734910,2.734910,2.667030,2.725220,2.578277,2136492
2017-03-02,2.754310,2.754310,2.715520,2.734910,2.587445,2568864
2017-03-03,2.744610,2.754310,2.725220,2.744610,2.596622,1231584
2017-03-06,2.725220,2.764010,2.715520,2.734910,2.587445,1416321
2017-03-07,2.715520,2.764010,2.715520,2.744610,2.596622,1075978
2017-03-08,2.744610,2.793100,2.725220,2.783410,2.633330,1976959
2017-03-09,2.783410,2.802800,2.744610,2.783410,2.662021,1723734
2017-03-10,2.851290,2.851290,2.773710,2.812500,2.689843,894952
2017-03-13,2.822200,2.831900,2.783410,2.812500,2.689843,718578
2017-03-14,2.822200,2.841600,2.793100,2.841600,2.717673,1358934
2017-03-15,2.822200,2.860990,2.812500,2.841600,2.717673,1186470
2017-03-16,2.831900,2.841600,2.802800,2.831900,2.708397,1688950
2017-03-17,2.841600,2.841600,2.759160,2.793100,2.671289,1401770
2017-03-20,2.734910,2.783410,2.734910,2.764010,2.643467,539786
2017-03-21,2.734910,2.764010,2.734910,2.754310,2.634190,399043
2017-03-22,2.783410,2.812500,2.696120,2.744610,2.624913,870708
2017-03-23,2.754310,2.783410,2.734910,2.783410,2.662021,730772
2017-03-24,2.831900,2.831900,2.754310,2.773710,2.652744,831005
2017-03-27,2.754310,2.783410,2.744610,2.773710,2.652744,571024
2017-03-28,2.793100,2.812500,2.773710,2.812500,2.689843,703941
2017-03-29,2.812500,2.870690,2.812500,2.851290,2.726941,1012934
2017-03-30,2.870690,2.870690,2.812500,2.822200,2.699120,649631
2017-03-31,2.822200,2.831900,2.773710,2.793100,2.671289,458484
2017-04-03,2.754310,2.812500,2.754310,2.793100,2.671289,946164
2017-04-04,2.764010,2.793100,2.754310,2.764010,2.643467,473169
2017-04-05,2.764010,2.793100,2.744610,2.764010,2.643467,824844
2017-04-06,2.773710,2.793100,2.744610,2.783410,2.662021,1957864
2017-04-07,2.812500,2.909480,2.793100,2.909480,2.782593,1596652
2017-04-10,2.909480,2.919180,2.841600,2.851290,2.726941,1016531
2017-04-11,2.841600,2.928880,2.841600,2.860990,2.736218,1148277
2017-04-12,2.909480,2.909480,2.851290,2.851290,2.726941,1467352
2017-04-13,2.841600,2.851290,2.802800,2.822200,2.699120,1022847
2017-04-18,2.822200,2.851290,2.802800,2.841600,2.717673,968700
2017-04-19,2.802800,2.890090,2.802800,2.880390,2.754772,611190
2017-04-20,2.890090,2.899780,2.860990,2.870690,2.745495,2604436
2017-04-21,2.899780,2.904630,2.870690,2.899780,2.773316,1611482
2017-04-24,2.909480,2.967670,2.899780,2.938580,2.810424,1618796
2017-04-26,2.977370,2.977370,2.914330,2.928880,2.801147,1109159
2017-04-27,2.948280,2.996770,2.919180,2.977370,2.847522,1039852
2017-04-28,2.948280,2.977370,2.938580,2.957970,2.828968,1345982
2017-05-01,2.909480,2.996770,2.909480,2.987070,2.856799,1065470
2017-05-02,2.996770,3.006470,2.967670,2.987070,2.856799,1884765
