Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,2.800000,2.840000,2.780000,2.810000,2.810000,21169871
2019-09-17,2.780000,2.780000,2.710000,2.730000,2.730000,26902072
2019-09-18,2.720000,2.740000,2.680000,2.720000,2.720000,25628836
2019-09-19,2.750000,2.760000,2.725000,2.730000,2.730000,24281550
2019-09-20,2.740000,2.800000,2.720000,2.770000,2.770000,24617283
2019-09-23,2.760000,2.765000,2.710000,2.740000,2.740000,14688856
2019-09-24,2.690000,2.690000,2.640000,2.650000,2.650000,28544737
2019-09-25,2.600000,2.620000,2.550000,2.610000,2.610000,32578374
2019-09-26,2.590000,2.620000,2.570000,2.570000,2.570000,22043934
2019-09-27,2.550000,2.650000,2.550000,2.630000,2.630000,28117607
2019-09-30,2.630000,2.680000,2.620000,2.620000,2.620000,16706485
2019-10-01,2.600000,2.660000,2.590000,2.650000,2.650000,18496620
2019-10-02,2.600000,2.610000,2.550000,2.550000,2.550000,24071420
2019-10-03,2.500000,2.510000,2.460000,2.460000,2.460000,18131563
2019-10-04,2.460000,2.460000,2.460000,2.460000,2.460000,0
2019-10-07,2.440000,2.440000,2.400000,2.440000,2.440000,9654993
2019-10-08,2.470000,2.490000,2.450000,2.470000,2.470000,12979499
2019-10-09,2.430000,2.440000,2.390000,2.410000,2.410000,20582550
2019-10-10,2.400000,2.430000,2.380000,2.420000,2.420000,17087560
2019-10-11,2.490000,2.505000,2.450000,2.450000,2.450000,20322925
2019-10-14,2.490000,2.575000,2.485000,2.500000,2.500000,19070372
2019-10-15,2.450000,2.480000,2.440000,2.470000,2.470000,15865480
2019-10-16,2.490000,2.495000,2.440000,2.460000,2.460000,11796903
2019-10-17,2.470000,2.515000,2.440000,2.500000,2.500000,26012824
2019-10-18,2.480000,2.520000,2.440000,2.460000,2.460000,17985575
2019-10-21,2.460000,2.490000,2.420000,2.440000,2.440000,16938859
2019-10-22,2.490000,2.600000,2.490000,2.600000,2.600000,26037613
2019-10-23,2.580000,2.620000,2.540000,2.570000,2.570000,29880436
2019-10-24,2.610000,2.625000,2.550000,2.580000,2.580000,13704651
2019-10-25,2.600000,2.610000,2.560000,2.600000,2.600000,15702842
2019-10-28,2.600000,2.650000,2.580000,2.590000,2.590000,24491987
2019-10-29,2.620000,2.660000,2.610000,2.640000,2.640000,22992230
2019-10-30,2.630000,2.640000,2.590000,2.630000,2.630000,19974880
2019-10-31,2.620000,2.620000,2.550000,2.550000,2.550000,15934025
2019-11-01,2.540000,2.540000,2.490000,2.530000,2.530000,18337380
2019-11-04,2.580000,2.620000,2.555000,2.610000,2.610000,15861745
2019-11-05,2.600000,2.620000,2.570000,2.580000,2.580000,16814433
2019-11-06,2.610000,2.655000,2.595000,2.650000,2.650000,20530128
2019-11-07,2.680000,2.740000,2.650000,2.720000,2.720000,35275328
2019-11-08,2.770000,2.780000,2.730000,2.740000,2.740000,21124371
2019-11-11,2.760000,2.765000,2.720000,2.750000,2.750000,16772881
2019-11-12,2.720000,2.740000,2.680000,2.740000,2.740000,15432434
2019-11-13,2.730000,2.740000,2.690000,2.710000,2.710000,16940086
2019-11-14,2.680000,2.700000,2.650000,2.700000,2.700000,13429205
2019-11-15,2.720000,2.720000,2.670000,2.690000,2.690000,11582352
2019-11-18,2.680000,2.700000,2.660000,2.690000,2.690000,10177963
2019-11-19,2.660000,2.690000,2.630000,2.690000,2.690000,16376500
2019-11-20,2.650000,2.670000,2.600000,2.640000,2.640000,22096405
2019-11-21,2.570000,2.660000,2.560000,2.600000,2.600000,26422223
2019-11-22,2.620000,2.670000,2.620000,2.640000,2.640000,12692087
2019-11-25,2.620000,2.670000,2.620000,2.640000,2.640000,14495125
2019-11-26,2.670000,2.685000,2.605000,2.640000,2.640000,31211483
2019-11-27,2.650000,2.690000,2.650000,2.670000,2.670000,15819086
