Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,1.470000,1.525000,1.450000,1.490000,1.490000,5340173
2018-01-31,1.465000,1.510000,1.455000,1.490000,1.490000,7425978
2018-02-01,1.530000,1.530000,1.465000,1.470000,1.470000,4661811
2018-02-02,1.490000,1.510000,1.475000,1.505000,1.505000,3722021
2018-02-05,1.450000,1.475000,1.432000,1.435000,1.435000,4362775
2018-02-06,1.410000,1.455000,1.402000,1.425000,1.425000,5424809
2018-02-07,1.405000,1.425000,1.402000,1.410000,1.410000,4727043
2018-02-08,1.400000,1.430000,1.385000,1.410000,1.410000,3791843
2018-02-09,1.390000,1.455000,1.390000,1.420000,1.420000,4584347
2018-02-12,1.415000,1.425000,1.385000,1.405000,1.405000,3318929
2018-02-13,1.415000,1.465000,1.412000,1.460000,1.460000,5876660
2018-02-14,1.470000,1.505000,1.460000,1.500000,1.500000,6554011
2018-02-15,1.560000,1.570000,1.530000,1.550000,1.550000,5920594
2018-02-16,1.580000,1.585000,1.535000,1.575000,1.575000,5843103
2018-02-19,1.560000,1.577500,1.550000,1.560000,1.560000,2269061
2018-02-20,1.585000,1.595000,1.560000,1.575000,1.575000,3377950
2018-02-21,1.560000,1.560000,1.500000,1.520000,1.520000,5119041
2018-02-22,1.525000,1.530000,1.500000,1.510000,1.510000,2921325
2018-02-23,1.530000,1.575000,1.525000,1.570000,1.570000,3019396
2018-02-26,1.585000,1.615000,1.585000,1.615000,1.615000,2886639
2018-02-27,1.620000,1.642000,1.587000,1.640000,1.640000,4092839
2018-02-28,1.615000,1.630000,1.600000,1.620000,1.620000,4820180
2018-03-01,1.620000,1.660000,1.620000,1.660000,1.660000,4113616
2018-03-02,1.650000,1.700000,1.650000,1.700000,1.700000,4903519
2018-03-05,1.700000,1.700000,1.657000,1.680000,1.680000,3697083
2018-03-06,1.680000,1.715000,1.660000,1.715000,1.715000,3299997
2018-03-07,1.735000,1.750000,1.725000,1.735000,1.735000,3444692
2018-03-08,1.710000,1.750000,1.700000,1.745000,1.745000,3813283
2018-03-09,1.715000,1.750000,1.712000,1.715000,1.715000,2946311
2018-03-12,1.735000,1.760000,1.710000,1.735000,1.735000,4840493
2018-03-13,1.740000,1.760000,1.727000,1.730000,1.730000,5361319
2018-03-14,1.740000,1.790000,1.740000,1.790000,1.790000,6663820
2018-03-15,1.810000,1.850000,1.800000,1.825000,1.825000,7680073
2018-03-16,1.815000,1.845000,1.805000,1.835000,1.835000,9007615
2018-03-19,1.840000,1.865000,1.840000,1.860000,1.860000,4110725
2018-03-20,1.875000,1.892000,1.842000,1.875000,1.875000,5404073
2018-03-21,1.870000,1.875000,1.825000,1.840000,1.840000,6464769
2018-03-22,1.860000,1.865000,1.835000,1.855000,1.855000,3142525
2018-03-23,1.850000,1.852500,1.825000,1.850000,1.850000,3686851
2018-03-26,1.855000,1.865000,1.845000,1.860000,1.860000,6411234
2018-03-27,1.860000,1.865000,1.845000,1.860000,1.860000,4955204
2018-03-28,1.840000,1.845000,1.795000,1.800000,1.800000,4892485
2018-03-29,1.745000,1.802500,1.740000,1.775000,1.775000,3204757
2018-04-03,1.785000,1.800000,1.767000,1.785000,1.785000,4058515
2018-04-04,1.770000,1.805000,1.765000,1.800000,1.800000,4191297
2018-04-05,1.790000,1.802000,1.775000,1.780000,1.780000,1967989
2018-04-06,1.780000,1.795000,1.760000,1.790000,1.790000,2691028
2018-04-09,1.795000,1.810000,1.782000,1.800000,1.800000,3296447
2018-04-10,1.815000,1.817500,1.792000,1.800000,1.800000,4459861
2018-04-11,1.790000,1.805000,1.787000,1.800000,1.800000,2871779
2018-04-12,1.800000,1.820000,1.765000,1.790000,1.790000,8193759
2018-04-13,1.800000,1.800000,1.770000,1.790000,1.790000,2465477
2018-04-16,1.800000,1.800000,1.770000,1.795000,1.795000,1663438
2018-04-17,1.800000,1.900000,1.800000,1.895000,1.895000,6291724
2018-04-18,1.910000,1.925000,1.865000,1.875000,1.875000,6201309
2018-04-19,1.900000,1.907500,1.882000,1.905000,1.905000,4225658
2018-04-20,1.890000,1.895000,1.832000,1.865000,1.865000,4452124
2018-04-23,1.865000,1.870000,1.850000,1.855000,1.855000,4025364
2018-04-24,1.860000,1.880000,1.845000,1.865000,1.865000,4077152
2018-04-26,1.865000,1.915000,1.865000,1.910000,1.910000,5644232
2018-04-27,1.915000,1.932500,1.900000,1.905000,1.905000,5239589
2018-04-30,1.910000,1.940000,1.880000,1.890000,1.890000,3851149
2018-05-01,1.920000,1.965000,1.910000,1.965000,1.965000,3962793
2018-05-02,1.935000,1.975000,1.932000,1.965000,1.965000,2728797
2018-05-03,1.980000,2.050000,1.980000,2.040000,2.040000,4612381
2018-05-04,2.050000,2.090000,2.020000,2.020000,2.020000,3558860
2018-05-07,2.050000,2.090000,2.050000,2.070000,2.070000,1952538
2018-05-08,2.100000,2.110000,2.050000,2.050000,2.050000,4422791
2018-05-09,2.080000,2.150000,2.070000,2.120000,2.120000,5047774
2018-05-10,2.130000,2.140000,2.080000,2.120000,2.120000,3663004
2018-05-11,2.120000,2.130000,2.080000,2.080000,2.080000,3170056
2018-05-14,2.080000,2.100000,2.080000,2.090000,2.090000,2905418
2018-05-15,2.060000,2.090000,2.050000,2.090000,2.090000,2399527
2018-05-16,2.050000,2.095000,2.030000,2.090000,2.090000,4264376
2018-05-17,2.090000,2.095000,2.050000,2.080000,2.080000,4495707
2018-05-18,2.070000,2.080000,2.030000,2.040000,2.040000,2180756
2018-05-21,2.040000,2.080000,2.040000,2.070000,2.070000,3286695
2018-05-22,2.050000,2.070000,1.995000,2.010000,2.010000,2798922
