Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,4.430000,4.450000,4.410000,4.420000,3.764574,6534969
2017-01-31,4.410000,4.430000,4.370000,4.400000,3.747540,16928556
2017-02-01,4.390000,4.425000,4.370000,4.420000,3.764574,11650455
2017-02-02,4.400000,4.415000,4.330000,4.370000,3.721988,13516920
2017-02-03,4.390000,4.440000,4.390000,4.400000,3.747540,7489212
2017-02-06,4.420000,4.450000,4.365000,4.390000,3.739022,9780871
2017-02-07,4.370000,4.405000,4.350000,4.400000,3.747540,7841378
2017-02-08,4.400000,4.460000,4.390000,4.450000,3.790125,9665074
2017-02-09,4.480000,4.550000,4.470000,4.550000,3.875296,14732650
2017-02-10,4.560000,4.570000,4.475000,4.530000,3.858262,9559496
2017-02-13,4.440000,4.470000,4.390000,4.430000,3.863931,8640977
2017-02-14,4.450000,4.510000,4.440000,4.470000,3.898820,11989122
2017-02-15,4.500000,4.515000,4.440000,4.450000,3.881376,12382665
2017-02-16,4.470000,4.480000,4.405000,4.420000,3.855210,13238976
2017-02-17,4.440000,4.505000,4.430000,4.490000,3.916265,10006287
2017-02-20,4.480000,4.510000,4.435000,4.500000,3.924987,7053822
2017-02-21,4.510000,4.510000,4.435000,4.450000,3.881376,8617993
2017-02-22,4.390000,4.440000,4.380000,4.420000,3.855210,8435340
2017-02-23,4.430000,4.450000,4.380000,4.390000,3.829042,5635242
2017-02-24,4.380000,4.390000,4.330000,4.350000,3.794154,10058341
2017-02-27,4.320000,4.395000,4.290000,4.360000,3.802876,12399449
2017-02-28,4.350000,4.400000,4.300000,4.360000,3.802876,14257997
2017-03-01,4.350000,4.370000,4.290000,4.340000,3.785432,15455953
2017-03-02,4.350000,4.380000,4.310000,4.380000,3.820321,12450521
2017-03-03,4.350000,4.370000,4.340000,4.360000,3.802876,9820426
2017-03-06,4.360000,4.390000,4.330000,4.370000,3.811598,7654714
2017-03-07,4.340000,4.390000,4.330000,4.380000,3.820321,9245139
2017-03-08,4.350000,4.370000,4.340000,4.360000,3.802876,7713810
2017-03-09,4.350000,4.380000,4.330000,4.340000,3.785432,8424003
2017-03-10,4.360000,4.360000,4.250000,4.260000,3.715654,16135438
2017-03-13,4.270000,4.270000,4.150000,4.150000,3.619710,13342190
2017-03-14,4.170000,4.175000,4.110000,4.110000,3.584821,17876356
2017-03-15,4.130000,4.165000,4.120000,4.130000,3.602266,15963165
2017-03-16,4.200000,4.260000,4.170000,4.250000,3.706932,26916660
2017-03-17,4.280000,4.325000,4.260000,4.310000,3.759265,21298801
2017-03-20,4.290000,4.300000,4.180000,4.190000,3.654599,9775843
2017-03-21,4.160000,4.180000,4.125000,4.130000,3.602266,14557464
2017-03-22,4.110000,4.165000,4.095000,4.140000,3.610988,15394521
2017-03-23,4.130000,4.160000,4.110000,4.130000,3.602266,15219220
2017-03-24,4.180000,4.220000,4.160000,4.210000,3.672043,15224342
2017-03-27,4.190000,4.265000,4.190000,4.260000,3.715654,11113183
2017-03-28,4.240000,4.330000,4.240000,4.320000,3.767987,13067984
2017-03-29,4.360000,4.360000,4.315000,4.320000,3.767987,9961670
