Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,5.420000,5.500000,5.270000,5.300000,5.160813,414861
2018-01-31,5.260000,5.480000,5.230000,5.460000,5.316611,484493
2018-02-01,5.490000,5.490000,5.385000,5.410000,5.267924,481619
2018-02-02,5.390000,5.550000,5.380000,5.500000,5.355561,535349
2018-02-05,5.470000,5.660000,5.390000,5.600000,5.452934,1299333
2018-02-06,5.470000,5.530000,5.320000,5.410000,5.267924,2104968
2018-02-07,5.500000,5.630000,5.480000,5.550000,5.404248,1427528
2018-02-08,5.500000,5.660000,5.470000,5.610000,5.462672,1553568
2018-02-09,5.500000,5.510000,5.390000,5.450000,5.306874,1001828
2018-02-12,5.390000,5.390000,5.285000,5.310000,5.170551,679783
2018-02-13,5.300000,5.385000,5.260000,5.340000,5.199763,586762
2018-02-14,5.370000,5.410000,5.255000,5.280000,5.141338,838922
2018-02-15,5.300000,5.495000,5.300000,5.470000,5.326348,896861
2018-02-16,5.490000,5.500000,5.410000,5.450000,5.306874,259964
2018-02-19,5.430000,5.550000,5.430000,5.500000,5.355561,532864
2018-02-20,5.500000,5.510000,5.440000,5.500000,5.355561,515391
2018-02-21,5.480000,5.500000,5.440000,5.480000,5.336086,367984
2018-02-22,5.500000,5.570000,5.440000,5.550000,5.404248,990927
2018-02-23,5.590000,5.640000,5.540000,5.580000,5.433460,608798
2018-02-26,5.600000,5.620000,5.560000,5.580000,5.433460,836721
2018-02-27,5.620000,5.620000,5.020000,5.200000,5.063439,2939484
2018-02-28,5.380000,5.590000,5.220000,5.530000,5.384773,2274516
2018-03-01,5.570000,5.720000,5.530000,5.660000,5.511359,1647026
2018-03-02,5.450000,5.450000,5.310000,5.400000,5.258187,38810389
2018-03-05,5.440000,5.460000,5.375000,5.420000,5.277662,1483579
2018-03-06,5.450000,5.510000,5.420000,5.450000,5.306874,2090873
2018-03-07,5.450000,5.480000,5.350000,5.360000,5.219238,4255052
2018-03-08,5.310000,5.365000,5.250000,5.270000,5.177971,1085102
2018-03-09,5.230000,5.330000,5.180000,5.280000,5.187797,913250
2018-03-12,5.280000,5.420000,5.200000,5.340000,5.246748,1114799
2018-03-13,5.250000,5.405000,5.200000,5.380000,5.286050,1534714
2018-03-14,5.300000,5.360000,5.140000,5.340000,5.246748,2410011
2018-03-15,5.340000,5.415000,5.270000,5.360000,5.266399,934099
2018-03-16,5.390000,5.420000,5.310000,5.310000,5.217272,2542123
2018-03-19,5.310000,5.370000,5.220000,5.240000,5.148495,1229146
2018-03-20,5.230000,5.290000,5.220000,5.260000,5.168146,824423
2018-03-21,5.260000,5.340000,5.230000,5.320000,5.227098,3619374
2018-03-22,5.280000,5.360000,5.270000,5.300000,5.207447,753015
2018-03-23,5.240000,5.250000,5.130000,5.140000,5.050241,1049284
2018-03-26,5.090000,5.200000,5.090000,5.140000,5.050241,1054810
2018-03-27,5.160000,5.270000,5.150000,5.210000,5.119019,1452399
2018-03-28,5.170000,5.260000,5.120000,5.200000,5.109193,970650
2018-03-29,5.150000,5.190000,5.130000,5.130000,5.040416,1435003
2018-04-03,5.070000,5.160000,5.050000,5.090000,5.001114,904705
2018-04-04,5.050000,5.100000,5.000000,5.080000,4.991289,1001924
2018-04-05,5.050000,5.150000,5.050000,5.100000,5.010940,608430
2018-04-06,5.070000,5.280000,5.070000,5.230000,5.138669,661301
2018-04-09,5.200000,5.380000,5.170000,5.370000,5.276225,899238
2018-04-10,5.350000,5.500000,5.330000,5.440000,5.345002,1029360
2018-04-11,5.430000,5.500000,5.430000,5.430000,5.335177,764447
2018-04-12,5.410000,5.470000,5.380000,5.400000,5.305701,580485
2018-04-13,5.380000,5.430000,5.320000,5.340000,5.246748,452289
2018-04-16,5.340000,5.395000,5.310000,5.340000,5.246748,823294
2018-04-17,5.350000,5.395000,5.240000,5.310000,5.217272,1995744
2018-04-18,5.430000,5.450000,5.350000,5.360000,5.266399,1315885
2018-04-19,5.460000,5.470000,5.370000,5.410000,5.315526,732773
2018-04-20,5.420000,5.440000,5.365000,5.380000,5.286050,816585
2018-04-23,5.420000,5.520000,5.420000,5.490000,5.394129,1351671
2018-04-24,5.550000,5.760000,5.470000,5.710000,5.610287,4226629
2018-04-26,5.870000,6.000000,5.840000,5.900000,5.796969,2628804
2018-04-27,5.910000,5.950000,5.780000,5.900000,5.796969,1328797
2018-04-30,5.950000,6.000000,5.890000,5.910000,5.806794,1331925
2018-05-01,5.900000,5.950000,5.850000,5.900000,5.796969,989762
2018-05-02,5.940000,6.070000,5.880000,6.020000,5.914874,2015596
2018-05-03,6.040000,6.180000,5.980000,6.080000,5.973826,1160269
2018-05-04,6.090000,6.100000,6.000000,6.010000,5.905049,759807
2018-05-07,6.080000,6.110000,6.060000,6.070000,5.964001,868634
2018-05-08,6.080000,6.080000,5.945000,5.950000,5.846096,1224948
2018-05-09,5.950000,6.020000,5.900000,5.990000,5.885397,1533334
2018-05-10,6.040000,6.120000,5.985000,6.040000,5.934525,1117922
2018-05-11,6.060000,6.110000,6.020000,6.030000,5.924700,931771
2018-05-14,6.030000,6.100000,6.010000,6.070000,5.964001,635299
2018-05-15,6.050000,6.150000,6.040000,6.100000,5.993477,854747
2018-05-16,6.100000,6.100000,6.020000,6.020000,5.914874,729777
2018-05-17,6.030000,6.040000,5.950000,5.960000,5.855922,960285
2018-05-18,5.970000,6.000000,5.900000,5.940000,5.836271,568799
2018-05-21,5.940000,6.020000,5.940000,5.970000,5.865746,1073741
2018-05-22,5.940000,6.010000,5.930000,5.990000,5.885397,635450
2018-05-23,6.020000,6.080000,5.960000,5.970000,5.865746,915940
2018-05-24,5.910000,5.940000,5.880000,5.890000,5.787144,533162
2018-05-25,5.880000,6.050000,5.870000,5.990000,5.885397,1136716
2018-05-28,6.000000,6.000000,5.900000,5.920000,5.816620,368606
2018-05-29,5.890000,5.950000,5.880000,5.920000,5.816620,421883
2018-05-30,5.870000,5.890000,5.690000,5.800000,5.698716,945849
2018-05-31,5.850000,6.075000,5.820000,6.010000,5.905049,2292220
2018-06-01,5.910000,5.980000,5.630000,5.710000,5.610287,1056113
2018-06-04,5.680000,5.740000,5.530000,5.600000,5.502208,1256133
2018-06-05,5.550000,5.700000,5.490000,5.640000,5.541510,1303637
2018-06-06,5.630000,5.690000,5.610000,5.690000,5.590637,823844
2018-06-07,5.580000,5.740000,5.580000,5.670000,5.570986,474650
2018-06-08,5.550000,5.690000,5.550000,5.620000,5.521859,495632
2018-06-12,5.630000,5.730000,5.610000,5.700000,5.600462,766697
2018-06-13,5.610000,5.740000,5.600000,5.630000,5.531684,635124
2018-06-14,5.610000,5.765000,5.600000,5.700000,5.600462,486423
2018-06-15,5.730000,5.900000,5.710000,5.750000,5.649589,2066126
2018-06-18,5.830000,5.860000,5.730000,5.750000,5.649589,714400
2018-06-19,5.760000,5.840000,5.710000,5.830000,5.728191,1002974
2018-06-20,5.910000,6.005000,5.850000,5.980000,5.875572,1230974
2018-06-21,6.130000,6.150000,6.030000,6.070000,5.964001,2065043
2018-06-22,6.100000,6.100000,5.910000,5.940000,5.836271,637643
2018-06-25,5.940000,5.940000,5.830000,5.870000,5.767493,1291508
2018-06-26,5.860000,6.110000,5.840000,6.080000,5.973826,1055548
2018-06-27,6.060000,6.115000,5.950000,6.020000,5.914874,2679022
2018-06-28,6.040000,6.300000,6.030000,6.230000,6.121207,1538401
2018-06-29,6.220000,6.290000,6.130000,6.170000,6.062254,965909
2018-07-02,6.190000,6.200000,6.070000,6.090000,5.983652,630119
2018-07-03,6.090000,6.140000,6.020000,6.030000,5.924700,1094491
2018-07-04,6.050000,6.190000,5.975000,6.020000,5.914874,1050739
2018-07-05,6.130000,6.145000,6.040000,6.070000,5.964001,378954
2018-07-06,6.080000,6.090000,5.990000,6.010000,5.905049,837869
2018-07-09,6.010000,6.010000,5.900000,5.960000,5.855922,1114431
2018-07-10,5.960000,5.980000,5.905000,5.940000,5.836271,736044
2018-07-11,5.930000,5.960000,5.900000,5.910000,5.806794,597193
2018-07-12,5.950000,5.990000,5.870000,5.900000,5.796969,833875
2018-07-13,5.870000,5.995000,5.870000,5.960000,5.855922,863622
2018-07-16,5.940000,6.120000,5.935000,5.970000,5.865746,726285
2018-07-17,6.000000,6.060000,5.950000,6.030000,5.924700,804844
2018-07-18,6.050000,6.220000,6.020000,6.200000,6.091730,1052722
2018-07-19,6.170000,6.170000,6.080000,6.100000,5.993477,778661
2018-07-20,6.130000,6.170000,6.070000,6.120000,6.013127,514622
2018-07-23,6.080000,6.100000,6.030000,6.050000,5.944350,414868
2018-07-24,6.020000,6.120000,6.020000,6.100000,5.993477,443503
2018-07-25,6.090000,6.130000,6.015000,6.060000,5.954175,754760
2018-07-26,5.950000,6.050000,5.755000,6.010000,5.905049,1734082
2018-07-27,6.080000,6.130000,6.060000,6.100000,5.993477,596615
2018-07-30,6.110000,6.240000,6.110000,6.200000,6.091730,855026
2018-07-31,6.240000,6.345000,6.185000,6.200000,6.091730,663147
2018-08-01,6.200000,6.260000,6.180000,6.200000,6.091730,445902
2018-08-02,6.220000,6.230000,6.170000,6.190000,6.081905,544091
2018-08-03,6.220000,6.260000,6.180000,6.190000,6.081905,686783
2018-08-06,6.290000,6.290000,6.180000,6.230000,6.121207,540072
2018-08-07,6.240000,6.250000,6.150000,6.180000,6.072080,851123
2018-08-08,6.200000,6.300000,6.160000,6.250000,6.140858,501858
2018-08-09,6.330000,6.500000,6.310000,6.420000,6.307889,1020013
2018-08-10,6.500000,6.510000,6.420000,6.450000,6.337365,1213785
2018-08-13,6.490000,6.500000,6.450000,6.480000,6.366841,628992
2018-08-14,6.530000,6.535000,6.485000,6.510000,6.396317,1310779
2018-08-15,6.540000,6.650000,6.450000,6.520000,6.406143,1412639
2018-08-16,6.470000,6.560000,6.360000,6.370000,6.258762,1344961
2018-08-17,6.520000,6.530000,6.310000,6.350000,6.239111,1374540
2018-08-20,6.400000,6.470000,6.210000,6.240000,6.131032,2094026
2018-08-21,6.300000,6.390000,6.300000,6.350000,6.239111,1059526
2018-08-22,6.360000,6.590000,6.310000,6.580000,6.465095,2185683
2018-08-23,6.650000,6.705000,6.600000,6.660000,6.543698,1218650
2018-08-24,6.800000,6.830000,6.650000,6.690000,6.573174,839290
2018-08-27,6.800000,6.800000,6.660000,6.710000,6.592824,905450
2018-08-28,5.000000,5.130000,4.060000,4.200000,4.126656,26096525
2018-08-29,3.990000,4.290000,3.900000,3.970000,3.900673,16744089
2018-08-30,4.140000,4.280000,4.020000,4.210000,4.136482,12072064
2018-08-31,4.220000,4.360000,4.150000,4.240000,4.165957,9769035
2018-09-03,4.340000,4.580000,4.310000,4.540000,4.460719,4773527
2018-09-04,4.590000,4.970000,4.560000,4.770000,4.686702,11296408
2018-09-05,4.880000,4.880000,4.600000,4.770000,4.686702,3595533
2018-09-06,4.710000,4.720000,4.410000,4.490000,4.411592,3717476
2018-09-07,4.370000,4.480000,4.320000,4.460000,4.405665,4166201
2018-09-10,4.500000,4.500000,4.180000,4.210000,4.158711,3256682
2018-09-11,4.240000,4.320000,4.090000,4.200000,4.148832,2899425
2018-09-12,4.210000,4.300000,4.205000,4.220000,4.168589,2264001
