Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,4.170000,4.195000,4.135000,4.160000,3.752863,9000895
2018-01-31,4.150000,4.235000,4.150000,4.220000,3.806991,9101406
2018-02-01,4.220000,4.250000,4.210000,4.250000,3.834055,14421294
2018-02-02,4.160000,4.200000,4.110000,4.170000,3.761885,8694926
2018-02-05,4.120000,4.130000,4.080000,4.080000,3.680693,8379720
2018-02-06,4.000000,4.040000,3.920000,3.950000,3.563416,11585548
2018-02-07,3.970000,4.010000,3.940000,3.960000,3.572437,12945961
2018-02-08,3.940000,3.990000,3.940000,3.960000,3.572437,6581160
2018-02-09,3.950000,4.020000,3.920000,3.990000,3.599501,10372138
2018-02-12,3.970000,3.980000,3.930000,3.950000,3.563416,5874530
2018-02-13,3.960000,4.010000,3.940000,3.990000,3.599501,6202490
2018-02-14,3.980000,4.000000,3.950000,3.980000,3.590480,8363995
2018-02-15,3.930000,3.950000,3.920000,3.940000,3.554395,9221862
2018-02-16,3.950000,3.975000,3.930000,3.950000,3.563416,7385432
2018-02-19,3.970000,4.000000,3.950000,3.980000,3.590480,3107648
2018-02-20,3.970000,4.025000,3.950000,4.010000,3.617544,3828612
2018-02-21,4.070000,4.150000,4.040000,4.110000,3.707757,8008851
2018-02-22,4.080000,4.130000,3.995000,4.000000,3.608523,10681010
2018-02-23,4.010000,4.070000,3.995000,4.040000,3.644608,7257904
2018-02-26,4.070000,4.105000,4.050000,4.100000,3.698735,6209910
2018-02-27,4.100000,4.140000,4.080000,4.120000,3.716778,8220389
2018-02-28,4.120000,4.120000,4.010000,4.040000,3.644608,10236330
2018-03-01,4.020000,4.050000,4.000000,4.050000,3.653629,10857492
2018-03-02,4.050000,4.090000,4.030000,4.070000,3.671672,7963221
2018-03-05,4.070000,4.090000,4.040000,4.060000,3.662650,3257411
2018-03-06,4.090000,4.100000,4.010000,4.040000,3.644608,5558492
2018-03-07,4.020000,4.030000,3.995000,4.000000,3.608523,6048005
2018-03-08,4.000000,4.040000,3.990000,4.040000,3.644608,4692178
2018-03-09,4.030000,4.100000,4.030000,4.090000,3.689714,6142356
2018-03-12,4.100000,4.150000,4.100000,4.110000,3.707757,4361243
2018-03-13,4.110000,4.115000,4.070000,4.100000,3.698735,7791685
2018-03-14,4.080000,4.100000,4.070000,4.070000,3.671672,4306602
2018-03-15,4.110000,4.120000,4.070000,4.100000,3.698735,8863384
2018-03-16,4.110000,4.150000,4.100000,4.150000,3.743842,11571046
2018-03-19,4.170000,4.200000,4.140000,4.190000,3.779927,4215139
2018-03-20,4.130000,4.140000,4.115000,4.130000,3.725800,5807674
2018-03-21,4.120000,4.130000,4.040000,4.090000,3.689714,10069330
2018-03-22,4.060000,4.075000,4.015000,4.060000,3.662650,6024932
2018-03-23,4.020000,4.040000,4.000000,4.010000,3.617544,4147775
2018-03-26,3.990000,3.990000,3.950000,3.970000,3.581459,5811766
2018-03-27,3.990000,4.000000,3.960000,3.990000,3.599501,7930654
2018-03-28,4.000000,4.050000,3.990000,4.000000,3.608523,5746059
2018-03-29,3.990000,4.050000,3.990000,4.030000,3.635587,11601327
2018-04-03,3.990000,4.015000,3.980000,3.980000,3.590480,4555852
2018-04-04,4.000000,4.020000,3.950000,4.010000,3.617544,5485655
2018-04-05,4.000000,4.060000,4.000000,4.040000,3.644608,4459904
2018-04-06,4.030000,4.060000,4.020000,4.050000,3.653629,7214936
2018-04-09,4.050000,4.070000,4.020000,4.050000,3.653629,3887188
2018-04-10,4.030000,4.060000,4.030000,4.050000,3.653629,4035635
2018-04-11,4.010000,4.025000,4.000000,4.010000,3.617544,4124949
2018-04-12,3.960000,3.990000,3.950000,3.950000,3.563416,5447940
2018-04-13,3.950000,3.980000,3.940000,3.950000,3.563416,5796269
2018-04-16,3.960000,3.960000,3.920000,3.930000,3.545373,3093745
2018-04-17,3.930000,3.960000,3.920000,3.940000,3.554395,3303207
2018-04-18,3.980000,3.980000,3.950000,3.970000,3.581459,2926848
2018-04-19,3.980000,3.990000,3.930000,3.950000,3.563416,4758388
2018-04-20,3.950000,3.950000,3.910000,3.910000,3.527331,4355361
2018-04-23,3.930000,3.930000,3.900000,3.910000,3.527331,3475261
2018-04-24,3.940000,3.960000,3.910000,3.950000,3.563416,5093145
2018-04-26,3.960000,4.000000,3.940000,3.980000,3.590480,5605948
2018-04-27,4.000000,4.020000,3.990000,4.010000,3.617544,4911261
2018-04-30,4.050000,4.140000,4.040000,4.140000,3.734821,11234035
2018-05-01,4.150000,4.200000,4.130000,4.170000,3.761885,5389910
