Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,4.850000,4.890000,4.800000,4.850000,4.312324,1501195
2017-01-31,4.810000,4.840000,4.760000,4.770000,4.241193,2997618
2017-02-01,4.750000,4.790000,4.720000,4.760000,4.232303,4021664
2017-02-02,4.760000,4.785000,4.680000,4.700000,4.178954,4194894
2017-02-03,4.700000,4.760000,4.650000,4.680000,4.161170,3338277
2017-02-06,4.730000,4.760000,4.700000,4.720000,4.196737,2443359
2017-02-07,4.700000,4.820000,4.690000,4.810000,4.276759,3562033
2017-02-08,4.800000,4.830000,4.780000,4.820000,4.285651,7589940
2017-02-09,4.790000,4.900000,4.790000,4.900000,4.356782,5112431
2017-02-10,4.960000,5.040000,4.940000,5.020000,4.463479,6027633
2017-02-13,5.020000,5.050000,4.980000,5.020000,4.463479,2351402
2017-02-14,5.050000,5.070000,5.000000,5.060000,4.499043,2674015
2017-02-15,5.080000,5.080000,4.965000,5.020000,4.463479,2611705
2017-02-16,4.800000,5.180000,4.800000,5.040000,4.481261,9621980
2017-02-17,5.000000,5.080000,4.950000,5.040000,4.481261,9128665
2017-02-20,5.050000,5.060000,4.970000,5.000000,4.445696,7598828
2017-02-21,4.950000,4.970000,4.890000,4.960000,4.477290,4284180
2017-02-22,4.960000,4.960000,4.890000,4.900000,4.423129,4382643
2017-02-23,4.920000,4.955000,4.880000,4.930000,4.450209,5815553
2017-02-24,4.950000,4.985000,4.890000,4.890000,4.414101,8530008
2017-02-27,4.910000,4.910000,4.860000,4.910000,4.432155,3248307
2017-02-28,4.940000,4.970000,4.880000,4.880000,4.405075,2791215
2017-03-01,4.900000,4.920000,4.830000,4.910000,4.432155,3097651
2017-03-02,4.970000,5.040000,4.920000,5.030000,4.540477,3082227
2017-03-03,4.990000,5.030000,4.940000,5.010000,4.522423,3827242
2017-03-06,4.990000,5.020000,4.940000,5.010000,4.522423,2464836
2017-03-07,5.010000,5.050000,5.000000,5.050000,4.558530,4046576
2017-03-08,5.050000,5.085000,5.010000,5.060000,4.567557,2766343
2017-03-09,5.050000,5.130000,5.040000,5.130000,4.630745,2335937
2017-03-10,5.150000,5.200000,5.120000,5.200000,4.693933,2784100
2017-03-13,5.200000,5.220000,5.170000,5.200000,4.693933,3934012
2017-03-14,5.200000,5.350000,5.200000,5.350000,4.829334,5294445
2017-03-15,5.270000,5.280000,5.180000,5.230000,4.721013,4660013
2017-03-16,5.240000,5.300000,5.210000,5.270000,4.757120,5064998
2017-03-17,5.300000,5.300000,5.240000,5.280000,4.766147,3954122
2017-03-20,5.210000,5.360000,5.210000,5.350000,4.829334,2778253
2017-03-21,5.320000,5.350000,5.270000,5.300000,4.784201,1996011
2017-03-22,5.250000,5.340000,5.240000,5.320000,4.802254,2972934
2017-03-23,5.300000,5.360000,5.300000,5.340000,4.820308,1949044
2017-03-24,5.330000,5.430000,5.320000,5.430000,4.901548,2834159
2017-03-27,5.430000,5.440000,5.340000,5.430000,4.901548,2526272
2017-03-28,5.430000,5.510000,5.410000,5.480000,4.946682,10425945
2017-03-29,5.470000,5.540000,5.440000,5.540000,5.000843,3872771
2017-03-30,5.540000,5.570000,5.500000,5.550000,5.009871,4579278
2017-03-31,5.570000,5.570000,5.460000,5.470000,4.937655,4144454
2017-04-03,5.500000,5.590000,5.460000,5.470000,4.937655,3262717
2017-04-04,5.430000,5.560000,5.430000,5.550000,5.009871,5929405
2017-04-05,5.540000,5.550000,5.480000,5.510000,4.973763,4992807
2017-04-06,5.500000,5.530000,5.490000,5.500000,4.964736,4013896
2017-04-07,5.480000,5.530000,5.435000,5.490000,4.955709,3933270
2017-04-10,5.500000,5.510000,5.410000,5.440000,4.910575,6733486
2017-04-11,5.430000,5.580000,5.430000,5.520000,4.982790,4152236
2017-04-12,5.520000,5.570000,5.500000,5.520000,4.982790,4564060
2017-04-13,5.500000,5.610000,5.470000,5.600000,5.055004,2971444
2017-04-18,5.570000,5.590000,5.485000,5.490000,4.955709,1595367
2017-04-19,5.440000,5.615000,5.440000,5.570000,5.027924,7102767
2017-04-20,5.600000,5.600000,5.505000,5.540000,5.000843,2009418
2017-04-21,5.560000,5.680000,5.520000,5.580000,5.036951,3117332
2017-04-24,5.600000,5.640000,5.570000,5.640000,5.091111,1956985
2017-04-26,5.650000,5.650000,5.610000,5.620000,5.073057,962860
