Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,12.090000,12.210000,11.990000,12.040000,12.040000,567231
2019-09-17,11.970000,12.090000,11.900000,12.010000,12.010000,615395
2019-09-18,12.000000,12.040000,11.825000,11.920000,11.920000,908901
2019-09-19,11.900000,12.090000,11.625000,11.890000,11.890000,1069928
2019-09-20,11.900000,12.010000,11.720000,11.880000,11.880000,682900
2019-09-23,11.870000,12.030000,11.780000,11.960000,11.960000,361973
2019-09-24,11.960000,12.040000,11.770000,11.800000,11.800000,348195
2019-09-25,11.910000,12.100000,11.760000,12.070000,12.070000,1660746
2019-09-26,12.080000,12.310000,11.990000,12.160000,12.160000,300107
2019-09-27,12.270000,12.390000,12.130000,12.260000,12.260000,334463
2019-09-30,12.390000,12.490000,12.170000,12.210000,12.210000,604931
2019-10-01,12.220000,12.650000,12.170000,12.430000,12.430000,756542
2019-10-02,12.410000,12.500000,12.240000,12.240000,12.240000,481326
2019-10-03,11.930000,12.200000,11.800000,12.050000,12.050000,437010
2019-10-04,12.050000,12.050000,12.050000,12.050000,12.050000,0
2019-10-07,12.040000,12.130000,11.970000,12.040000,12.040000,303212
2019-10-08,12.030000,12.060000,11.930000,11.990000,11.990000,384829
2019-10-09,11.850000,12.040000,11.740000,11.930000,11.930000,620500
2019-10-10,11.890000,12.025000,11.870000,12.000000,12.000000,483413
2019-10-11,12.010000,12.030000,11.750000,11.840000,11.840000,411889
2019-10-14,11.850000,11.930000,11.700000,11.720000,11.720000,356983
2019-10-15,11.810000,12.050000,11.700000,11.980000,11.980000,810224
2019-10-16,12.020000,12.265000,11.950000,12.240000,12.240000,674890
2019-10-17,12.300000,12.300000,12.080000,12.100000,12.100000,460948
2019-10-18,11.270000,11.480000,11.110000,11.250000,11.250000,35540046
2019-10-21,11.200000,11.530000,11.190000,11.260000,11.260000,908031
2019-10-22,11.270000,11.305000,11.085000,11.150000,11.150000,1172191
2019-10-23,11.110000,11.380000,11.100000,11.220000,11.220000,1302893
2019-10-24,11.330000,11.360000,11.100000,11.210000,11.210000,1410455
2019-10-25,11.250000,11.350000,11.110000,11.150000,11.150000,860079
2019-10-28,11.220000,11.350000,11.150000,11.280000,11.280000,479201
2019-10-29,11.330000,11.510000,11.270000,11.400000,11.400000,2183929
2019-10-30,11.280000,11.540000,11.280000,11.400000,11.400000,667977
2019-10-31,11.440000,11.510000,11.350000,11.410000,11.410000,813799
2019-11-01,11.440000,11.470000,11.350000,11.400000,11.400000,592614
2019-11-04,11.450000,11.520000,11.290000,11.380000,11.380000,546789
2019-11-05,11.450000,11.480000,11.310000,11.400000,11.400000,410508
2019-11-06,11.450000,11.520000,11.140000,11.180000,11.180000,407923
2019-11-07,11.180000,11.310000,11.160000,11.250000,11.250000,486929
2019-11-08,11.210000,11.345000,11.110000,11.150000,11.150000,623028
2019-11-11,11.250000,11.270000,11.120000,11.200000,11.200000,570340
2019-11-12,11.200000,11.330000,11.190000,11.250000,11.250000,474479
2019-11-13,11.310000,11.420000,11.250000,11.250000,11.250000,752911
2019-11-14,11.250000,11.320000,10.920000,11.010000,11.010000,1266615
2019-11-15,11.120000,11.230000,10.920000,10.990000,10.990000,998020
2019-11-18,9.700000,9.800000,8.880000,9.490000,9.490000,6576351
2019-11-19,9.500000,9.510000,9.290000,9.400000,9.400000,2638694
2019-11-20,9.400000,9.440000,9.285000,9.380000,9.380000,1565978
2019-11-21,9.380000,9.380000,9.215000,9.290000,9.290000,1547982
2019-11-22,9.300000,9.490000,9.300000,9.320000,9.320000,980257
2019-11-25,9.330000,9.390000,9.170000,9.190000,9.190000,385952
2019-11-26,9.170000,9.310000,9.170000,9.270000,9.270000,1191952
2019-11-27,9.300000,9.435000,9.080000,9.380000,9.380000,1424474
2019-11-28,9.400000,9.500000,9.180000,9.270000,9.270000,839143
2019-11-29,9.290000,9.290000,9.045000,9.050000,9.050000,826115
2019-12-02,9.090000,9.290000,9.050000,9.060000,9.060000,790050
