Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,3.740000,3.800000,3.740000,3.780000,3.780000,404712
2019-09-17,3.780000,3.780000,3.710000,3.710000,3.710000,330052
2019-09-18,3.720000,3.750000,3.650000,3.650000,3.650000,305571
2019-09-19,3.650000,3.710000,3.650000,3.700000,3.700000,834324
2019-09-20,3.720000,3.750000,3.690000,3.690000,3.690000,242691
2019-09-23,3.690000,3.745000,3.690000,3.740000,3.740000,276635
2019-09-24,3.710000,3.750000,3.710000,3.740000,3.740000,612062
2019-09-25,3.680000,3.700000,3.650000,3.650000,3.650000,321514
2019-09-26,3.660000,3.680000,3.650000,3.670000,3.670000,362434
2019-09-27,3.700000,3.760000,3.690000,3.760000,3.760000,186173
2019-09-30,3.730000,3.760000,3.690000,3.700000,3.700000,330047
2019-10-01,3.710000,3.750000,3.700000,3.740000,3.740000,196007
2019-10-02,3.730000,3.745000,3.690000,3.710000,3.710000,261936
2019-10-03,3.660000,3.680000,3.630000,3.670000,3.670000,449796
2019-10-04,3.670000,3.670000,3.670000,3.670000,3.670000,0
2019-10-07,3.680000,3.700000,3.660000,3.680000,3.680000,146117
2019-10-08,3.700000,3.740000,3.680000,3.720000,3.720000,163200
2019-10-09,3.690000,3.705000,3.650000,3.650000,3.650000,356661
2019-10-10,3.650000,3.680000,3.650000,3.680000,3.680000,296545
2019-10-11,3.710000,3.710000,3.670000,3.690000,3.690000,180044
2019-10-14,3.700000,3.740000,3.690000,3.730000,3.730000,266056
2019-10-15,3.720000,3.730000,3.700000,3.700000,3.700000,136422
2019-10-16,3.730000,3.740000,3.680000,3.690000,3.690000,294255
2019-10-17,3.710000,3.710000,3.640000,3.640000,3.640000,247582
2019-10-18,3.650000,3.720000,3.650000,3.660000,3.660000,242543
2019-10-21,3.670000,3.730000,3.670000,3.720000,3.720000,144156
2019-10-22,3.720000,3.720000,3.570000,3.620000,3.620000,863816
2019-10-23,3.550000,3.630000,3.550000,3.610000,3.610000,279438
2019-10-24,3.620000,3.740000,3.590000,3.710000,3.710000,449003
2019-10-25,3.680000,3.680000,3.630000,3.640000,3.640000,171253
2019-10-28,3.620000,3.650000,3.620000,3.630000,3.630000,43284
2019-10-29,3.630000,3.640000,3.600000,3.610000,3.610000,162796
2019-10-30,3.630000,3.630000,3.600000,3.610000,3.610000,311752
2019-10-31,3.640000,3.640000,3.575000,3.590000,3.590000,269322
2019-11-01,3.580000,3.610000,3.565000,3.610000,3.610000,136520
2019-11-04,3.610000,3.680000,3.610000,3.660000,3.660000,247888
2019-11-05,3.670000,3.670000,3.615000,3.630000,3.630000,165942
2019-11-06,3.610000,3.660000,3.570000,3.570000,3.570000,513105
2019-11-07,3.550000,3.590000,3.550000,3.550000,3.550000,536145
2019-11-08,3.540000,3.620000,3.540000,3.610000,3.610000,277933
2019-11-11,3.610000,3.690000,3.610000,3.690000,3.690000,176464
2019-11-12,3.690000,3.710000,3.650000,3.660000,3.660000,430237
2019-11-13,3.680000,3.680000,3.580000,3.580000,3.580000,372181
2019-11-14,3.630000,3.670000,3.620000,3.660000,3.660000,532491
2019-11-15,3.650000,3.690000,3.640000,3.680000,3.680000,160196
2019-11-18,3.640000,3.680000,3.620000,3.640000,3.640000,108132
2019-11-19,3.670000,3.690000,3.635000,3.670000,3.670000,428284
2019-11-20,3.690000,3.690000,3.640000,3.640000,3.640000,191905
2019-11-21,3.650000,3.680000,3.640000,3.650000,3.650000,182904
2019-11-22,3.670000,3.680000,3.640000,3.670000,3.670000,498420
2019-11-25,3.670000,3.680000,3.650000,3.660000,3.660000,94359
2019-11-26,3.710000,3.760000,3.670000,3.690000,3.690000,270912
2019-11-27,3.730000,3.795000,3.710000,3.790000,3.790000,240816
2019-11-28,3.800000,3.820000,3.770000,3.810000,3.810000,213284
2019-11-29,3.790000,3.830000,3.750000,3.770000,3.770000,237770
2019-12-02,3.770000,3.790000,3.740000,3.740000,3.740000,428018
2019-12-03,3.710000,3.720000,3.690000,3.690000,3.690000,478207
2019-12-04,3.680000,3.740000,3.680000,3.690000,3.690000,591608
2019-12-05,3.700000,3.740000,3.700000,3.740000,3.740000,132225
2019-12-06,3.700000,3.760000,3.700000,3.740000,3.740000,89630
2019-12-09,3.770000,3.770000,3.720000,3.750000,3.750000,131746
2019-12-10,3.730000,3.750000,3.710000,3.730000,3.730000,211493
2019-12-11,3.750000,3.750000,3.690000,3.710000,3.710000,158265
2019-12-12,3.720000,3.730000,3.700000,3.700000,3.700000,78732
2019-12-13,3.700000,3.730000,3.680000,3.690000,3.690000,130773
2019-12-16,3.730000,3.800000,3.710000,3.780000,3.780000,436297
2019-12-17,3.780000,3.850000,3.760000,3.830000,3.830000,152527
2019-12-18,3.810000,3.820000,3.760000,3.800000,3.800000,361770
2019-12-19,3.840000,3.840000,3.790000,3.800000,3.800000,383158
2019-12-20,3.770000,3.820000,3.770000,3.780000,3.780000,412063
2019-12-23,3.800000,3.860000,3.780000,3.810000,3.810000,108423
2019-12-24,3.810000,3.850000,3.790000,3.790000,3.790000,62906
2019-12-27,3.790000,3.825000,3.790000,3.800000,3.800000,70489
2019-12-30,3.800000,3.830000,3.780000,3.820000,3.820000,72426
2019-12-31,3.800000,3.820000,3.640000,3.640000,3.640000,158427
2020-01-02,3.640000,3.750000,3.640000,3.640000,3.640000,94115
2020-01-03,3.820000,3.840000,3.740000,3.800000,3.800000,208458
2020-01-06,3.780000,3.800000,3.745000,3.770000,3.770000,256949
2020-01-07,3.820000,3.900000,3.780000,3.900000,3.900000,253204
2020-01-08,3.900000,3.920000,3.830000,3.900000,3.900000,215889
2020-01-09,3.910000,3.970000,3.890000,3.970000,3.970000,283522
2020-01-10,3.950000,3.950000,3.920000,3.950000,3.950000,260308
2020-01-13,3.910000,3.930000,3.880000,3.930000,3.930000,142592
2020-01-14,3.920000,3.950000,3.890000,3.950000,3.950000,196098
2020-01-15,3.950000,3.970000,3.940000,3.960000,3.960000,157830
2020-01-16,3.970000,3.990000,3.930000,3.970000,3.970000,319638
2020-01-17,3.980000,3.980000,3.940000,3.970000,3.970000,279139
2020-01-20,3.960000,3.990000,3.860000,3.880000,3.880000,481533
2020-01-21,3.950000,3.950000,3.890000,3.940000,3.940000,174125
2020-01-22,3.940000,3.950000,3.900000,3.930000,3.930000,271342
2020-01-23,3.940000,3.940000,3.880000,3.890000,3.890000,271819
2020-01-24,3.940000,3.945000,3.920000,3.940000,3.940000,184939
2020-01-28,3.850000,3.860000,3.650000,3.690000,3.690000,454655
2020-01-29,3.790000,3.790000,3.620000,3.620000,3.620000,483069
2020-01-30,3.660000,3.660000,3.540000,3.590000,3.590000,605244
2020-01-31,3.620000,3.620000,3.500000,3.550000,3.550000,1235710
2020-02-03,3.440000,3.500000,3.380000,3.450000,3.450000,508165
2020-02-04,3.440000,3.470000,3.410000,3.420000,3.420000,284870
2020-02-05,3.510000,3.550000,3.460000,3.490000,3.490000,611276
2020-02-06,3.570000,3.570000,3.490000,3.510000,3.510000,434513
2020-02-07,3.540000,3.540000,3.450000,3.480000,3.480000,260658
2020-02-10,3.500000,3.500000,3.410000,3.420000,3.420000,407151
2020-02-11,3.420000,3.480000,3.410000,3.430000,3.430000,735123
2020-02-12,3.440000,3.490000,3.420000,3.450000,3.450000,307532
2020-02-13,3.550000,3.590000,3.480000,3.530000,3.530000,494462
2020-02-14,3.520000,3.550000,3.500000,3.520000,3.520000,434006
