Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,2.520000,2.600000,2.520000,2.570000,2.515000,4189909
2019-09-17,2.580000,2.670000,2.505000,2.660000,2.660000,2521026
2019-09-18,2.640000,2.645000,2.570000,2.600000,2.600000,3163498
2019-09-19,2.640000,2.670000,2.590000,2.650000,2.650000,4046009
2019-09-20,2.670000,2.730000,2.650000,2.730000,2.730000,4216702
2019-09-23,2.730000,2.780000,2.705000,2.770000,2.770000,2592751
2019-09-24,2.780000,2.800000,2.720000,2.740000,2.740000,2391480
2019-09-25,2.700000,2.720000,2.610000,2.610000,2.610000,3679041
2019-09-26,2.630000,2.665000,2.585000,2.590000,2.590000,1968985
2019-09-27,2.630000,2.640000,2.560000,2.600000,2.600000,1426259
2019-09-30,2.560000,2.660000,2.560000,2.620000,2.620000,2298204
2019-10-01,2.620000,2.720000,2.600000,2.700000,2.700000,2557061
2019-10-02,2.670000,2.710000,2.650000,2.660000,2.660000,1983014
2019-10-03,2.590000,2.620000,2.560000,2.580000,2.580000,1840254
2019-10-04,2.580000,2.580000,2.580000,2.580000,2.580000,0
2019-10-07,2.560000,2.600000,2.515000,2.550000,2.550000,790863
2019-10-08,2.530000,2.550000,2.485000,2.520000,2.520000,1889177
2019-10-09,2.520000,2.595000,2.480000,2.530000,2.530000,1722524
2019-10-10,2.520000,2.630000,2.500000,2.580000,2.580000,3472223
2019-10-11,2.620000,2.625000,2.540000,2.590000,2.590000,1421778
2019-10-14,2.570000,2.620000,2.565000,2.590000,2.590000,1619637
2019-10-15,2.580000,2.630000,2.565000,2.630000,2.630000,2389454
2019-10-16,2.640000,2.710000,2.630000,2.700000,2.700000,1671198
2019-10-17,2.700000,2.735000,2.665000,2.680000,2.680000,2001470
2019-10-18,2.670000,2.760000,2.665000,2.740000,2.740000,2448914
2019-10-21,2.750000,2.780000,2.730000,2.770000,2.770000,1480989
2019-10-22,2.780000,2.810000,2.760000,2.770000,2.770000,2117021
2019-10-23,2.760000,2.770000,2.470000,2.650000,2.650000,5737992
2019-10-24,2.730000,2.730000,2.585000,2.640000,2.640000,1641465
2019-10-25,2.630000,2.640000,2.550000,2.570000,2.570000,1250269
2019-10-28,2.570000,2.600000,2.540000,2.540000,2.540000,1171425
2019-10-29,2.540000,2.560000,2.510000,2.520000,2.520000,1207483
2019-10-30,2.520000,2.610000,2.500000,2.600000,2.600000,2962536
2019-10-31,2.590000,2.630000,2.560000,2.580000,2.580000,2374338
2019-11-01,2.550000,2.580000,2.540000,2.560000,2.560000,537648
2019-11-04,2.580000,2.610000,2.550000,2.590000,2.590000,686327
2019-11-05,2.540000,2.605000,2.520000,2.550000,2.550000,642325
2019-11-06,2.530000,2.540000,2.485000,2.520000,2.520000,2821048
2019-11-07,2.490000,2.530000,2.490000,2.500000,2.500000,1072610
2019-11-08,2.520000,2.530000,2.450000,2.500000,2.500000,1635352
2019-11-11,2.520000,2.530000,2.495000,2.520000,2.520000,1248709
2019-11-12,2.550000,2.570000,2.510000,2.550000,2.550000,1859994
2019-11-13,2.530000,2.580000,2.510000,2.520000,2.520000,1138143
2019-11-14,2.540000,2.550000,2.480000,2.510000,2.510000,1187517
2019-11-15,2.510000,2.530000,2.490000,2.520000,2.520000,1587332
2019-11-18,2.540000,2.540000,2.495000,2.520000,2.520000,1615577
2019-11-19,2.510000,2.520000,2.450000,2.490000,2.490000,1336410
2019-11-20,2.460000,2.595000,2.460000,2.560000,2.560000,2031064
2019-11-21,2.550000,2.565000,2.485000,2.500000,2.500000,3237112
2019-11-22,2.550000,2.570000,2.520000,2.520000,2.520000,2408282
2019-11-25,2.500000,2.515000,2.340000,2.380000,2.380000,3842513
2019-11-26,2.290000,2.410000,2.270000,2.400000,2.400000,2968908
2019-11-27,2.380000,2.430000,2.365000,2.380000,2.380000,1756340
2019-11-28,2.370000,2.520000,2.370000,2.500000,2.500000,2270778
2019-11-29,2.510000,2.515000,2.440000,2.470000,2.470000,1353598
2019-12-02,2.460000,2.500000,2.460000,2.470000,2.470000,1040054
2019-12-03,2.450000,2.460000,2.345000,2.390000,2.390000,2683987
2019-12-04,2.320000,2.360000,2.290000,2.330000,2.330000,2359186
2019-12-05,2.350000,2.380000,2.330000,2.350000,2.350000,1391664
2019-12-06,2.380000,2.400000,2.340000,2.360000,2.360000,1606703
2019-12-09,2.350000,2.420000,2.350000,2.410000,2.410000,1985832
2019-12-10,2.370000,2.420000,2.370000,2.400000,2.400000,1305717
2019-12-11,2.400000,2.410000,2.360000,2.370000,2.370000,919393
2019-12-12,2.380000,2.380000,2.320000,2.340000,2.340000,2510212
2019-12-13,2.320000,2.340000,2.290000,2.320000,2.320000,1399158
2019-12-16,2.350000,2.390000,2.330000,2.360000,2.360000,1757025
2019-12-17,2.410000,2.485000,2.390000,2.410000,2.410000,2099926
2019-12-18,2.460000,2.480000,2.430000,2.440000,2.440000,1893432
2019-12-19,2.510000,2.760000,2.490000,2.710000,2.710000,4368382
2019-12-20,2.700000,2.705000,2.640000,2.680000,2.680000,2711312
2019-12-23,2.700000,2.710000,2.640000,2.650000,2.650000,2145174
2019-12-24,2.650000,2.670000,2.640000,2.660000,2.660000,559159
2019-12-27,2.670000,2.675000,2.610000,2.650000,2.650000,1134565
2019-12-30,2.650000,2.675000,2.625000,2.650000,2.650000,514408
2019-12-31,2.650000,2.710000,2.650000,2.660000,2.660000,884810
2020-01-02,2.680000,2.700000,2.630000,2.700000,2.700000,1711701
2020-01-03,2.750000,2.750000,2.680000,2.690000,2.690000,1000842
2020-01-06,2.700000,2.710000,2.665000,2.680000,2.680000,920979
2020-01-07,2.730000,2.730000,2.640000,2.650000,2.650000,1372951
2020-01-08,2.640000,2.660000,2.560000,2.590000,2.590000,2198608
2020-01-09,2.630000,2.660000,2.600000,2.650000,2.650000,1573905
2020-01-10,2.670000,2.680000,2.640000,2.670000,2.670000,1495445
2020-01-13,2.670000,2.675000,2.650000,2.670000,2.670000,795748
2020-01-14,2.680000,2.740000,2.680000,2.710000,2.710000,1757163
2020-01-15,2.720000,2.830000,2.720000,2.820000,2.820000,1750559
2020-01-16,2.840000,2.850000,2.790000,2.800000,2.800000,1513625
2020-01-17,2.810000,2.820000,2.770000,2.790000,2.790000,2408128
2020-01-20,2.790000,2.790000,2.740000,2.750000,2.750000,1029836
2020-01-21,2.760000,2.780000,2.680000,2.710000,2.710000,1478792
2020-01-22,2.760000,2.780000,2.720000,2.750000,2.750000,1678237
2020-01-23,2.750000,2.790000,2.720000,2.750000,2.750000,2188326
2020-01-24,2.750000,2.820000,2.730000,2.760000,2.760000,2973783
2020-01-28,2.670000,2.700000,2.650000,2.680000,2.680000,1423429
2020-01-29,2.750000,2.750000,2.660000,2.660000,2.660000,805012
2020-01-30,2.760000,2.760000,2.620000,2.620000,2.620000,1010831
2020-01-31,2.630000,2.660000,2.620000,2.630000,2.630000,909078
2020-02-03,2.600000,2.770000,2.560000,2.760000,2.760000,2509983
2020-02-04,2.750000,2.765000,2.635000,2.730000,2.730000,3105456
2020-02-05,2.730000,2.770000,2.690000,2.750000,2.750000,1998065
2020-02-06,2.650000,2.680000,2.430000,2.500000,2.500000,10476418
2020-02-07,2.590000,2.620000,2.505000,2.520000,2.520000,5713025
2020-02-10,2.530000,2.530000,2.330000,2.350000,2.350000,5938557
2020-02-11,2.360000,2.360000,2.240000,2.300000,2.300000,8836610
2020-02-12,2.350000,2.350000,2.250000,2.270000,2.270000,6162358
2020-02-13,2.310000,2.420000,2.290000,2.390000,2.390000,5037163
2020-02-14,2.420000,2.430000,2.355000,2.360000,2.360000,3535362
