Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,4.080000,4.080000,4.000000,4.010000,3.883706,4798519
2017-01-31,4.000000,4.035000,3.965000,4.000000,3.874020,9156147
2017-02-01,4.000000,4.030000,3.980000,3.990000,3.864335,4461385
2017-02-02,4.010000,4.010000,3.910000,3.950000,3.825595,6220662
2017-02-03,3.950000,3.970000,3.930000,3.950000,3.825595,11418223
2017-02-06,3.960000,3.970000,3.910000,3.920000,3.796540,4125423
2017-02-07,3.900000,3.910000,3.840000,3.870000,3.748114,6167206
2017-02-08,3.810000,3.870000,3.810000,3.820000,3.699689,5630876
2017-02-09,3.820000,3.850000,3.770000,3.810000,3.690004,5684651
2017-02-10,3.850000,3.960000,3.850000,3.910000,3.786855,8313158
2017-02-13,3.930000,4.010000,3.930000,4.000000,3.874020,5574095
2017-02-14,3.980000,4.000000,3.930000,3.960000,3.835280,4890048
2017-02-15,3.980000,4.000000,3.910000,3.940000,3.815910,5232340
2017-02-16,3.960000,3.970000,3.930000,3.970000,3.844965,4847420
2017-02-17,4.000000,4.020000,3.920000,3.990000,3.864335,5523237
2017-02-20,3.990000,3.990000,3.910000,3.930000,3.806225,4803321
2017-02-21,3.940000,3.980000,3.910000,3.970000,3.844965,6212669
2017-02-22,3.990000,4.050000,3.940000,4.050000,3.922446,9311579
2017-02-23,4.000000,4.010000,3.960000,3.960000,3.835280,5301885
2017-02-24,3.970000,3.980000,3.910000,3.910000,3.786855,7715181
2017-02-27,3.900000,3.900000,3.750000,3.750000,3.631894,10884480
2017-02-28,3.780000,3.850000,3.780000,3.800000,3.680319,9006124
2017-03-01,3.780000,3.780000,3.690000,3.720000,3.602839,8680833
2017-03-02,3.810000,3.810000,3.750000,3.770000,3.651264,6454425
2017-03-03,3.710000,3.720000,3.620000,3.670000,3.554414,18509553
2017-03-06,3.700000,3.700000,3.620000,3.670000,3.554414,7128016
2017-03-07,3.650000,3.705000,3.650000,3.690000,3.573783,9694913
2017-03-08,3.660000,3.680000,3.640000,3.660000,3.544729,9393394
2017-03-09,3.540000,3.570000,3.480000,3.540000,3.428508,10026473
2017-03-10,3.550000,3.610000,3.510000,3.590000,3.476933,7329071
2017-03-13,3.560000,3.565000,3.510000,3.530000,3.418823,6557368
2017-03-14,3.570000,3.590000,3.540000,3.570000,3.457563,6452699
2017-03-15,3.570000,3.590000,3.520000,3.550000,3.438193,8573617
2017-03-16,3.610000,3.750000,3.595000,3.740000,3.622209,14468780
2017-03-17,3.750000,3.750000,3.680000,3.730000,3.612524,6721627
2017-03-20,3.690000,3.705000,3.650000,3.690000,3.573783,4245804
2017-03-21,3.680000,3.730000,3.670000,3.710000,3.593154,13544466
2017-03-22,3.650000,3.650000,3.580000,3.610000,3.496303,6334107
2017-03-23,3.610000,3.680000,3.610000,3.660000,3.544729,4257390
2017-03-24,3.660000,3.725000,3.640000,3.710000,3.593154,5735135
2017-03-27,3.680000,3.790000,3.630000,3.760000,3.641579,8362188
2017-03-28,3.800000,3.820000,3.760000,3.810000,3.690004,5620155
2017-03-29,3.820000,3.870000,3.810000,3.850000,3.728744,5152405
2017-03-30,3.880000,3.880000,3.790000,3.830000,3.709374,13244538
2017-03-31,3.850000,3.850000,3.800000,3.800000,3.680319,13276824
2017-04-03,3.790000,3.810000,3.730000,3.740000,3.622209,5708704
2017-04-04,3.730000,3.760000,3.700000,3.700000,3.583469,4743141
2017-04-05,3.740000,3.820000,3.740000,3.800000,3.680319,11390804
2017-04-06,3.760000,3.765000,3.720000,3.740000,3.622209,5998810
2017-04-07,3.770000,3.870000,3.720000,3.850000,3.728744,9658164
2017-04-10,3.860000,3.900000,3.820000,3.870000,3.748114,7708133
2017-04-11,3.900000,3.930000,3.865000,3.870000,3.748114,8175762
2017-04-12,3.890000,3.895000,3.820000,3.840000,3.719059,7086538
2017-04-13,3.810000,3.820000,3.720000,3.800000,3.680319,7828764
2017-04-18,3.780000,3.780000,3.630000,3.680000,3.564099,9134232
2017-04-19,3.660000,3.660000,3.600000,3.660000,3.544729,7309723
2017-04-20,3.600000,3.610000,3.530000,3.570000,3.457563,15348977
2017-04-21,3.600000,3.630000,3.570000,3.600000,3.486618,6637086
2017-04-24,3.580000,3.650000,3.580000,3.630000,3.515673,11909326
2017-04-26,3.660000,3.680000,3.620000,3.640000,3.525359,4658153
2017-04-27,3.490000,3.490000,3.360000,3.440000,3.331657,19945689
2017-04-28,3.420000,3.490000,3.400000,3.480000,3.370398,12571218
2017-05-01,3.510000,3.520000,3.440000,3.450000,3.341342,8722072
2017-05-02,3.450000,3.570000,3.430000,3.560000,3.447878,12120086
2017-05-03,3.540000,3.665000,3.530000,3.630000,3.515673,62146173
2017-05-04,3.720000,3.730000,3.605000,3.640000,3.525359,13391704
2017-05-05,3.540000,3.610000,3.470000,3.530000,3.418823,10189506
2017-05-08,3.620000,3.620000,3.570000,3.590000,3.476933,10031642
2017-05-09,3.620000,3.720000,3.610000,3.670000,3.554414,10849632
2017-05-10,3.670000,3.685000,3.640000,3.670000,3.554414,5474830
2017-05-11,3.700000,3.760000,3.660000,3.660000,3.544729,11641270
2017-05-12,3.620000,3.660000,3.580000,3.610000,3.496303,7567374
