Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,8.760000,8.870000,8.480000,8.780000,7.819741,1982052
2018-01-31,8.690000,8.820000,8.655000,8.760000,7.801928,973205
2018-02-01,8.800000,8.840000,8.740000,8.810000,7.846459,561757
2018-02-02,8.750000,8.780000,8.660000,8.690000,7.739584,486115
2018-02-05,8.640000,8.640000,8.435000,8.440000,7.516926,557250
2018-02-06,8.210000,8.240000,8.070000,8.180000,7.285362,782889
2018-02-07,8.240000,8.270000,8.130000,8.170000,7.276456,660438
2018-02-08,8.160000,8.505000,8.160000,8.320000,7.410050,1196702
2018-02-09,8.210000,8.360000,8.160000,8.320000,7.410050,715118
2018-02-12,8.260000,8.270000,8.120000,8.220000,7.320987,631049
2018-02-13,8.210000,8.350000,8.160000,8.300000,7.392238,681676
2018-02-14,8.270000,8.290000,8.110000,8.150000,7.258643,417607
2018-02-15,8.120000,8.220000,8.120000,8.200000,7.303174,613601
2018-02-16,8.220000,8.260000,8.090000,8.130000,7.240830,613590
2018-02-19,8.080000,8.280000,8.080000,8.220000,7.320987,581330
2018-02-20,7.200000,7.230000,6.780000,7.030000,6.261137,5064383
2018-02-21,7.050000,7.350000,6.980000,7.350000,6.546138,3290024
2018-02-22,7.360000,7.430000,7.090000,7.110000,6.332386,2292884
2018-02-23,7.100000,7.200000,7.030000,7.180000,6.394731,1318060
2018-02-26,7.210000,7.280000,7.120000,7.150000,6.368012,1200302
2018-02-27,7.180000,7.240000,7.120000,7.200000,6.412543,957392
2018-02-28,7.100000,7.100000,6.750000,6.800000,6.242705,1558308
2018-03-01,6.800000,6.910000,6.720000,6.830000,6.270246,919755
2018-03-02,6.780000,6.780000,6.675000,6.700000,6.150900,954080
2018-03-05,6.700000,6.730000,6.580000,6.620000,6.077457,801806
2018-03-06,6.650000,6.720000,6.610000,6.650000,6.104998,1088325
2018-03-07,6.630000,6.640000,6.580000,6.600000,6.059096,1085413
2018-03-08,6.620000,6.835000,6.600000,6.780000,6.224344,834354
2018-03-09,6.830000,6.870000,6.770000,6.790000,6.233524,913669
2018-03-12,6.850000,6.860000,6.550000,6.560000,6.022375,981733
2018-03-13,6.560000,6.570000,6.420000,6.550000,6.013194,1353596
2018-03-14,6.550000,6.700000,6.450000,6.630000,6.086637,1402103
2018-03-15,6.600000,6.840000,6.600000,6.830000,6.270246,1249393
2018-03-16,6.860000,7.030000,6.830000,7.020000,6.444675,1968744
2018-03-19,7.030000,7.040000,6.850000,6.960000,6.389592,891461
2018-03-20,6.970000,7.075000,6.940000,6.990000,6.417133,523929
2018-03-21,6.950000,7.010000,6.920000,6.980000,6.407953,817318
2018-03-22,6.930000,6.940000,6.780000,6.890000,6.325329,763392
2018-03-23,6.800000,6.840000,6.660000,6.730000,6.178442,713680
2018-03-26,6.680000,6.800000,6.650000,6.770000,6.215163,590021
2018-03-27,6.790000,6.880000,6.710000,6.750000,6.196803,596854
2018-03-28,6.680000,6.750000,6.640000,6.660000,6.114179,516296
2018-03-29,6.600000,6.875000,6.600000,6.800000,6.242705,1245764
2018-04-03,6.740000,6.860000,6.660000,6.690000,6.141720,758167
2018-04-04,6.650000,6.660000,6.550000,6.600000,6.059096,1476194
2018-04-05,6.580000,6.760000,6.570000,6.700000,6.150900,1056818
2018-04-06,6.690000,6.860000,6.630000,6.840000,6.279427,658925
2018-04-09,6.830000,6.970000,6.820000,6.940000,6.371232,1071173
2018-04-10,6.940000,6.970000,6.870000,6.900000,6.334510,2529789
2018-04-11,6.910000,6.990000,6.860000,6.880000,6.316149,978147
2018-04-12,6.850000,6.980000,6.810000,6.930000,6.362051,674728
2018-04-13,6.910000,7.105000,6.850000,7.050000,6.472217,1321976
2018-04-16,7.050000,7.210000,7.010000,7.160000,6.573201,720772
2018-04-17,7.170000,7.230000,7.150000,7.150000,6.564021,963292
2018-04-18,7.160000,7.200000,7.110000,7.150000,6.564021,859039
2018-04-19,7.160000,7.170000,7.040000,7.070000,6.490577,440161
2018-04-20,7.070000,7.120000,7.050000,7.070000,6.490577,343218
2018-04-23,7.080000,7.090000,7.010000,7.010000,6.435495,648007
2018-04-24,7.060000,7.220000,7.050000,7.190000,6.600742,391774
2018-04-26,7.180000,7.240000,7.155000,7.190000,6.600742,834799
2018-04-27,7.240000,7.250000,7.100000,7.140000,6.554840,428897
2018-04-30,7.210000,7.340000,7.190000,7.210000,6.619103,729890
2018-05-01,7.240000,7.290000,7.130000,7.150000,6.564021,1137220
2018-05-02,7.090000,7.090000,6.825000,6.970000,6.398772,1925433
2018-05-03,7.500000,7.710000,7.370000,7.570000,6.949600,3924890
2018-05-04,7.700000,7.840000,7.540000,7.560000,6.940419,1444933
2018-05-07,7.630000,7.730000,7.590000,7.610000,6.986321,738507
2018-05-08,7.660000,7.720000,7.600000,7.630000,7.004682,788171
2018-05-09,7.650000,7.825000,7.510000,7.750000,7.114848,1418503
2018-05-10,7.760000,7.780000,7.650000,7.720000,7.087306,494607
2018-05-11,7.910000,8.160000,7.840000,7.910000,7.261735,942788
2018-05-14,8.150000,8.210000,7.980000,8.200000,7.527968,900022
2018-05-15,8.170000,8.190000,7.970000,7.990000,7.335178,697734
2018-05-16,8.000000,8.300000,8.000000,8.290000,7.610592,636812
2018-05-17,8.280000,8.610000,8.220000,8.520000,7.821743,1302880
2018-05-18,8.500000,8.540000,8.380000,8.380000,7.693216,611143
2018-05-21,8.370000,8.440000,8.300000,8.330000,7.647314,906525
2018-05-22,8.280000,8.330000,8.195000,8.240000,7.564690,735635
2018-05-23,8.260000,8.380000,8.230000,8.350000,7.665675,430104
2018-05-24,8.310000,8.365000,8.150000,8.180000,7.509607,596420
2018-05-25,8.100000,8.400000,8.100000,8.320000,7.638134,681180
2018-05-28,8.320000,8.390000,8.280000,8.300000,7.619773,361706
2018-05-29,8.290000,8.360000,8.270000,8.300000,7.619773,678953
2018-05-30,8.300000,8.420000,8.300000,8.380000,7.693216,1179804
2018-05-31,8.440000,8.535000,8.380000,8.490000,7.794201,1263763
2018-06-01,8.500000,8.620000,8.480000,8.540000,7.840103,1068997
2018-06-04,8.540000,8.605000,8.420000,8.470000,7.775840,546048
2018-06-05,8.410000,8.550000,8.180000,8.250000,7.573870,2873539
2018-06-06,8.250000,8.580000,8.250000,8.470000,7.775840,1292132
2018-06-07,8.460000,8.710000,8.430000,8.650000,7.941087,1166419
2018-06-08,8.740000,8.870000,8.650000,8.780000,8.060434,1118573
2018-06-12,8.800000,9.010000,8.770000,8.920000,8.188960,1076801
2018-06-13,8.910000,8.910000,8.615000,8.640000,7.931908,976503
2018-06-14,8.440000,8.600000,8.420000,8.500000,7.803381,1728163
2018-06-15,8.570000,8.790000,8.350000,8.400000,7.711576,1475802
2018-06-18,8.490000,8.510000,8.390000,8.490000,7.794201,1215678
2018-06-19,8.430000,8.480000,8.080000,8.240000,7.564690,1976527
2018-06-20,8.230000,8.310000,8.190000,8.250000,7.573870,1172864
2018-06-21,8.340000,8.425000,8.220000,8.370000,7.684035,1127137
2018-06-22,8.350000,8.580000,8.335000,8.510000,7.812562,1140904
2018-06-25,8.440000,8.520000,8.345000,8.370000,7.684035,817502
2018-06-26,8.330000,8.450000,8.240000,8.330000,7.647314,1022670
2018-06-27,8.240000,8.420000,8.240000,8.300000,7.619773,969350
2018-06-28,8.290000,8.330000,8.170000,8.220000,7.546329,804744
2018-06-29,8.230000,8.270000,8.020000,8.100000,7.436163,3650547
2018-07-02,8.200000,8.240000,8.110000,8.140000,7.472886,1046376
2018-07-03,8.140000,8.330000,8.110000,8.260000,7.583051,580445
2018-07-04,8.270000,8.390000,8.230000,8.250000,7.573870,706473
2018-07-05,8.300000,8.350000,8.250000,8.310000,7.628953,461826
2018-07-06,8.230000,8.400000,8.200000,8.360000,7.674855,434359
2018-07-09,8.390000,8.430000,8.335000,8.400000,7.711576,675771
2018-07-10,8.410000,8.670000,8.380000,8.630000,7.922727,579855
2018-07-11,8.620000,8.640000,8.285000,8.330000,7.647314,843790
2018-07-12,8.360000,8.570000,8.330000,8.500000,7.803381,546025
2018-07-13,8.490000,8.560000,8.410000,8.440000,7.748298,522152
2018-07-16,8.500000,8.710000,8.480000,8.660000,7.950268,446888
2018-07-17,8.630000,8.780000,8.540000,8.750000,8.032893,1119508
2018-07-18,8.770000,8.830000,8.660000,8.710000,7.996171,489135
2018-07-19,8.750000,9.055000,8.750000,8.880000,8.152238,1575576
2018-07-20,8.950000,8.950000,8.840000,8.890000,8.161419,369295
2018-07-23,8.850000,8.880000,8.770000,8.850000,8.124698,567224
2018-07-24,8.840000,9.030000,8.800000,9.000000,8.262403,735369
2018-07-25,9.000000,9.000000,8.890000,8.900000,8.170599,1173744
2018-07-26,8.950000,9.120000,8.935000,9.030000,8.289945,1099243
2018-07-27,9.000000,9.255000,8.990000,9.240000,8.482735,782618
2018-07-30,9.230000,9.260000,9.130000,9.200000,8.446012,322421
2018-07-31,9.180000,9.280000,9.075000,9.240000,8.482735,875672
2018-08-01,9.260000,9.290000,9.160000,9.210000,8.455194,1756581
2018-08-02,9.220000,9.260000,9.000000,9.060000,8.317487,594047
2018-08-03,8.900000,9.050000,8.790000,8.800000,8.078794,1169002
2018-08-06,8.880000,8.880000,8.730000,8.750000,8.032893,628108
2018-08-07,8.760000,8.810000,8.630000,8.690000,7.977810,816015
2018-08-08,8.630000,8.700000,8.360000,8.460000,7.766660,1252401
2018-08-09,8.500000,8.605000,8.500000,8.550000,7.849284,521333
2018-08-10,8.640000,8.675000,8.530000,8.590000,7.886005,776325
2018-08-13,8.580000,8.600000,8.510000,8.510000,7.812562,627042
2018-08-14,8.570000,8.710000,8.570000,8.700000,7.986991,1105603
2018-08-15,8.720000,8.860000,8.670000,8.850000,8.124698,789843
2018-08-16,8.780000,8.860000,8.730000,8.800000,8.078794,1109857
2018-08-17,8.810000,8.915000,8.810000,8.900000,8.170599,1182962
2018-08-20,8.940000,9.140000,8.920000,9.110000,8.363389,846240
2018-08-21,10.000000,10.440000,9.720000,9.860000,9.051922,3999382
2018-08-22,10.170000,10.340000,9.920000,10.000000,9.180448,1913926
2018-08-23,10.090000,10.110000,9.840000,9.870000,9.061102,1435510
2018-08-24,9.840000,9.905000,9.615000,9.640000,8.849953,1250727
2018-08-27,9.630000,9.810000,9.490000,9.800000,8.996840,909316
2018-08-28,9.800000,9.960000,9.730000,9.910000,9.097824,1154404
2018-08-29,9.500000,9.645000,9.390000,9.590000,9.055334,932484
2018-08-30,9.600000,9.650000,9.460000,9.510000,8.979795,985761
2018-08-31,9.500000,9.500000,9.340000,9.350000,8.828715,1130239
2018-09-03,9.360000,9.480000,9.130000,9.180000,8.668192,909310
2018-09-04,9.180000,9.290000,9.140000,9.180000,8.668192,767204
2018-09-05,9.250000,9.380000,9.180000,9.310000,8.790944,920812
2018-09-06,9.210000,9.310000,9.190000,9.200000,8.687077,437601
2018-09-07,9.010000,9.060000,8.880000,8.920000,8.422688,459383
2018-09-10,8.960000,9.090000,8.805000,8.920000,8.422688,772475
2018-09-11,8.840000,8.910000,8.830000,8.880000,8.384918,595404
2018-09-12,8.770000,8.935000,8.740000,8.850000,8.356591,593632
2018-09-13,8.740000,8.850000,8.670000,8.720000,8.233839,454359
2018-09-14,8.680000,8.740000,8.530000,8.550000,8.073317,641501
2018-09-17,8.550000,8.750000,8.520000,8.710000,8.224396,643913
2018-09-18,8.710000,8.810000,8.580000,8.650000,8.167741,932876
2018-09-19,8.620000,8.880000,8.610000,8.770000,8.281051,886666
2018-09-20,8.680000,8.780000,8.670000,8.780000,8.290493,954251
2018-09-21,8.780000,8.820000,8.730000,8.760000,8.271608,874966
2018-09-24,8.650000,8.810000,8.650000,8.790000,8.299935,649281
2018-09-25,8.790000,8.810000,8.730000,8.800000,8.309379,1183971
2018-09-26,8.880000,8.890000,8.730000,8.840000,8.347148,939185
2018-09-27,8.910000,8.940000,8.810000,8.860000,8.366033,542313
2018-09-28,8.950000,8.960000,8.830000,8.870000,8.375476,688856
2018-10-01,8.850000,8.875000,8.765000,8.840000,8.347148,247229
2018-10-02,8.790000,8.910000,8.770000,8.790000,8.299935,556973
2018-10-03,8.820000,8.990000,8.750000,8.880000,8.384918,936882
2018-10-04,8.890000,8.930000,8.800000,8.860000,8.366033,807964
2018-10-05,8.820000,8.850000,8.690000,8.730000,8.243280,485507
2018-10-08,8.740000,8.955000,8.685000,8.930000,8.432131,795762
2018-10-09,8.810000,9.035000,8.810000,9.020000,8.517113,1077629
2018-10-10,9.020000,9.310000,8.980000,9.300000,8.781502,1001637
2018-10-11,9.200000,9.270000,9.120000,9.180000,8.668192,2444627
2018-10-12,9.150000,9.340000,9.070000,9.230000,8.715405,1230584
2018-10-15,9.150000,9.250000,9.130000,9.170000,8.658751,617664
2018-10-16,9.170000,9.310000,9.150000,9.280000,8.762617,2047098
2018-10-17,9.280000,9.300000,9.090000,9.120000,8.611537,756508
2018-10-18,9.180000,9.410000,9.180000,9.350000,8.828715,926294
2018-10-19,9.390000,9.460000,9.240000,9.380000,8.857041,721476
2018-10-22,9.370000,9.520000,9.140000,9.300000,8.781502,1159486
2018-10-23,9.350000,9.515000,9.290000,9.350000,8.828715,674426
2018-10-24,9.370000,9.440000,8.060000,8.330000,7.865582,4763022
2018-10-25,8.150000,8.150000,7.450000,7.480000,7.062972,3070608
2018-10-26,7.500000,7.710000,7.400000,7.460000,7.044086,2429633
2018-10-29,7.500000,7.540000,7.335000,7.380000,6.968547,1205879
2018-10-30,7.370000,7.500000,7.145000,7.470000,7.053529,1455167
2018-10-31,7.410000,7.540000,7.180000,7.220000,6.817467,1545563
2018-11-01,7.190000,7.360000,7.180000,7.350000,6.940219,880292
2018-11-02,7.240000,7.520000,7.230000,7.510000,7.091299,829029
2018-11-05,7.450000,7.580000,7.210000,7.270000,6.864680,1002431
2018-11-06,7.250000,7.420000,7.250000,7.350000,6.940219,1226373
2018-11-07,7.380000,7.640000,7.380000,7.630000,7.204609,1029491
2018-11-08,7.710000,7.880000,7.710000,7.840000,7.402901,964469
2018-11-09,7.750000,7.820000,7.710000,7.750000,7.317918,781956
2018-11-12,7.730000,7.810000,7.670000,7.780000,7.346246,800067
2018-11-13,7.700000,7.740000,7.530000,7.570000,7.147954,746224
2018-11-14,7.560000,7.695000,7.380000,7.430000,7.015759,1005972
2018-11-15,7.430000,7.600000,7.340000,7.410000,6.996874,802537
2018-11-16,7.410000,7.420000,7.170000,7.270000,6.864680,1154936
2018-11-19,7.260000,7.285000,7.095000,7.150000,6.751369,1132747
2018-11-20,7.110000,7.180000,7.000000,7.110000,6.713600,1050240
2018-11-21,7.020000,7.060000,6.830000,6.910000,6.524750,785419
2018-11-22,6.890000,7.030000,6.890000,6.950000,6.562520,883256
2018-11-23,7.050000,7.250000,7.050000,7.190000,6.789140,1205624
2018-11-26,7.240000,7.550000,7.210000,7.520000,7.100741,1671673
2018-11-27,7.520000,7.630000,7.350000,7.590000,7.166839,963017
2018-11-28,7.590000,7.620000,7.420000,7.430000,7.015759,773929
2018-11-29,7.410000,7.570000,7.340000,7.540000,7.119627,584483
2018-11-30,7.440000,7.480000,7.280000,7.320000,6.911892,887510
2018-12-03,7.500000,7.650000,7.400000,7.610000,7.185724,782995
2018-12-04,7.510000,7.660000,7.400000,7.410000,6.996874,757431
2018-12-05,7.380000,7.455000,7.125000,7.280000,6.874122,866647
2018-12-06,7.290000,7.525000,7.280000,7.460000,7.044086,850421
2018-12-07,7.450000,7.540000,7.300000,7.350000,6.940219,721634
2018-12-10,7.300000,7.340000,7.040000,7.070000,6.675830,697337
2018-12-11,7.080000,7.110000,6.920000,7.040000,6.647502,794144
2018-12-12,7.090000,7.260000,7.090000,7.250000,6.845794,1889381
2018-12-13,7.170000,7.700000,7.170000,7.340000,6.930777,1117249
2018-12-14,7.270000,7.350000,7.150000,7.170000,6.770255,379814
2018-12-17,7.150000,7.430000,7.135000,7.390000,6.977989,570661
2018-12-18,7.370000,7.370000,7.030000,7.180000,6.779697,703068
2018-12-19,7.180000,7.240000,7.050000,7.120000,6.723042,805436
2018-12-20,7.000000,7.180000,6.990000,7.020000,6.628618,618376
2018-12-21,7.070000,7.070000,6.690000,6.800000,6.420883,1657386
2018-12-24,6.850000,6.980000,6.760000,6.970000,6.581405,171931
2018-12-27,7.000000,7.110000,6.990000,7.070000,6.675830,405710
2018-12-28,7.140000,7.160000,6.990000,7.060000,6.666387,400934
2018-12-31,7.140000,7.300000,7.030000,7.030000,6.638060,365886
2019-01-02,6.970000,7.195000,6.820000,6.830000,6.449211,470126
2019-01-03,6.840000,6.860000,6.440000,6.460000,6.099839,1102470
2019-01-04,6.470000,6.660000,6.470000,6.570000,6.203706,1287307
2019-01-07,6.660000,6.740000,6.570000,6.630000,6.260361,702897
2019-01-08,6.640000,6.900000,6.580000,6.820000,6.439768,875286
2019-01-09,6.780000,6.900000,6.630000,6.660000,6.288689,970399
2019-01-10,6.700000,6.830000,6.550000,6.580000,6.213149,927180
2019-01-11,6.580000,6.600000,6.390000,6.440000,6.080954,1056702
2019-01-14,6.410000,6.480000,6.350000,6.380000,6.024300,778923
2019-01-15,6.480000,6.520000,6.350000,6.500000,6.137609,482784
2019-01-16,6.590000,6.710000,6.530000,6.630000,6.260361,482309
2019-01-17,6.630000,6.640000,6.550000,6.600000,6.232033,879561
2019-01-18,6.610000,6.770000,6.605000,6.710000,6.335901,513486
2019-01-21,6.790000,7.000000,6.760000,6.900000,6.515308,526165
2019-01-22,6.890000,7.210000,6.820000,7.090000,6.694715,1040885
