Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,8.020000,8.050000,7.910000,7.910000,7.741977,5638258
2019-09-17,7.900000,8.010000,7.875000,8.010000,7.839853,5872710
2019-09-18,8.080000,8.090000,7.930000,7.970000,7.800702,7167403
2019-09-19,8.060000,8.170000,8.020000,8.150000,7.976879,7457617
2019-09-20,8.180000,8.210000,8.010000,8.010000,7.839853,7261779
2019-09-23,8.070000,8.110000,8.030000,8.040000,7.869215,2915017
2019-09-24,8.020000,8.070000,8.000000,8.010000,7.839853,4080918
2019-09-25,8.010000,8.060000,7.980000,8.020000,7.849641,4092818
2019-09-26,8.000000,8.030000,7.920000,7.990000,7.820277,2434125
2019-09-27,8.010000,8.120000,8.010000,8.100000,7.927941,3620535
2019-09-30,8.100000,8.140000,8.030000,8.030000,7.859428,3566201
2019-10-01,8.030000,8.250000,8.030000,8.250000,8.074755,4473792
2019-10-02,8.180000,8.200000,8.100000,8.100000,7.927941,4151048
2019-10-03,7.980000,8.040000,7.900000,7.950000,7.781127,4867342
2019-10-04,7.950000,7.950000,7.950000,7.950000,7.781127,0
2019-10-07,8.150000,8.150000,8.050000,8.140000,7.967092,1942239
2019-10-08,8.210000,8.280000,8.190000,8.240000,8.064967,2659039
2019-10-09,8.120000,8.280000,8.100000,8.230000,8.055180,3038959
2019-10-10,8.250000,8.270000,8.170000,8.210000,8.035604,4244716
2019-10-11,8.290000,8.290000,8.150000,8.210000,8.035604,2904039
2019-10-14,8.270000,8.290000,8.190000,8.190000,8.016029,2886162
2019-10-15,8.240000,8.390000,8.240000,8.370000,8.192205,2112904
2019-10-16,8.450000,8.490000,8.410000,8.490000,8.309656,3199182
2019-10-17,8.530000,8.570000,8.440000,8.440000,8.260718,4285838
2019-10-18,8.400000,8.440000,8.170000,8.220000,8.045392,4605010
2019-10-21,8.310000,8.460000,8.230000,8.450000,8.270506,5628468
2019-10-22,8.470000,8.540000,8.420000,8.480000,8.299869,4554068
2019-10-23,8.500000,8.590000,8.410000,8.570000,8.387958,5998248
2019-10-24,8.660000,8.740000,8.600000,8.730000,8.544559,4688213
2019-10-25,8.810000,8.850000,8.725000,8.850000,8.662010,4521955
2019-10-28,8.800000,8.920000,8.800000,8.890000,8.701160,4154315
2019-10-29,8.850000,8.935000,8.780000,8.820000,8.632647,7388563
2019-10-30,8.780000,8.860000,8.740000,8.860000,8.671797,5451484
2019-10-31,8.850000,8.900000,8.730000,8.780000,8.593496,12762792
2019-11-01,8.830000,8.970000,8.800000,8.890000,8.701160,4977629
2019-11-04,8.950000,9.000000,8.890000,8.920000,8.730523,3937818
2019-11-05,9.040000,9.045000,8.925000,8.970000,8.779461,3339387
2019-11-06,8.960000,8.970000,8.710000,8.710000,8.524983,4686108
2019-11-07,8.720000,8.880000,8.720000,8.880000,8.691373,5115273
2019-11-08,8.820000,8.860000,8.750000,8.800000,8.613072,4020076
2019-11-11,8.910000,8.990000,8.875000,8.890000,8.701160,4838478
2019-11-12,8.900000,8.950000,8.825000,8.920000,8.730523,5084527
2019-11-13,8.850000,8.945000,8.760000,8.770000,8.583710,4215758
2019-11-14,8.820000,8.860000,8.770000,8.810000,8.622860,10366408
2019-11-15,8.900000,8.930000,8.830000,8.920000,8.730523,9827608
2019-11-18,8.910000,8.940000,8.835000,8.940000,8.750097,3862577
2019-11-19,8.960000,9.020000,8.910000,9.020000,8.828399,4556602
2019-11-20,8.970000,9.020000,8.820000,8.820000,8.632647,5883328
2019-11-21,8.790000,8.880000,8.750000,8.870000,8.681584,5694091
2019-11-22,8.900000,8.970000,8.880000,8.910000,8.720735,4347468
2019-11-25,8.980000,9.030000,8.950000,9.020000,8.828399,6600601
2019-11-26,9.070000,9.170000,9.000000,9.130000,8.936062,5720232
2019-11-27,9.050000,9.220000,9.050000,9.200000,9.004575,4675246
2019-11-28,9.220000,9.240000,9.130000,9.180000,8.985001,3879640
2019-11-29,9.200000,9.250000,9.170000,9.180000,8.985001,3074232
2019-12-02,9.260000,9.300000,9.170000,9.180000,8.985001,4404246
2019-12-03,9.050000,9.140000,9.000000,9.050000,8.857761,6573492
2019-12-04,8.950000,8.980000,8.835000,8.890000,8.701160,5306574
2019-12-05,8.900000,9.090000,8.900000,9.080000,8.887124,4708667
2019-12-06,9.180000,9.245000,9.170000,9.200000,9.004575,3824821
2019-12-09,9.300000,9.300000,9.065000,9.100000,8.906699,3756161
2019-12-10,9.070000,9.080000,8.840000,8.860000,8.671797,6061217
2019-12-11,8.900000,8.990000,8.870000,8.990000,8.799036,5298603
2019-12-12,9.020000,9.060000,8.940000,8.970000,8.779461,2832733
