Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,4.770000,4.805000,4.760000,4.800000,4.800000,4085453
2019-09-17,4.800000,4.810000,4.760000,4.780000,4.780000,5905230
2019-09-18,4.840000,4.840000,4.770000,4.830000,4.830000,5410295
2019-09-19,4.850000,4.855000,4.795000,4.840000,4.840000,8458399
2019-09-20,4.850000,4.890000,4.820000,4.860000,4.860000,8532651
2019-09-23,4.860000,4.880000,4.825000,4.850000,4.850000,2061735
2019-09-24,4.860000,4.880000,4.840000,4.880000,4.880000,3922999
2019-09-25,4.860000,4.900000,4.850000,4.870000,4.870000,3212569
2019-09-26,4.850000,4.870000,4.800000,4.830000,4.830000,3255904
2019-09-27,4.850000,4.870000,4.830000,4.870000,4.870000,3196595
2019-09-30,4.850000,4.870000,4.835000,4.850000,4.850000,4091011
2019-10-01,4.850000,4.910000,4.840000,4.910000,4.910000,4335364
2019-10-02,4.870000,4.890000,4.820000,4.860000,4.860000,3795252
2019-10-03,4.720000,4.910000,4.720000,4.850000,4.850000,9175168
2019-10-04,4.850000,4.850000,4.850000,4.850000,4.850000,0
2019-10-07,4.840000,4.875000,4.805000,4.850000,4.850000,2045740
2019-10-08,4.900000,4.910000,4.860000,4.900000,4.900000,2754156
2019-10-09,4.900000,4.910000,4.840000,4.850000,4.850000,5287879
2019-10-10,4.830000,4.860000,4.800000,4.820000,4.820000,6057953
2019-10-11,4.860000,4.885000,4.825000,4.860000,4.860000,4606155
2019-10-14,4.850000,4.880000,4.800000,4.820000,4.820000,5611447
2019-10-15,4.810000,4.860000,4.810000,4.850000,4.850000,3518243
2019-10-16,4.890000,4.980000,4.890000,4.950000,4.950000,9484722
2019-10-17,4.960000,4.960000,4.880000,4.900000,4.900000,3829853
2019-10-18,4.870000,4.900000,4.820000,4.840000,4.840000,4233679
2019-10-21,4.840000,4.870000,4.810000,4.870000,4.870000,3845503
2019-10-22,4.860000,4.885000,4.825000,4.850000,4.850000,3876853
2019-10-23,4.850000,4.860000,4.810000,4.840000,4.840000,3259525
2019-10-24,4.850000,4.890000,4.825000,4.850000,4.850000,10821173
2019-10-25,4.880000,4.910000,4.830000,4.840000,4.840000,4990273
2019-10-28,4.850000,4.870000,4.830000,4.850000,4.850000,2998686
