Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,3.610000,3.635000,3.600000,3.600000,3.340045,14138824
2018-01-31,3.600000,3.690000,3.575000,3.670000,3.404991,38783867
2018-02-01,3.680000,3.680000,3.620000,3.640000,3.377157,38593165
2018-02-02,3.630000,3.675000,3.590000,3.670000,3.404991,30491033
2018-02-05,3.640000,3.640000,3.605000,3.620000,3.358601,21058372
2018-02-06,3.560000,3.560000,3.480000,3.510000,3.256544,53276602
2018-02-07,3.540000,3.570000,3.500000,3.500000,3.247266,27375575
2018-02-08,3.490000,3.570000,3.490000,3.560000,3.302934,22698598
2018-02-09,3.510000,3.520000,3.490000,3.490000,3.237988,23525323
2018-02-12,3.500000,3.500000,3.430000,3.450000,3.200877,33147578
2018-02-13,3.470000,3.520000,3.465000,3.480000,3.228710,24376392
2018-02-14,3.490000,3.500000,3.430000,3.430000,3.182321,27008375
2018-02-15,3.420000,3.500000,3.420000,3.450000,3.200877,26042808
2018-02-16,3.470000,3.485000,3.430000,3.430000,3.182321,26312414
2018-02-19,3.440000,3.460000,3.420000,3.440000,3.191599,18418463
2018-02-20,3.430000,3.450000,3.415000,3.440000,3.191599,27378027
2018-02-21,3.430000,3.440000,3.410000,3.430000,3.182321,20631023
2018-02-22,3.430000,3.450000,3.420000,3.430000,3.182321,24766541
2018-02-23,3.460000,3.480000,3.440000,3.480000,3.228710,18432868
2018-02-26,3.500000,3.525000,3.480000,3.520000,3.265822,27297721
2018-02-27,3.540000,3.540000,3.480000,3.490000,3.237988,31670307
2018-02-28,3.370000,3.390000,3.340000,3.350000,3.176358,60830808
2018-03-01,3.350000,3.350000,3.290000,3.320000,3.147913,35195793
2018-03-02,3.310000,3.330000,3.260000,3.270000,3.100504,37008956
2018-03-05,3.270000,3.300000,3.260000,3.300000,3.128949,20875513
2018-03-06,3.320000,3.370000,3.320000,3.370000,3.195321,27830482
2018-03-07,3.350000,3.360000,3.320000,3.350000,3.176358,29088050
2018-03-08,3.360000,3.390000,3.350000,3.390000,3.214284,20867228
2018-03-09,3.390000,3.450000,3.370000,3.440000,3.261693,27945892
2018-03-12,3.460000,3.475000,3.435000,3.440000,3.261693,24805121
2018-03-13,3.440000,3.460000,3.380000,3.410000,3.233248,23960304
2018-03-14,3.380000,3.380000,3.320000,3.320000,3.147913,28721170
2018-03-15,3.280000,3.330000,3.280000,3.300000,3.128949,41544840
