Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,5.000000,5.000000,4.880000,4.890000,4.788920,934544
2018-01-31,4.860000,4.930000,4.840000,4.920000,4.818300,631856
2018-02-01,4.920000,4.950000,4.910000,4.930000,4.828094,479422
2018-02-02,4.910000,4.930000,4.880000,4.900000,4.798714,585840
2018-02-05,4.870000,4.880000,4.830000,4.840000,4.739954,497515
2018-02-06,4.790000,4.790000,4.650000,4.670000,4.573468,1446266
2018-02-07,4.790000,4.810000,4.690000,4.690000,4.593055,803293
2018-02-08,4.700000,4.780000,4.680000,4.780000,4.681194,709325
2018-02-09,4.730000,4.740000,4.680000,4.740000,4.642021,1011663
2018-02-12,4.730000,4.785000,4.700000,4.760000,4.661608,864680
2018-02-13,4.840000,4.840000,4.770000,4.800000,4.700781,1407961
2018-02-14,4.850000,4.880000,4.790000,4.830000,4.730160,733137
2018-02-15,4.820000,4.880000,4.780000,4.800000,4.700781,2785758
2018-02-16,4.810000,4.915000,4.810000,4.830000,4.730160,1260155
2018-02-19,4.810000,4.900000,4.810000,4.860000,4.759541,655288
2018-02-20,4.870000,4.950000,4.870000,4.890000,4.788920,799720
2018-02-21,4.870000,4.930000,4.850000,4.900000,4.798714,503834
2018-02-22,4.940000,4.940000,4.870000,4.900000,4.798714,612353
2018-02-23,4.920000,4.945000,4.880000,4.900000,4.798714,668784
2018-02-26,4.930000,4.950000,4.900000,4.930000,4.828094,490934
2018-02-27,4.930000,4.930000,4.840000,4.900000,4.798714,989424
2018-02-28,4.900000,4.910000,4.800000,4.800000,4.700781,1164432
2018-03-01,4.820000,4.880000,4.810000,4.870000,4.769334,343768
2018-03-02,4.810000,4.835000,4.760000,4.760000,4.661608,400501
2018-03-05,4.790000,4.910000,4.760000,4.850000,4.749747,617279
2018-03-06,4.880000,5.010000,4.860000,5.000000,4.896646,1003636
2018-03-07,4.980000,5.040000,4.940000,5.030000,4.926027,797771
2018-03-08,5.050000,5.190000,5.040000,5.190000,5.082719,726369
2018-03-09,5.200000,5.250000,5.190000,5.200000,5.092513,767472
2018-03-12,5.290000,5.310000,5.250000,5.250000,5.141479,557371
2018-03-13,5.250000,5.270000,5.190000,5.240000,5.131685,442659
2018-03-14,5.180000,5.260000,5.130000,5.260000,5.151273,822606
2018-03-15,5.230000,5.265000,5.210000,5.250000,5.141479,668638
2018-03-16,5.230000,5.300000,5.230000,5.240000,5.131685,590400
2018-03-19,5.250000,5.270000,5.155000,5.190000,5.082719,536819
2018-03-20,5.140000,5.280000,5.140000,5.280000,5.170859,502446
2018-03-21,5.280000,5.300000,5.210000,5.240000,5.131685,379132
2018-03-22,5.200000,5.280000,5.160000,5.250000,5.141479,622465
2018-03-23,5.170000,5.200000,5.140000,5.200000,5.092513,542496
2018-03-26,5.170000,5.190000,5.105000,5.180000,5.072926,614479
2018-03-27,5.210000,5.230000,5.190000,5.220000,5.112099,543494
2018-03-28,5.200000,5.230000,5.170000,5.190000,5.082719,639423
2018-03-29,5.160000,5.200000,5.150000,5.190000,5.082719,588739
2018-04-03,5.170000,5.170000,5.090000,5.100000,4.994579,423637
2018-04-04,5.070000,5.085000,4.990000,5.080000,4.974993,1239741
2018-04-05,5.100000,5.150000,5.070000,5.140000,5.033753,694238
2018-04-06,5.110000,5.130000,5.050000,5.110000,5.004374,343349
2018-04-09,5.120000,5.160000,5.070000,5.150000,5.043546,501890
2018-04-10,5.120000,5.180000,5.100000,5.170000,5.063133,419553
2018-04-11,5.120000,5.200000,5.070000,5.090000,4.984787,506500
2018-04-12,5.060000,5.130000,5.040000,5.120000,5.014166,580715
2018-04-13,5.070000,5.120000,5.070000,5.100000,4.994579,708195
2018-04-16,5.100000,5.170000,5.070000,5.100000,4.994579,578652
2018-04-17,5.080000,5.135000,5.030000,5.070000,4.965200,639767
2018-04-18,5.070000,5.140000,5.070000,5.100000,4.994579,1120697
2018-04-19,5.110000,5.130000,5.040000,5.110000,5.004374,917747
2018-04-20,5.080000,5.110000,5.000000,5.040000,4.935820,1053209
2018-04-23,5.060000,5.060000,4.950000,4.970000,4.867267,924167
2018-04-24,4.960000,4.970000,4.840000,4.880000,4.779127,1594259
2018-04-26,4.880000,4.910000,4.840000,4.850000,4.749747,1275403
2018-04-27,4.850000,4.930000,4.850000,4.900000,4.798714,591742
2018-04-30,4.940000,4.970000,4.910000,4.960000,4.857474,587363
2018-05-01,4.970000,5.095000,4.950000,5.060000,4.955407,636030
2018-05-02,5.100000,5.160000,5.070000,5.080000,4.974993,826669
2018-05-03,5.140000,5.180000,5.110000,5.140000,5.033753,688369
2018-05-04,5.150000,5.200000,5.140000,5.140000,5.033753,813543
2018-05-07,5.190000,5.200000,5.130000,5.140000,5.033753,1080168
2018-05-08,5.170000,5.200000,5.120000,5.120000,5.014166,1019717
2018-05-09,5.140000,5.140000,5.070000,5.100000,4.994579,1170197
2018-05-10,5.100000,5.100000,4.940000,4.940000,4.837887,1477914
2018-05-11,4.970000,5.030000,4.950000,4.990000,4.886853,526882
2018-05-14,5.000000,5.020000,4.960000,4.970000,4.867267,604577
2018-05-15,5.000000,5.075000,4.980000,5.000000,4.896646,1063775
