Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.890000,2.900000,2.840000,2.870000,2.459394,7718082
2017-01-31,2.860000,2.880000,2.845000,2.860000,2.450825,6932202
2017-02-01,2.850000,2.860000,2.830000,2.860000,2.450825,7975488
2017-02-02,2.840000,2.850000,2.800000,2.820000,2.416548,10652111
2017-02-03,2.840000,2.870000,2.830000,2.850000,2.442255,6924194
2017-02-06,2.870000,2.880000,2.820000,2.820000,2.416548,8842650
2017-02-07,2.820000,2.860000,2.810000,2.850000,2.442255,9537653
2017-02-08,2.870000,2.880000,2.840000,2.880000,2.467964,9094378
2017-02-09,2.890000,2.910000,2.870000,2.900000,2.485102,12068330
2017-02-10,2.900000,2.910000,2.870000,2.890000,2.476533,13922501
2017-02-13,2.890000,2.915000,2.870000,2.890000,2.476533,6052721
2017-02-14,2.910000,2.940000,2.900000,2.910000,2.493672,8077773
2017-02-15,2.950000,2.950000,2.920000,2.920000,2.502241,5710014
2017-02-16,2.930000,2.940000,2.880000,2.890000,2.476533,13671969
2017-02-17,2.910000,2.940000,2.890000,2.920000,2.502241,12551025
2017-02-20,2.930000,2.945000,2.890000,2.920000,2.502241,9915470
2017-02-21,2.920000,2.940000,2.900000,2.910000,2.493672,15648173
2017-02-22,2.910000,2.935000,2.890000,2.900000,2.485102,7965074
2017-02-23,2.910000,2.920000,2.890000,2.900000,2.485102,8445246
2017-02-24,2.900000,2.910000,2.870000,2.890000,2.476533,7477307
2017-02-27,2.890000,2.920000,2.880000,2.910000,2.493672,8489721
2017-02-28,2.910000,2.920000,2.880000,2.890000,2.476533,27639691
2017-03-01,2.900000,2.920000,2.860000,2.890000,2.476533,16327488
2017-03-02,2.870000,2.900000,2.855000,2.900000,2.485102,9024916
2017-03-03,2.880000,2.890000,2.855000,2.870000,2.459394,15872399
2017-03-06,2.870000,2.890000,2.850000,2.880000,2.467964,7283767
2017-03-07,2.870000,2.910000,2.865000,2.880000,2.467964,13991710
2017-03-08,2.880000,2.890000,2.860000,2.880000,2.467964,10279818
2017-03-09,2.860000,2.880000,2.840000,2.860000,2.450825,9098270
2017-03-10,2.860000,2.870000,2.790000,2.800000,2.399409,18910848
2017-03-13,2.780000,2.790000,2.715000,2.730000,2.339424,16794579
2017-03-14,2.750000,2.750000,2.690000,2.730000,2.339424,17725342
2017-03-15,2.730000,2.750000,2.710000,2.740000,2.347993,9879314
2017-03-16,2.740000,2.780000,2.735000,2.780000,2.382271,17790633
2017-03-17,2.790000,2.790000,2.760000,2.780000,2.382271,21502987
2017-03-20,2.760000,2.790000,2.735000,2.750000,2.356563,8990083
2017-03-21,2.740000,2.760000,2.730000,2.740000,2.347993,13654026
2017-03-22,2.730000,2.750000,2.710000,2.740000,2.347993,43481526
2017-03-23,2.740000,2.770000,2.730000,2.760000,2.365132,17974538
2017-03-24,2.770000,2.790000,2.750000,2.770000,2.373702,22111401
2017-03-27,2.750000,2.790000,2.750000,2.780000,2.382271,12640462
2017-03-28,2.780000,2.830000,2.765000,2.830000,2.425117,25495344
2017-03-29,2.830000,2.850000,2.820000,2.850000,2.442255,7822104
2017-03-30,2.870000,2.890000,2.850000,2.880000,2.467964,9228546
2017-03-31,2.870000,2.870000,2.820000,2.830000,2.425117,13994206
2017-04-03,2.840000,2.860000,2.825000,2.860000,2.450825,5503707
2017-04-04,2.870000,2.880000,2.830000,2.860000,2.450825,6462712
2017-04-05,2.870000,2.880000,2.845000,2.850000,2.442255,5291837
2017-04-06,2.850000,2.870000,2.835000,2.870000,2.459394,8236378
2017-04-07,2.880000,2.900000,2.865000,2.890000,2.476533,9487988
2017-04-10,2.890000,2.930000,2.885000,2.910000,2.493672,6771187
2017-04-11,2.910000,2.940000,2.900000,2.930000,2.510811,13050463
2017-04-12,2.940000,2.970000,2.935000,2.960000,2.536519,10177580
2017-04-13,2.960000,2.985000,2.950000,2.980000,2.553657,7976895
2017-04-18,2.980000,2.990000,2.950000,2.960000,2.536519,5976613
2017-04-19,2.950000,2.960000,2.895000,2.920000,2.502241,10307672
2017-04-20,2.940000,2.960000,2.930000,2.960000,2.536519,8509369
2017-04-21,2.960000,2.980000,2.940000,2.960000,2.536519,8393640
2017-04-24,2.970000,2.970000,2.910000,2.920000,2.502241,9574725
2017-04-26,2.900000,2.950000,2.895000,2.930000,2.510811,8593779
2017-04-27,2.930000,2.930000,2.895000,2.910000,2.493672,5979669
2017-04-28,2.910000,2.915000,2.870000,2.880000,2.467964,10895465
2017-05-01,2.880000,2.910000,2.870000,2.890000,2.476533,7813814
2017-05-02,2.910000,2.930000,2.890000,2.930000,2.510811,8094060
2017-05-03,2.940000,2.950000,2.880000,2.900000,2.485102,13372250
2017-05-04,2.900000,2.900000,2.870000,2.890000,2.476533,7033419
