Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,1.985000,2.020000,1.975000,1.990000,1.968347,3764227
2019-09-17,2.010000,2.030000,1.955000,1.960000,1.938674,4940176
2019-09-18,1.970000,2.000000,1.930000,1.945000,1.923837,5431976
2019-09-19,1.965000,2.000000,1.940000,1.980000,1.958456,7656288
2019-09-20,1.985000,2.000000,1.955000,1.970000,1.948565,6318394
2019-09-23,1.980000,2.010000,1.975000,1.995000,1.973293,4003321
2019-09-24,1.995000,2.010000,1.965000,2.000000,1.978238,4288631
2019-09-25,1.970000,1.970000,1.930000,1.930000,1.909000,5594127
2019-09-26,1.910000,1.930000,1.900000,1.910000,1.910000,3093613
2019-09-27,1.910000,1.910000,1.910000,1.910000,1.910000,0
2019-09-30,1.945000,1.975000,1.935000,1.950000,1.950000,3681261
2019-10-01,1.930000,1.955000,1.895000,1.920000,1.920000,8561149
2019-10-02,1.905000,1.915000,1.885000,1.900000,1.900000,3539251
2019-10-03,1.895000,1.945000,1.850000,1.875000,1.875000,4314365
2019-10-04,1.870000,1.897500,1.860000,1.875000,1.875000,6390701
2019-10-07,1.865000,1.890000,1.850000,1.880000,1.880000,1859025
2019-10-08,1.900000,1.910000,1.875000,1.885000,1.885000,1881914
2019-10-09,1.875000,1.875000,1.825000,1.830000,1.830000,4789344
2019-10-10,1.830000,1.840000,1.780000,1.785000,1.785000,7600426
2019-10-11,1.825000,1.895000,1.825000,1.870000,1.870000,4360619
2019-10-14,1.880000,1.920000,1.880000,1.900000,1.900000,3842245
2019-10-15,1.900000,1.922500,1.860000,1.865000,1.865000,3771791
2019-10-16,1.890000,1.930000,1.875000,1.910000,1.910000,6635579
2019-10-17,1.920000,1.940000,1.865000,1.885000,1.885000,3294371
2019-10-18,1.870000,1.925000,1.860000,1.870000,1.870000,4141660
2019-10-21,1.855000,1.890000,1.850000,1.870000,1.870000,2799408
2019-10-22,1.880000,1.965000,1.875000,1.955000,1.955000,5262312
2019-10-23,1.950000,2.000000,1.950000,1.965000,1.965000,6483980
2019-10-24,1.990000,1.990000,1.940000,1.950000,1.950000,2979256
2019-10-25,1.975000,2.010000,1.955000,1.970000,1.970000,4592919
2019-10-28,2.000000,2.070000,1.990000,2.040000,2.040000,7037513
2019-10-29,2.080000,2.110000,2.050000,2.050000,2.050000,4194688
2019-10-30,2.040000,2.100000,2.030000,2.030000,2.030000,3731041
2019-10-31,2.050000,2.050000,1.970000,1.995000,1.995000,2788763
2019-11-01,1.980000,2.025000,1.980000,2.010000,2.010000,7462192
2019-11-04,2.030000,2.080000,2.020000,2.070000,2.070000,3281258
