Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,4.150000,4.230000,4.130000,4.130000,4.072639,2573929
2017-01-31,4.110000,4.170000,4.010000,4.040000,3.983889,8372654
2017-02-01,4.040000,4.060000,3.940000,3.970000,3.914861,4080742
2017-02-02,4.020000,4.260000,4.010000,4.180000,4.121944,7416258
2017-02-03,4.210000,4.250000,4.030000,4.050000,3.993750,4062973
2017-02-06,4.110000,4.110000,4.030000,4.090000,4.033195,3542627
2017-02-07,4.100000,4.110000,3.930000,4.010000,3.954306,4252340
2017-02-08,4.010000,4.030000,3.930000,4.010000,3.954306,4866920
2017-02-09,4.010000,4.290000,4.000000,4.280000,4.220556,5067755
2017-02-10,4.300000,4.390000,4.270000,4.310000,4.250139,3099434
2017-02-13,4.360000,4.410000,4.310000,4.390000,4.329028,4569794
2017-02-14,4.400000,4.400000,4.260000,4.270000,4.210694,2676046
2017-02-15,4.290000,4.320000,4.200000,4.300000,4.240278,2933017
2017-02-16,4.220000,4.290000,4.080000,4.100000,4.043056,4658835
2017-02-17,4.100000,4.160000,4.070000,4.080000,4.023333,2852409
2017-02-20,4.090000,4.130000,4.070000,4.130000,4.072639,3273886
2017-02-21,4.140000,4.400000,4.140000,4.400000,4.338889,8141342
2017-02-22,4.600000,4.850000,4.580000,4.810000,4.743195,11302196
2017-02-23,4.800000,4.800000,4.560000,4.600000,4.536111,5754858
2017-02-24,4.580000,4.630000,4.540000,4.580000,4.516389,2496757
2017-02-27,4.570000,4.570000,4.400000,4.430000,4.368472,5386345
2017-02-28,4.430000,4.455000,4.350000,4.380000,4.319167,5031426
2017-03-01,4.400000,4.490000,4.370000,4.420000,4.358611,4080505
2017-03-02,4.450000,4.460000,4.350000,4.370000,4.309305,3409806
2017-03-03,4.370000,4.400000,4.350000,4.360000,4.299445,2262653
2017-03-06,4.370000,4.430000,4.360000,4.380000,4.319167,2166978
2017-03-07,4.390000,4.485000,4.380000,4.470000,4.407917,3934590
2017-03-08,4.470000,4.510000,4.420000,4.460000,4.398056,2305129
2017-03-09,4.430000,4.470000,4.400000,4.410000,4.348750,1647845
2017-03-10,4.430000,4.430000,4.240000,4.250000,4.190972,3240307
2017-03-13,4.270000,4.355000,4.260000,4.300000,4.240278,1935890
2017-03-14,4.360000,4.390000,4.280000,4.300000,4.240278,2944209
2017-03-15,4.300000,4.310000,4.210000,4.270000,4.210694,3291304
2017-03-16,4.220000,4.340000,4.220000,4.290000,4.230417,3152947
2017-03-17,4.300000,4.300000,4.230000,4.230000,4.171250,3496100
2017-03-20,4.230000,4.240000,4.170000,4.170000,4.112083,3451064
2017-03-21,4.220000,4.320000,4.220000,4.250000,4.190972,3264458
2017-03-22,4.220000,4.260000,4.160000,4.180000,4.121944,2713949
2017-03-23,4.190000,4.220000,4.130000,4.190000,4.131805,2141384
