Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,29.164400,29.171499,28.950800,29.000700,23.966946,1891094
2017-01-31,28.958000,29.000700,28.594999,28.652000,23.678774,3772121
2017-02-01,28.559401,29.079000,28.559401,29.079000,24.031654,3056907
2017-02-02,29.306700,29.306700,28.822800,28.922400,23.902235,4056850
2017-02-03,29.000700,29.057600,28.822800,28.858299,23.849264,3398110
2017-02-06,29.000700,29.135900,28.566500,28.652000,23.678774,2809613
2017-02-07,28.573700,28.865400,28.538099,28.865400,23.855131,3175473
2017-02-08,28.822800,28.858299,28.609200,28.787201,23.790504,2354039
2017-02-09,28.794300,29.164400,28.616400,29.164400,24.102232,2908600
2017-02-10,29.306700,29.790600,29.242599,29.790600,24.619738,3780760
2017-02-13,29.890301,30.139400,29.648300,30.125099,24.896177,2996642
2017-02-14,30.132200,30.260300,29.804899,29.982800,24.778580,3000733
2017-02-15,29.534401,30.858101,29.434799,30.836800,25.484350,10133688
2017-02-16,30.836800,30.861700,29.968500,30.495199,25.202042,6939094
2017-02-17,30.644600,30.737200,30.488100,30.666000,25.343195,3821825
2017-02-20,29.997000,30.139400,29.989901,30.132200,25.767517,4470208
2017-02-21,30.103800,30.146500,29.968500,30.146500,25.779747,3580916
2017-02-22,30.281700,30.694500,30.174900,30.694500,26.248369,4524170
2017-02-23,30.609100,30.950600,30.374201,30.744301,26.290956,4977614
2017-02-24,30.424000,30.737200,30.324400,30.601900,26.169180,2887393
2017-02-27,30.488100,30.594801,30.196301,30.338600,25.944021,3105955
2017-02-28,30.246099,30.545000,30.203400,30.402700,25.998838,3867108
2017-03-01,30.302999,30.502300,30.231899,30.502300,26.084011,2780103
2017-03-02,30.744301,30.865200,30.609100,30.772699,26.315243,2452999
2017-03-03,30.779900,30.794100,30.402700,30.495199,26.077940,2184079
2017-03-06,30.288799,30.552099,30.068199,30.495199,26.077940,1393902
2017-03-07,30.495199,30.886600,30.281700,30.815399,26.351755,3470100
2017-03-08,30.836800,31.028900,30.765600,31.028900,26.534332,2539622
2017-03-09,30.957800,31.171301,30.811899,31.071600,26.570845,1584028
2017-03-10,31.206900,31.633900,31.014700,31.605400,27.027323,2700634
2017-03-13,31.562700,31.562700,31.278000,31.491501,26.929926,2034154
2017-03-14,31.520000,31.562700,31.270901,31.562700,26.990810,2186252
2017-03-15,31.313601,31.427500,30.929300,31.228201,26.704762,3866846
2017-03-16,31.100100,31.448799,31.100100,31.370501,26.826450,4477852
2017-03-17,31.370501,31.370501,31.100100,31.313601,26.777794,3500207
2017-03-20,31.064501,31.278000,31.014700,31.171301,26.656107,1600810
2017-03-21,31.078800,31.299400,30.851000,31.256701,26.729136,2655257
2017-03-22,31.128599,31.128599,30.701599,30.808300,26.345686,3507357
2017-03-23,30.630400,30.950600,30.609100,30.886600,26.412642,3598075
2017-03-24,31.057400,31.285101,30.950600,31.228201,26.704762,2058229
2017-03-27,30.893700,31.313601,30.843901,31.313601,26.777794,2387957
2017-03-28,31.320700,31.641001,31.242399,31.584000,27.009026,2781102
2017-03-29,31.598301,32.060902,31.598301,31.939899,27.313372,3134439
2017-03-30,32.060902,32.374001,31.818899,32.374001,27.684593,2547919
2017-03-31,32.310001,32.452301,32.068001,32.075100,27.428988,7088395
2017-04-03,32.025299,32.196098,31.875799,32.096500,27.447289,1801912
2017-04-04,32.068001,32.089298,31.818899,31.868700,27.252485,1954000
2017-04-05,31.733500,31.733500,31.221100,31.498600,26.935993,3540967
2017-04-06,31.527100,31.729900,31.434601,31.626699,27.045540,2198211
2017-04-07,31.776199,31.826000,31.384800,31.612499,27.033396,1581440
2017-04-10,31.911400,31.911400,31.626699,31.847401,27.234272,2074911
2017-04-11,31.669399,31.989700,31.477301,31.740601,27.142939,2853667
2017-04-12,31.754801,32.082199,31.719299,32.011101,27.374260,2562027
2017-04-13,32.025299,32.231701,31.932800,32.124901,27.471575,1799060
2017-04-18,31.954100,32.025299,31.512899,31.669399,27.082054,2488271
2017-04-19,31.591200,31.868700,31.477301,31.569799,26.996880,5172096
2017-04-20,31.804701,31.811800,31.455900,31.605400,27.027323,2125285
2017-04-21,31.584000,31.598301,31.057400,31.235300,26.710833,2528613
2017-04-24,31.228201,31.235300,30.996901,31.135700,26.625662,2195842
2017-04-26,31.028900,31.395500,31.028900,31.270901,26.741276,2726375
2017-04-27,30.886600,31.242399,30.687300,30.815399,26.351755,5038395
2017-04-28,30.601900,30.701599,30.310200,30.601900,26.169180,6089257
2017-05-01,30.637501,31.128599,30.601900,31.036100,26.540489,3298780
2017-05-02,30.886600,31.036100,30.673100,30.822500,26.357830,4647940
2017-05-03,31.128599,31.171301,30.787001,30.879499,26.406572,3075540
2017-05-04,31.000500,31.128599,30.847500,31.057400,26.558702,3134097
2017-05-05,31.171301,31.171301,30.687300,30.808300,26.345686,2683861
2017-05-08,31.028900,31.028900,30.779900,30.893700,26.418715,2785808
2017-05-09,30.915100,31.142799,30.836800,31.050301,26.552629,2785138
2017-05-10,31.256701,31.399000,31.064501,31.399000,26.850822,2664435
2017-05-11,31.406099,31.641001,31.363400,31.406099,26.856892,2544454
2017-05-12,31.263800,31.605400,31.107201,31.299400,26.765648,2225808
2017-05-15,31.128599,31.178400,30.815399,31.007601,26.516117,2438719
2017-05-16,31.278000,31.334999,31.114300,31.263800,26.735207,2297058
2017-05-17,30.907900,31.078800,30.794100,30.858101,26.388273,2785098
2017-05-18,30.601900,30.893700,30.580601,30.893700,26.418715,3300484
2017-05-19,30.751400,30.772699,30.545000,30.609100,26.175341,2076805
2017-05-22,30.537901,30.609100,30.381300,30.452499,26.041424,1932791
2017-05-23,30.516500,30.545000,30.260300,30.267500,25.883221,2275464
2017-05-24,30.345699,30.502300,30.224800,30.424000,26.017050,2167355
2017-05-25,30.345699,30.480900,30.214100,30.438200,26.029194,1882303
2017-05-26,30.402700,30.402700,30.146500,30.331499,25.937946,3239952
2017-05-29,30.317301,30.630400,30.210501,30.281700,25.895365,2139279
2017-05-30,30.246099,30.246099,29.769300,30.046801,25.694490,3037459
2017-05-31,29.940100,30.388399,29.940100,30.388399,25.986607,4865934
2017-06-01,29.747900,29.804899,28.965099,29.441900,25.177210,8007574
2017-06-02,29.562901,29.925800,29.402800,29.868900,25.542360,4427220
2017-06-05,29.733700,29.947201,29.598499,29.911600,25.578873,2845463
2017-06-06,29.790600,29.890301,29.463301,29.470400,25.201582,2133764
2017-06-07,28.794300,29.043400,28.438400,28.630600,24.483425,6078186
2017-06-08,28.459801,28.772900,28.125299,28.573700,24.434769,3607386
2017-06-09,28.452700,28.787201,28.331699,28.509600,24.379953,3045746
2017-06-13,28.474001,28.993500,28.466900,28.993500,24.793758,4470983
2017-06-14,28.893900,29.114500,28.758699,29.114500,24.897236,5699321
2017-06-15,28.879700,29.192801,28.815599,29.192801,24.964193,9544619
2017-06-16,29.050501,29.128799,28.858299,28.965099,24.769474,4284477
2017-06-19,28.652000,28.900999,28.616400,28.900999,24.714657,3776125
2017-06-20,28.716000,29.064699,28.701799,28.829901,24.653858,3145635
2017-06-21,28.687500,28.815599,28.552299,28.623501,24.477358,3510612
2017-06-22,28.716000,29.143000,28.644800,29.050501,24.842506,2745207
2017-06-23,29.007799,29.036200,28.844101,28.979300,24.781618,1933237
2017-06-26,28.908100,29.264000,28.908100,29.221300,24.988565,2666129
2017-06-27,29.057600,29.079000,28.851200,28.879700,24.696445,2322626
2017-06-28,28.929501,29.071800,28.723101,29.014900,24.812061,2365082
2017-06-29,29.007799,29.235500,28.865400,28.950800,24.757246,2818971
2017-06-30,28.822800,28.993500,28.552299,28.552299,24.416470,6780105
2017-07-03,28.509600,28.900999,28.466900,28.587900,24.446913,2867673
2017-07-04,28.751600,29.050501,28.723101,29.029100,24.824203,2521087
2017-07-05,29.000700,29.114500,28.851200,28.858299,24.678144,2121067
2017-07-06,28.893900,29.246201,28.837000,29.157200,24.933750,3507815
2017-07-07,29.107401,29.196400,28.922400,29.114500,24.897236,3149155
2017-07-10,29.199900,29.292400,29.007799,29.086100,24.872948,2620512
2017-07-11,29.007799,29.214199,28.893900,28.950800,24.757246,2585446
2017-07-12,28.822800,28.936600,28.609200,28.701799,24.544313,3059087
2017-07-13,28.872601,29.427700,28.801399,29.427700,25.165066,3965042
2017-07-14,29.712299,29.790600,29.434799,29.570000,25.286753,2866514
