Date,Open,High,Low,Close,Adj Close,Volume
2017-01-30,2.830000,2.860000,2.800000,2.850000,2.470051,3436552
2017-01-31,2.830000,2.860000,2.760000,2.840000,2.461384,4636964
2017-02-01,2.890000,2.930000,2.860000,2.910000,2.522052,5057972
2017-02-02,2.950000,2.950000,2.800000,2.820000,2.444050,4175361
2017-02-03,2.820000,2.850000,2.720000,2.760000,2.392049,6328279
2017-02-06,2.810000,2.840000,2.700000,2.710000,2.348715,5538376
2017-02-07,2.700000,2.725000,2.600000,2.650000,2.296714,7701999
2017-02-08,2.670000,2.750000,2.660000,2.730000,2.366048,4027962
2017-02-09,2.720000,2.745000,2.675000,2.710000,2.348715,3323508
2017-02-10,2.730000,2.790000,2.720000,2.770000,2.400716,2783388
2017-02-13,2.810000,2.875000,2.790000,2.820000,2.444050,4107799
2017-02-14,2.830000,2.860000,2.795000,2.810000,2.435383,3253362
2017-02-15,2.810000,2.820000,2.740000,2.780000,2.409383,6414579
2017-02-16,2.850000,2.985000,2.840000,2.940000,2.548052,8100481
2017-02-17,2.930000,2.940000,2.850000,2.870000,2.487384,9329400
2017-02-20,2.900000,2.900000,2.820000,2.870000,2.487384,2984651
2017-02-21,2.880000,2.995000,2.850000,2.950000,2.556719,10352568
2017-02-22,2.950000,2.990000,2.885000,2.980000,2.582720,6398886
2017-02-23,2.970000,3.010000,2.940000,2.970000,2.574053,5954619
2017-02-24,2.990000,3.010000,2.830000,2.830000,2.452717,5716201
2017-02-27,2.840000,2.920000,2.740000,2.860000,2.478717,4264965
2017-02-28,2.880000,2.900000,2.860000,2.890000,2.504718,2949016
2017-03-01,2.870000,2.900000,2.850000,2.880000,2.496051,5660780
2017-03-02,2.920000,3.000000,2.900000,2.960000,2.565386,7624197
2017-03-03,2.900000,2.920000,2.790000,2.860000,2.478717,8146366
2017-03-06,2.850000,2.930000,2.830000,2.890000,2.504718,2865739
2017-03-07,2.870000,2.900000,2.810000,2.820000,2.444050,4922797
2017-03-08,2.810000,2.820000,2.680000,2.760000,2.392049,11632634
2017-03-09,2.620000,2.700000,2.620000,2.650000,2.296714,8632163
2017-03-10,2.680000,2.690000,2.640000,2.650000,2.296714,5020955
2017-03-13,2.670000,2.730000,2.650000,2.710000,2.348715,5639300
2017-03-14,2.730000,2.850000,2.730000,2.840000,2.461384,9057939
2017-03-15,2.800000,2.840000,2.760000,2.830000,2.452717,6618690
2017-03-16,2.830000,2.835000,2.790000,2.820000,2.444050,4245394
2017-03-17,2.800000,2.810000,2.750000,2.760000,2.392049,3409212
2017-03-20,2.750000,2.810000,2.740000,2.800000,2.426716,4662016
2017-03-21,2.800000,2.850000,2.780000,2.840000,2.461384,5101955
2017-03-22,2.750000,2.770000,2.700000,2.720000,2.357381,7218641
2017-03-23,2.720000,2.830000,2.720000,2.790000,2.418049,3915005
2017-03-24,2.820000,2.820000,2.755000,2.770000,2.400716,3079078
2017-03-27,2.750000,2.770000,2.700000,2.730000,2.366048,4073487
2017-03-28,2.770000,2.890000,2.770000,2.850000,2.470051,7730553
2017-03-29,2.900000,2.950000,2.890000,2.920000,2.530719,7661104
2017-03-30,2.950000,3.000000,2.920000,2.960000,2.565386,7034787
2017-03-31,2.970000,3.050000,2.960000,2.990000,2.591386,7602624
2017-04-03,2.970000,3.140000,2.930000,3.100000,2.686722,10926603
2017-04-04,3.270000,3.440000,3.230000,3.270000,2.834058,17944696
2017-04-05,3.250000,3.370000,3.215000,3.250000,2.816724,12866966
2017-04-06,3.300000,3.330000,3.220000,3.320000,2.877392,7081803
2017-04-07,3.320000,3.335000,3.240000,3.290000,2.851392,5739239
2017-04-10,3.300000,3.410000,3.270000,3.300000,2.860058,9288280
2017-04-11,3.300000,3.300000,3.160000,3.190000,2.764723,7763288
2017-04-12,3.230000,3.270000,3.180000,3.200000,2.773390,5395847
2017-04-13,3.050000,3.090000,2.940000,2.980000,2.582720,9365001
2017-04-18,2.930000,2.970000,2.890000,2.910000,2.522052,8339465
2017-04-19,2.900000,2.930000,2.830000,2.860000,2.478717,5654386
2017-04-20,2.830000,2.850000,2.740000,2.820000,2.444050,7620451
2017-04-21,2.820000,2.860000,2.810000,2.850000,2.470051,6730284
2017-04-24,2.840000,2.840000,2.780000,2.800000,2.426716,4488147
2017-04-26,2.840000,2.850000,2.680000,2.720000,2.357381,11139633
2017-04-27,2.730000,2.795000,2.720000,2.790000,2.418049,3263166
2017-04-28,2.740000,2.770000,2.720000,2.740000,2.374715,3632304
2017-05-01,2.750000,2.750000,2.700000,2.730000,2.366048,3210204
2017-05-02,2.750000,2.800000,2.720000,2.800000,2.426716,5313449
2017-05-03,2.800000,2.800000,2.750000,2.780000,2.409383,3703849
2017-05-04,2.750000,2.770000,2.700000,2.770000,2.400716,5566817
2017-05-05,2.710000,2.710000,2.560000,2.600000,2.253379,9029709
2017-05-08,2.650000,2.730000,2.640000,2.690000,2.331381,6594866
2017-05-09,2.680000,2.700000,2.620000,2.640000,2.288047,7439128
2017-05-10,2.630000,2.640000,2.530000,2.590000,2.244712,8880753
2017-05-11,2.570000,2.670000,2.480000,2.490000,2.158044,13403588
2017-05-12,2.440000,2.570000,2.425000,2.520000,2.184045,10598082
2017-05-15,2.500000,2.535000,2.485000,2.500000,2.166711,3490348
2017-05-16,2.540000,2.580000,2.490000,2.500000,2.166711,6297636
2017-05-17,2.460000,2.680000,2.450000,2.640000,2.288047,11870027
2017-05-18,2.530000,2.625000,2.530000,2.610000,2.262046,10433352
2017-05-19,2.570000,2.620000,2.560000,2.590000,2.244712,5048661
2017-05-22,2.580000,2.670000,2.560000,2.640000,2.288047,12899322
2017-05-23,2.650000,2.660000,2.590000,2.610000,2.262046,4547197
2017-05-24,2.610000,2.620000,2.540000,2.570000,2.227379,4427169
2017-05-25,2.560000,2.640000,2.560000,2.600000,2.253379,4448362
2017-05-26,2.580000,2.590000,2.510000,2.550000,2.210045,3608159
2017-05-29,2.520000,2.565000,2.520000,2.550000,2.210045,2416573
2017-05-30,2.550000,2.610000,2.540000,2.580000,2.236046,2602770
2017-05-31,2.560000,2.580000,2.510000,2.530000,2.192712,4525659
2017-06-01,2.500000,2.530000,2.440000,2.460000,2.132044,6932034
2017-06-02,2.480000,2.545000,2.470000,2.510000,2.175378,5571084
2017-06-05,2.500000,2.510000,2.450000,2.500000,2.166711,3528950
2017-06-06,2.510000,2.610000,2.510000,2.580000,2.236046,6089620
2017-06-07,2.600000,2.740000,2.600000,2.700000,2.340048,11441658
2017-06-08,2.670000,2.715000,2.650000,2.700000,2.340048,6394963
2017-06-09,2.680000,2.850000,2.670000,2.790000,2.418049,5001337
2017-06-13,2.790000,2.860000,2.760000,2.850000,2.470051,4467311
2017-06-14,2.860000,2.940000,2.810000,2.900000,2.513385,7633575
2017-06-15,2.910000,2.925000,2.780000,2.800000,2.426716,9150956
2017-06-16,2.790000,2.850000,2.770000,2.810000,2.435383,3729647
2017-06-19,2.800000,2.830000,2.770000,2.820000,2.444050,2340893
2017-06-20,2.820000,2.950000,2.790000,2.920000,2.530719,9520058
2017-06-21,2.910000,2.910000,2.740000,2.780000,2.409383,7423879
2017-06-22,2.800000,2.800000,2.685000,2.720000,2.357381,7005908
2017-06-23,2.690000,2.720000,2.665000,2.700000,2.340048,6200560
2017-06-26,2.720000,2.750000,2.715000,2.730000,2.366048,4237266
2017-06-27,2.780000,2.950000,2.775000,2.880000,2.496051,7159239
2017-06-28,2.890000,2.980000,2.870000,2.890000,2.504718,5670634
2017-06-29,2.920000,3.020000,2.920000,2.930000,2.539386,6733165
2017-06-30,2.860000,2.900000,2.750000,2.870000,2.487384,7951813
2017-07-03,2.890000,2.980000,2.870000,2.890000,2.504718,5644863
2017-07-04,2.950000,2.980000,2.930000,2.950000,2.556719,6466832
2017-07-05,2.920000,2.970000,2.850000,2.880000,2.496051,5593714
2017-07-06,2.910000,2.950000,2.895000,2.910000,2.522052,5239678
2017-07-07,2.900000,2.920000,2.815000,2.830000,2.452717,6693704
2017-07-10,2.860000,2.890000,2.830000,2.850000,2.470051,3644781
2017-07-11,2.850000,2.920000,2.845000,2.900000,2.513385,2966385
2017-07-12,2.880000,2.905000,2.850000,2.870000,2.487384,3893392
2017-07-13,2.830000,2.940000,2.775000,2.920000,2.530719,10026313
2017-07-14,2.910000,2.910000,2.830000,2.850000,2.470051,7995406
2017-07-17,2.840000,2.900000,2.830000,2.880000,2.496051,4912037
2017-07-18,2.900000,2.900000,2.825000,2.870000,2.487384,4987625
2017-07-19,2.870000,2.890000,2.785000,2.880000,2.496051,6574538
2017-07-20,2.900000,3.060000,2.870000,2.960000,2.565386,8144753
2017-07-21,2.900000,2.910000,2.820000,2.840000,2.461384,6719596
2017-07-24,2.830000,2.915000,2.825000,2.890000,2.504718,4425550
2017-07-25,2.890000,3.000000,2.890000,2.900000,2.513385,3366448
2017-07-26,2.960000,3.010000,2.940000,2.990000,2.591386,8971351
2017-07-27,3.000000,3.040000,2.960000,2.990000,2.591386,3568230
2017-07-28,2.940000,2.960000,2.880000,2.950000,2.556719,4152851
2017-07-31,2.950000,3.020000,2.915000,2.970000,2.574053,9638010
2017-08-01,3.030000,3.190000,3.020000,3.170000,2.747389,9069659
2017-08-02,3.200000,3.240000,3.110000,3.210000,2.782057,9657956
2017-08-03,3.140000,3.175000,3.130000,3.150000,2.730056,4167584
2017-08-04,3.140000,3.230000,3.130000,3.150000,2.730056,4688077
2017-08-07,3.160000,3.210000,3.160000,3.190000,2.764723,5537546
2017-08-08,3.210000,3.220000,3.160000,3.210000,2.782057,3863706
2017-08-09,3.160000,3.200000,3.140000,3.160000,2.738722,6939033
2017-08-10,3.180000,3.245000,3.160000,3.210000,2.782057,5314259
2017-08-11,3.160000,3.200000,3.160000,3.190000,2.764723,6354348
2017-08-14,3.200000,3.260000,3.170000,3.250000,2.816724,5811105
2017-08-15,3.270000,3.280000,3.190000,3.240000,2.808058,4031656
2017-08-16,3.250000,3.365000,3.210000,3.360000,2.912060,5842926
2017-08-17,3.460000,3.620000,3.180000,3.290000,2.851392,20712713
2017-08-18,3.160000,3.240000,3.055000,3.210000,2.782057,9488165
2017-08-21,3.200000,3.320000,3.200000,3.310000,2.868725,5521039
2017-08-22,3.300000,3.355000,3.270000,3.280000,2.842725,9922252
2017-08-23,3.320000,3.370000,3.300000,3.340000,2.894726,6848769
2017-08-24,3.320000,3.420000,3.315000,3.410000,2.955394,5077030
2017-08-25,3.420000,3.530000,3.410000,3.450000,2.990061,5056845
2017-08-28,3.440000,3.510000,3.400000,3.500000,3.033395,3979308
2017-08-29,3.490000,3.510000,3.455000,3.500000,3.033395,7952173
