,Code,Company,Sector
0,ABP.AX,Abacus Property Group FP Ordinary/Units Stapled Securities,Real Estate
1,ABC.AX,Adelaide Brighton,Materials
2,APT.AX,Afterpay Touch,Information Technology
3,AGL.AX,AGL Energy Limited,Utilities
4,ALQ.AX,Als Limited,Industrials
5,ALU.AX,Altium Limited,Information Technology
6,AWC.AX,Alumina Limited,Materials
7,AMC.AX,Amcor Plc Cdi 1:1 Foreign Exempt NYSE,Materials
8,AMP.AX,AMP Limited,Financials
9,ANN.AX,Ansell Limited,Health Care
10,ANZ.AX,ANZ Banking Group Limited,Financials
11,APA.AX,APA Group FP Units Stapled Securities,Utilities
12,APX.AX,Appen Limited,Information Technology
13,ARB.AX,ARB Corporation,Consumer Discretionary
14,ALG.AX,Ardentleisuregrpltd,Consumer Discretionary
15,ALL.AX,Aristocrat Leisure,Consumer Discretionary
16,ASX.AX,ASX Limited,Financials
17,ALX.AX,Atlas Arteria Stap US Prohibited Excluding QUP,Industrials
18,AZJ.AX,Aurizon Holdings Limited,Industrials
19,AST.AX,Ausnet Services Limited,Utilities
20,ASB.AX,Austal Limited,Industrials
21,API.AX,Australian Pharm,Health Care
22,BOQ.AX,Bank of Queensland,Financials
23,BAP.AX,Bapcor Limited,Consumer Discretionary
24,BPT.AX,Beach Energy Limited,Energy
25,BGA.AX,Bega Cheese Limited,Consumer Staples
26,BEN.AX,Bendigo and Adelaide,Financials
27,BHP.AX,BHP Group Limited,Materials
28,BIN.AX,Bingo Industries Limited,Industrials
29,BKL.AX,Blackmores Limited,Consumer Staples
30,BSL.AX,Bluescope Steel Limited,Materials
31,BLD.AX,Boral Limited,Materials
32,BXB.AX,Brambles Limited,Industrials
33,BVS.AX,Bravura Solution Limited,Information Technology
34,BRG.AX,Breville Group Limited,Consumer Discretionary
35,BKW.AX,Brickworks Limited,Materials
36,BWP.AX,BWP Trust Ordinary Units FP,Real Estate
37,CTX.AX,Caltex Australia,Energy
38,CAR.AX,Carsales.com Limited,Information Technology
39,CGF.AX,Challenger Limited,Financials
40,CHC.AX,Charter Hall Group Stapled Securities US Prohibited,Real Estate
41,CQR.AX,Charter Hall Retail Units FP,Real Estate
42,CNU.AX,Chorus Limited Foreign Exempt NZX,Telecommunication Services
43,CLW.AX,CHTR H LWR FP Units Stapled Securities,Real Estate
44,CIM.AX,Cimic Group Limited,Industrials
45,CWY.AX,Cleanaway Waste Limited,Industrials
46,CUV.AX,Clinuvel Pharmaceut,Health Care
47,CCL.AX,Coca-Cola Amatil,Consumer Staples
48,COH.AX,Cochlear Limited,Health Care
49,COL.AX,Coles Group,Consumer Staples
50,CBA.AX,Commonwealth Bank,Financials
51,CPU.AX,Computershare Limited,Information Technology
52,COE.AX,Cooper Energy Limited,Energy
53,CTD.AX,Corp Travel Limited,Consumer Discretionary
54,CGC.AX,Costa Group Holdings,Consumer Staples
55,CCP.AX,Credit Corp Group,Financials
56,CMW.AX,Cromwell Prop FP Ordinary/Units Stapled Securities,Real Estate
57,CWN.AX,Crown Resorts Limited,Consumer Discretionary
58,CSL.AX,CSL Limited,Health Care
59,CSR.AX,CSR Limited,Materials
60,DXS.AX,Dexus FP Units Stapled Securities,Real Estate
61,DHG.AX,Domain Holdings Aus,Information Technology
62,DMP.AX,Domino PIZZA Enterpr,Consumer Discretionary
63,DOW.AX,Downer Edi Limited,Industrials
64,ECX.AX,Eclipx Group Limited,Financials
65,ELD.AX,Elders Limited,Consumer Staples
66,EHL.AX,Emeco Holdings,Industrials
67,EHE.AX,Estia Health Limited,Health Care
68,EVN.AX,Evolution Mining Limited,Materials
69,FPH.AX,Fisher & Paykel H Foreign Exempt NZX,Health Care
70,FBU.AX,Fletcher Building Foreign Exempt NZX,Materials
71,FLT.AX,Flight Centre Travel,Consumer Discretionary
72,FMG.AX,Fortescue Metals Group,Materials
73,GUD.AX,G.U.D. Holdings,Consumer Discretionary
