Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,4.820000,4.860000,4.750000,4.780000,4.748553,50785351
2019-09-17,4.750000,4.770000,4.620000,4.640000,4.609474,53306138
2019-09-18,4.660000,4.680000,4.620000,4.650000,4.619408,27086910
2019-09-19,4.660000,4.730000,4.610000,4.730000,4.698882,38140374
2019-09-20,4.740000,4.750000,4.700000,4.730000,4.698882,38519508
2019-09-23,4.740000,4.740000,4.610000,4.650000,4.619408,35044444
2019-09-24,4.650000,4.720000,4.630000,4.650000,4.619408,41257622
2019-09-25,4.630000,4.650000,4.520000,4.560000,4.530000,65918614
2019-09-26,4.560000,4.580000,4.450000,4.460000,4.430658,47329615
2019-09-27,4.460000,4.520000,4.450000,4.520000,4.490263,37466247
2019-09-30,4.500000,4.510000,4.440000,4.450000,4.420723,28050439
2019-10-08,4.480000,4.520000,4.460000,4.460000,4.430658,24899746
2019-10-09,4.470000,4.550000,4.450000,4.520000,4.490263,26348478
2019-10-10,4.540000,4.630000,4.540000,4.600000,4.569737,35801535
2019-10-11,4.620000,4.620000,4.540000,4.580000,4.549869,29012499
2019-10-14,4.620000,4.680000,4.590000,4.630000,4.599540,42300788
2019-10-15,4.600000,4.610000,4.530000,4.550000,4.520066,28311399
2019-10-16,4.550000,4.590000,4.500000,4.510000,4.480330,22428299
2019-10-17,4.510000,4.520000,4.480000,4.500000,4.470395,17465886
2019-10-18,4.500000,4.520000,4.420000,4.440000,4.410789,26735576
2019-10-21,4.410000,4.460000,4.400000,4.460000,4.430658,17619004
2019-10-22,4.490000,4.520000,4.470000,4.520000,4.490263,18905048
2019-10-23,4.520000,4.540000,4.450000,4.460000,4.430658,16545110
2019-10-24,4.470000,4.480000,4.440000,4.470000,4.440592,15348551
2019-10-25,4.470000,4.480000,4.410000,4.470000,4.440592,20693439
2019-10-28,4.480000,4.570000,4.470000,4.550000,4.520066,37720939
2019-10-29,4.590000,4.600000,4.510000,4.510000,4.480330,34628047
2019-10-30,4.510000,4.510000,4.430000,4.430000,4.400855,30690299
2019-10-31,4.440000,4.450000,4.370000,4.390000,4.361118,26390567
2019-11-01,4.370000,4.430000,4.350000,4.410000,4.380987,21148922
2019-11-04,4.430000,4.430000,4.390000,4.400000,4.371053,21821814
2019-11-05,4.410000,4.480000,4.310000,4.430000,4.400855,49992330
2019-11-06,4.400000,4.560000,4.390000,4.480000,4.450526,70287847
2019-11-07,4.460000,4.490000,4.410000,4.440000,4.410789,31928430
2019-11-08,4.490000,4.520000,4.440000,4.460000,4.430658,39099396
2019-11-11,4.420000,4.420000,4.330000,4.340000,4.311448,37606640
2019-11-12,4.330000,4.360000,4.290000,4.320000,4.291579,21009875
2019-11-13,4.320000,4.320000,4.280000,4.300000,4.271711,17914734
2019-11-14,4.300000,4.330000,4.290000,4.310000,4.281645,14859181
2019-11-15,4.300000,4.310000,4.240000,4.240000,4.212105,21954196
2019-11-18,4.230000,4.280000,4.220000,4.250000,4.222040,14662840
2019-11-19,4.250000,4.320000,4.250000,4.320000,4.291579,24988447
2019-11-20,4.300000,4.330000,4.230000,4.250000,4.222040,30203290
2019-11-21,4.220000,4.260000,4.200000,4.220000,4.192237,27495039
2019-11-22,4.240000,4.330000,4.220000,4.270000,4.241908,48882431
2019-11-25,4.280000,4.280000,4.200000,4.240000,4.212105,44945232
2019-11-26,4.240000,4.260000,4.150000,4.150000,4.122697,67276334
2019-11-27,4.170000,4.240000,4.060000,4.210000,4.182303,72479295
2019-11-28,4.170000,4.190000,4.080000,4.100000,4.073026,47155895
2019-11-29,4.100000,4.100000,4.020000,4.050000,4.023355,40570370
2019-12-02,4.050000,4.060000,3.980000,4.010000,3.983619,42497676
2019-12-03,4.020000,4.070000,4.020000,4.050000,4.023355,38490984
2019-12-04,4.020000,4.130000,4.020000,4.120000,4.092895,46454809
2019-12-05,4.130000,4.170000,4.110000,4.160000,4.132631,39691148
2019-12-06,4.160000,4.230000,4.140000,4.230000,4.202171,42642800
2019-12-09,4.230000,4.250000,4.190000,4.210000,4.182303,36896831
2019-12-10,4.270000,4.370000,4.270000,4.350000,4.321382,80826737
2019-12-11,4.330000,4.380000,4.310000,4.340000,4.311448,48206377
2019-12-12,4.360000,4.370000,4.320000,4.350000,4.321382,38303897
2019-12-13,4.330000,4.380000,4.310000,4.350000,4.321382,50885507
2019-12-16,4.390000,4.390000,4.330000,4.370000,4.341250,50082464
2019-12-17,4.350000,4.480000,4.350000,4.430000,4.400855,72829020
2019-12-18,4.420000,4.450000,4.390000,4.390000,4.361118,49083817
2019-12-19,4.420000,4.450000,4.380000,4.420000,4.390921,44056061
2019-12-20,4.460000,4.590000,4.440000,4.440000,4.410789,77286565
2019-12-23,4.450000,4.560000,4.390000,4.440000,4.410789,74319045
2019-12-24,4.500000,4.880000,4.500000,4.850000,4.818092,355987164
2019-12-25,4.780000,4.800000,4.710000,4.760000,4.728684,179298990
2019-12-26,4.770000,4.890000,4.730000,4.800000,4.768421,115977686
2019-12-27,4.820000,5.010000,4.800000,4.830000,4.798223,227838630
2019-12-30,4.810000,4.930000,4.750000,4.890000,4.857829,123564606
2019-12-31,4.890000,4.950000,4.810000,4.870000,4.837961,95232944
2020-01-02,4.940000,4.940000,4.840000,4.880000,4.847895,114742726
2020-01-03,4.870000,4.990000,4.860000,4.890000,4.857829,121050620
2020-01-06,4.910000,5.230000,4.910000,5.120000,5.086316,222025810
2020-01-07,5.120000,5.220000,5.040000,5.180000,5.145921,131664493
2020-01-08,5.200000,5.320000,5.160000,5.190000,5.155856,163456602
2020-01-09,5.280000,5.330000,5.150000,5.200000,5.165790,116222058
2020-01-10,5.220000,5.230000,5.090000,5.150000,5.116118,93830011
2020-01-13,5.220000,5.300000,5.150000,5.260000,5.225395,135410208
2020-01-14,5.320000,5.790000,5.310000,5.790000,5.751908,302638457
2020-01-15,5.790000,5.840000,5.530000,5.660000,5.622763,336488411
2020-01-16,5.660000,5.860000,5.590000,5.740000,5.702237,208094040
2020-01-17,5.700000,5.720000,5.520000,5.650000,5.612829,159416998
2020-01-20,5.650000,5.940000,5.580000,5.840000,5.801579,178432459
2020-01-21,5.780000,5.800000,5.630000,5.650000,5.612829,121607039
2020-01-22,5.600000,5.970000,5.530000,5.900000,5.861185,210502297
2020-01-23,5.800000,6.010000,5.640000,5.770000,5.732039,190317306
2020-02-03,5.190000,5.430000,5.190000,5.190000,5.155856,249649682
2020-02-04,5.320000,5.710000,5.310000,5.710000,5.672434,317434558
2020-02-05,5.990000,6.280000,5.920000,6.190000,6.149277,441017104
2020-02-06,5.960000,6.420000,5.960000,6.360000,6.318158,412074480
2020-02-07,6.260000,6.350000,6.010000,6.160000,6.119473,321596766
2020-02-10,6.140000,6.380000,6.070000,6.360000,6.318158,321253913
2020-02-11,6.370000,6.370000,6.100000,6.110000,6.069803,228918861
2020-02-12,6.020000,6.620000,6.020000,6.450000,6.407566,377626778
2020-02-13,6.360000,6.420000,6.210000,6.240000,6.198947,282816243
2020-02-14,6.290000,6.550000,6.230000,6.290000,6.248619,249635093
2020-02-17,6.370000,6.440000,6.270000,6.370000,6.328092,224020673
2020-02-18,6.360000,6.610000,6.220000,6.380000,6.338027,312400097
