Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,3.560000,3.580000,3.540000,3.580000,3.514191,119140628
2019-09-17,3.560000,3.560000,3.480000,3.490000,3.425846,119951230
2019-09-18,3.490000,3.510000,3.480000,3.480000,3.416029,74665247
2019-09-19,3.460000,3.470000,3.430000,3.470000,3.406213,87685864
2019-09-20,3.460000,3.500000,3.460000,3.500000,3.435662,85767787
2019-09-23,3.500000,3.510000,3.450000,3.450000,3.386581,70250594
2019-09-24,3.460000,3.470000,3.430000,3.440000,3.376765,90421323
2019-09-25,3.460000,3.460000,3.400000,3.410000,3.347316,80683010
2019-09-26,3.380000,3.390000,3.280000,3.310000,3.249154,152296672
2019-09-27,3.300000,3.310000,3.280000,3.290000,3.229522,78820942
2019-09-30,3.290000,3.300000,3.260000,3.270000,3.209890,57650269
2019-10-08,3.270000,3.300000,3.250000,3.260000,3.200073,56785613
2019-10-09,3.270000,3.340000,3.270000,3.320000,3.258970,74633694
2019-10-10,3.320000,3.340000,3.300000,3.330000,3.268787,59814655
2019-10-11,3.320000,3.340000,3.300000,3.340000,3.278603,48805114
2019-10-14,3.320000,3.350000,3.310000,3.330000,3.268787,108556823
2019-10-15,3.330000,3.340000,3.300000,3.300000,3.239338,53369662
2019-10-16,3.310000,3.310000,3.280000,3.280000,3.219706,43326972
2019-10-17,3.290000,3.290000,3.260000,3.270000,3.209890,62259627
2019-10-18,3.270000,3.280000,3.210000,3.210000,3.150993,74581850
2019-10-21,3.210000,3.230000,3.160000,3.220000,3.160809,68742172
2019-10-22,3.200000,3.210000,3.190000,3.210000,3.150993,48405094
2019-10-23,3.200000,3.250000,3.200000,3.240000,3.180441,69112601
2019-10-24,3.240000,3.240000,3.190000,3.210000,3.150993,49556042
2019-10-25,3.220000,3.240000,3.200000,3.240000,3.180441,51727067
2019-10-28,3.230000,3.360000,3.220000,3.360000,3.298235,179880301
2019-10-29,3.330000,3.350000,3.310000,3.310000,3.249154,70227470
2019-10-30,3.310000,3.360000,3.300000,3.350000,3.288419,124647773
2019-10-31,3.360000,3.390000,3.330000,3.380000,3.317868,108485100
2019-11-01,3.400000,3.430000,3.350000,3.370000,3.308051,140977812
2019-11-04,3.370000,3.490000,3.360000,3.470000,3.406213,201467036
2019-11-05,3.470000,3.500000,3.440000,3.470000,3.406213,105677308
2019-11-06,3.440000,3.630000,3.440000,3.590000,3.524007,304066851
2019-11-07,3.580000,3.610000,3.530000,3.590000,3.524007,126546850
2019-11-08,3.570000,3.610000,3.540000,3.590000,3.524007,132126617
2019-11-11,3.560000,3.570000,3.480000,3.500000,3.435662,160408254
2019-11-12,3.490000,3.500000,3.410000,3.440000,3.376765,113034113
2019-11-13,3.510000,3.620000,3.470000,3.490000,3.425846,217150087
2019-11-14,3.490000,3.500000,3.420000,3.440000,3.376765,159394784
2019-11-15,3.440000,3.440000,3.440000,3.440000,3.376765,0
2019-11-18,3.440000,3.440000,3.440000,3.440000,3.376765,0
2019-11-19,3.440000,3.440000,3.440000,3.440000,3.376765,0
2019-11-20,3.440000,3.440000,3.440000,3.440000,3.376765,0
2019-11-21,3.460000,3.550000,3.460000,3.530000,3.465110,208016211
2019-11-22,3.520000,3.640000,3.500000,3.620000,3.553456,202963641
2019-11-25,3.670000,3.800000,3.650000,3.770000,3.700698,298447499
2019-11-26,3.740000,3.770000,3.690000,3.770000,3.700698,149457075
2019-11-27,3.750000,3.750000,3.630000,3.680000,3.612353,127916678
2019-11-28,3.660000,3.710000,3.630000,3.640000,3.573088,80012924
2019-11-29,3.540000,3.600000,3.490000,3.560000,3.494559,255794315
2019-12-02,3.600000,3.780000,3.580000,3.700000,3.631985,281817655
2019-12-03,3.770000,3.800000,3.710000,3.730000,3.661434,166242030
2019-12-04,3.770000,3.800000,3.730000,3.770000,3.700698,207460504
2019-12-05,3.760000,3.770000,3.670000,3.710000,3.641801,155608153
2019-12-06,3.690000,3.720000,3.650000,3.680000,3.612353,107979821
2019-12-09,3.660000,3.850000,3.660000,3.850000,3.779228,304464617
2019-12-10,3.850000,4.000000,3.830000,3.970000,3.897022,361107946
2019-12-11,3.960000,4.020000,3.930000,3.960000,3.887206,158209186
2019-12-12,4.020000,4.050000,3.930000,3.930000,3.857757,138460815
2019-12-13,3.950000,3.990000,3.910000,3.960000,3.887206,125701226
2019-12-16,3.960000,3.970000,3.870000,3.950000,3.877390,165928676
2019-12-17,3.960000,4.030000,3.930000,3.990000,3.916654,209732926
2019-12-18,3.980000,3.990000,3.950000,3.970000,3.897022,130068260
2019-12-19,3.960000,4.130000,3.940000,4.100000,4.024632,306309867
2019-12-20,4.100000,4.110000,3.990000,4.020000,3.946103,206432567
2019-12-23,3.990000,4.040000,3.960000,3.970000,3.897022,116477193
2019-12-24,3.980000,4.140000,3.930000,4.120000,4.044264,210025202
2019-12-25,4.150000,4.200000,4.090000,4.140000,4.063897,169416725
2019-12-26,4.120000,4.240000,4.100000,4.190000,4.112978,188737081
2019-12-27,4.190000,4.610000,4.190000,4.460000,4.378015,476812687
2019-12-30,4.480000,4.600000,4.370000,4.490000,4.407463,293426675
2019-12-31,4.530000,4.640000,4.450000,4.590000,4.505625,292216495
2020-01-02,4.620000,4.850000,4.600000,4.750000,4.662684,350856766
2020-01-03,4.780000,4.900000,4.710000,4.800000,4.711765,274099877
2020-01-06,4.940000,5.020000,4.650000,4.860000,4.770662,577602337
2020-01-07,4.730000,4.730000,4.620000,4.670000,4.584155,402402486
2020-01-08,4.700000,4.700000,4.700000,4.700000,4.613603,440337771
2020-01-09,4.530000,4.620000,4.480000,4.510000,4.427096,387550882
2020-01-10,4.500000,4.550000,4.460000,4.540000,4.456544,235712336
2020-01-13,4.630000,4.630000,4.630000,4.630000,4.544890,203908618
2020-01-14,4.740000,4.740000,4.740000,4.740000,4.652867,321751155
2020-01-15,4.730000,4.730000,4.570000,4.600000,4.515441,189435385
2020-01-16,4.600000,4.620000,4.490000,4.520000,4.436912,168868136
2020-01-17,4.530000,4.660000,4.490000,4.620000,4.535073,179916087
2020-01-20,4.600000,4.610000,4.480000,4.540000,4.456544,185356720
2020-01-21,4.520000,4.520000,4.360000,4.360000,4.279853,255850302
2020-01-22,4.330000,4.470000,4.210000,4.430000,4.348566,192937829
2020-01-23,4.310000,4.530000,4.220000,4.290000,4.211140,295411006
2020-02-03,3.860000,4.050000,3.860000,3.860000,3.789044,449831802
2020-02-04,3.860000,4.030000,3.860000,3.980000,3.906838,278159584
2020-02-05,3.960000,4.120000,3.930000,4.030000,3.955919,302199277
2020-02-06,4.070000,4.180000,4.000000,4.130000,4.054081,302518837
2020-02-07,4.090000,4.180000,4.030000,4.100000,4.024632,234159108
2020-02-10,4.060000,4.230000,4.010000,4.200000,4.122794,292442849
2020-02-11,4.180000,4.380000,4.160000,4.240000,4.162058,262161138
2020-02-12,4.230000,4.320000,4.220000,4.300000,4.220956,169084056
2020-02-13,4.310000,4.350000,4.260000,4.320000,4.240588,178212554
2020-02-14,4.320000,4.590000,4.280000,4.540000,4.456544,336806363
2020-02-17,4.550000,4.630000,4.480000,4.610000,4.525258,247418859
2020-02-18,4.640000,4.640000,4.550000,4.570000,4.485993,199042510
2020-02-19,4.640000,4.670000,4.530000,4.590000,4.505625,255613779
2020-02-20,4.570000,4.600000,4.500000,4.590000,4.505625,216979060
2020-02-21,4.630000,4.770000,4.580000,4.700000,4.613603,365015846
2020-02-24,4.830000,4.860000,4.660000,4.720000,4.633235,364972682
2020-02-25,4.570000,4.690000,4.530000,4.570000,4.485993,346098269
2020-02-26,4.500000,4.500000,4.350000,4.360000,4.279853,351814213
2020-02-27,4.360000,4.440000,4.310000,4.410000,4.328934,169457473
2020-02-28,4.280000,4.350000,4.160000,4.160000,4.083529,260306946
2020-03-02,4.150000,4.340000,4.150000,4.300000,4.220956,190485086
2020-03-03,4.350000,4.410000,4.280000,4.300000,4.220956,170989183
2020-03-04,4.400000,4.430000,4.270000,4.330000,4.250404,246941406
2020-03-05,4.300000,4.370000,4.300000,4.350000,4.270037,190491581
2020-03-06,4.400000,4.420000,4.350000,4.380000,4.299485,245260315
2020-03-09,4.380000,4.380000,4.060000,4.080000,4.005000,415442811
2020-03-10,3.960000,4.070000,3.920000,4.040000,3.965735,361726473
2020-03-11,4.050000,4.110000,4.020000,4.020000,3.946103,223741044
2020-03-12,3.910000,3.950000,3.860000,3.920000,3.847941,221317398
2020-03-13,3.640000,3.890000,3.550000,3.840000,3.769412,318814188
2020-03-16,3.840000,3.840000,3.600000,3.640000,3.573088,253454001
2020-03-17,3.620000,3.690000,3.360000,3.480000,3.416029,340711251
2020-03-18,3.530000,3.580000,3.400000,3.410000,3.347316,242283744
2020-03-19,3.300000,3.380000,3.280000,3.360000,3.298235,306868416
2020-03-20,3.400000,3.490000,3.330000,3.460000,3.396397,225092925
2020-03-23,3.370000,3.540000,3.330000,3.460000,3.396397,315355988
2020-03-24,3.720000,3.800000,3.610000,3.740000,3.671250,542024272
2020-03-25,3.900000,3.910000,3.780000,3.800000,3.730147,364931212
2020-03-26,3.730000,3.850000,3.690000,3.770000,3.700698,246570302
2020-03-27,3.790000,3.830000,3.770000,3.790000,3.720331,201100657
2020-03-30,3.710000,3.780000,3.670000,3.690000,3.622169,176598747
2020-03-31,3.690000,3.730000,3.660000,3.690000,3.622169,135420854
2020-04-01,3.640000,3.730000,3.600000,3.730000,3.661434,175852865
2020-04-02,3.660000,3.700000,3.630000,3.700000,3.631985,168837319
2020-04-03,3.700000,3.800000,3.690000,3.700000,3.631985,210445660
2020-04-07,3.820000,4.020000,3.790000,3.970000,3.897022,426568703
2020-04-08,3.900000,3.990000,3.880000,3.950000,3.877390,185435271
2020-04-09,3.950000,3.980000,3.910000,3.950000,3.877390,152568999
2020-04-10,4.090000,4.100000,3.950000,3.970000,3.897022,288564084
2020-04-13,3.960000,4.050000,3.940000,4.000000,3.926471,146092977
2020-04-14,4.100000,4.360000,4.060000,4.280000,4.201324,503774392
2020-04-15,4.230000,4.350000,4.220000,4.260000,4.181691,271626614
2020-04-16,4.200000,4.250000,4.140000,4.250000,4.171875,273389790
2020-04-17,4.170000,4.200000,4.080000,4.130000,4.054081,272941414
2020-04-20,4.080000,4.170000,4.040000,4.140000,4.063897,171816787
2020-04-21,4.120000,4.160000,4.030000,4.090000,4.014816,159913476
2020-04-22,4.050000,4.090000,4.020000,4.060000,3.985368,156436189
2020-04-23,4.160000,4.210000,4.100000,4.150000,4.073713,264954481
2020-04-24,4.130000,4.250000,4.110000,4.230000,4.152243,296695090
2020-04-27,3.980000,4.000000,3.810000,3.840000,3.769412,588580643
2020-04-28,3.840000,3.980000,3.760000,3.970000,3.897022,392069148
2020-04-29,3.970000,4.000000,3.890000,3.920000,3.847941,139861213
2020-04-30,3.920000,3.950000,3.860000,3.910000,3.838125,182031895
2020-05-06,3.910000,3.980000,3.900000,3.960000,3.887206,149217826
2020-05-07,3.930000,4.030000,3.920000,3.950000,3.877390,152442431
2020-05-08,4.030000,4.050000,3.970000,4.010000,3.936287,148640409
2020-05-11,3.990000,4.020000,3.940000,3.950000,3.877390,129290571
2020-05-12,3.930000,3.940000,3.860000,3.880000,3.808676,161932416
2020-05-13,3.880000,3.900000,3.850000,3.880000,3.808676,108110906
2020-05-14,3.890000,3.900000,3.800000,3.830000,3.759595,132539659
2020-05-15,3.870000,3.960000,3.850000,3.940000,3.867573,211454554
2020-05-18,4.030000,4.190000,3.990000,4.140000,4.063897,370651359
2020-05-19,4.080000,4.110000,4.000000,4.020000,3.946103,208508107
2020-05-20,4.090000,4.160000,4.050000,4.120000,4.044264,186283802
2020-05-21,4.110000,4.150000,4.010000,4.030000,3.955919,145381960
2020-05-22,3.970000,3.980000,3.880000,3.920000,3.847941,155083436
2020-05-25,3.890000,3.890000,3.810000,3.840000,3.769412,141222959
2020-05-26,3.870000,3.920000,3.850000,3.880000,3.808676,114431254
2020-05-27,3.830000,3.840000,3.780000,3.800000,3.730147,155699736
2020-05-28,3.820000,3.860000,3.790000,3.830000,3.759595,142375582
2020-05-29,3.780000,3.820000,3.750000,3.780000,3.710515,144738024
2020-06-01,3.810000,3.910000,3.800000,3.890000,3.818493,204161218
2020-06-02,3.890000,3.920000,3.840000,3.880000,3.808676,140908222
2020-06-03,3.880000,3.980000,3.860000,3.930000,3.857757,181300723
2020-06-04,3.880000,3.900000,3.840000,3.850000,3.779228,153906963
2020-06-05,3.870000,3.870000,3.810000,3.820000,3.749779,122956377
2020-06-08,3.870000,4.030000,3.870000,4.010000,3.936287,358920554
2020-06-09,4.030000,4.060000,3.990000,4.040000,3.965735,176534926
2020-06-10,4.100000,4.120000,3.980000,4.010000,3.936287,134188940
2020-06-11,4.080000,4.140000,4.030000,4.050000,3.975552,204945094
2020-06-12,3.930000,4.000000,3.910000,3.970000,3.897022,156647213
2020-06-15,3.970000,4.000000,3.910000,3.910000,3.838125,138581732
2020-06-16,3.930000,4.020000,3.920000,4.000000,3.926471,153538189
2020-06-17,3.980000,4.030000,3.940000,4.030000,3.955919,164785221
2020-06-18,4.030000,4.180000,3.990000,4.150000,4.073713,315164328
2020-06-19,4.150000,4.200000,4.110000,4.160000,4.083529,195915169
2020-06-22,4.210000,4.340000,4.200000,4.250000,4.171875,283332700
2020-06-23,4.280000,4.310000,4.210000,4.240000,4.162058,145361538
2020-06-24,4.330000,4.410000,4.320000,4.380000,4.299485,240447058
2020-06-29,4.370000,4.440000,4.300000,4.370000,4.289669,191705099
2020-06-30,4.370000,4.420000,4.310000,4.400000,4.319118,159963505
2020-07-01,4.470000,4.700000,4.470000,4.590000,4.505625,336231585
2020-07-02,4.510000,4.650000,4.510000,4.620000,4.535073,272079411
2020-07-03,4.600000,4.790000,4.580000,4.750000,4.662684,330125513
2020-07-06,4.770000,5.130000,4.770000,5.110000,5.016066,525666214
2020-07-07,5.200000,5.450000,5.120000,5.130000,5.035698,463256282
2020-07-08,5.160000,5.600000,5.140000,5.580000,5.477427,565314765
2020-07-09,5.650000,6.140000,5.650000,6.140000,6.027132,690230769
2020-07-10,6.000000,6.000000,5.640000,5.660000,5.555955,623383160
2020-07-13,5.830000,6.070000,5.810000,6.000000,5.889706,576155693
2020-07-14,5.780000,5.950000,5.700000,5.820000,5.713015,426061465
2020-07-15,5.850000,5.940000,5.600000,5.650000,5.546140,368158621
2020-07-16,5.580000,5.780000,5.400000,5.440000,5.340000,308009085
2020-07-17,5.300000,5.440000,5.210000,5.350000,5.350000,243140716
2020-07-20,5.460000,5.620000,5.420000,5.610000,5.610000,380512078
2020-07-21,5.710000,5.780000,5.600000,5.680000,5.680000,298565081
2020-07-22,6.010000,6.080000,5.820000,5.850000,5.850000,383973288
2020-07-23,5.930000,5.950000,5.620000,5.820000,5.820000,301245232
2020-07-24,5.780000,5.870000,5.540000,5.630000,5.630000,359066869
2020-07-27,5.770000,6.040000,5.690000,6.020000,6.020000,581687445
2020-07-28,6.230000,6.300000,5.700000,5.760000,5.760000,641076131
2020-07-29,5.760000,5.760000,5.580000,5.740000,5.740000,419692243
2020-07-30,5.770000,5.860000,5.630000,5.650000,5.650000,294110303
2020-07-31,5.700000,5.850000,5.630000,5.850000,5.850000,349910752
2020-08-03,5.800000,5.880000,5.710000,5.840000,5.840000,300128601
2020-08-04,5.830000,5.950000,5.760000,5.790000,5.790000,285044601
2020-08-05,5.970000,6.050000,5.820000,6.040000,6.040000,471020397
2020-08-06,6.090000,6.600000,6.080000,6.570000,6.570000,718268728
2020-08-07,6.570000,6.980000,6.510000,6.640000,6.640000,728252315
2020-08-10,6.370000,6.430000,6.200000,6.330000,6.330000,408542646
2020-08-11,6.200000,6.350000,6.000000,6.030000,6.030000,398065552
2020-08-12,5.590000,5.760000,5.440000,5.700000,5.700000,596546485
2020-08-13,5.710000,5.770000,5.600000,5.720000,5.720000,197710106
2020-08-14,5.740000,5.920000,5.700000,5.780000,5.780000,181252163
2020-08-17,5.750000,6.160000,5.690000,6.110000,6.110000,317021993
2020-08-18,6.270000,6.410000,6.180000,6.360000,6.360000,305112729
2020-08-19,6.360000,6.520000,6.280000,6.500000,6.500000,452817743
2020-08-20,6.190000,6.550000,6.100000,6.320000,6.320000,355196078
2020-08-21,6.330000,6.400000,6.160000,6.200000,6.200000,206465167
2020-08-24,6.330000,6.800000,6.260000,6.700000,6.700000,492134402
2020-08-25,6.760000,6.760000,6.340000,6.600000,6.600000,368169777
2020-08-26,6.530000,6.720000,6.430000,6.530000,6.530000,264105493
2020-08-27,6.640000,6.710000,6.420000,6.480000,6.480000,186834777
2020-08-28,6.430000,6.690000,6.290000,6.650000,6.650000,259636921
2020-08-31,6.770000,7.320000,6.760000,7.190000,7.190000,742173343
2020-09-01,7.200000,7.490000,7.150000,7.340000,7.340000,444801357
2020-09-02,7.250000,7.310000,7.020000,7.130000,7.130000,346897511
2020-09-03,7.010000,7.250000,6.950000,7.060000,7.060000,270134571
2020-09-04,6.920000,7.190000,6.910000,7.000000,7.000000,223535260
2020-09-07,7.100000,7.430000,6.970000,7.090000,7.090000,350756184
2020-09-08,6.990000,7.120000,6.710000,7.040000,7.040000,303935364
2020-09-09,6.840000,6.990000,6.710000,6.730000,6.730000,233008778
2020-09-10,6.900000,7.170000,6.830000,6.980000,6.980000,343475741
2020-09-11,6.900000,6.960000,6.730000,6.910000,6.910000,214292288
2020-09-14,7.000000,7.240000,6.850000,7.140000,7.140000,286499184
2020-09-15,7.200000,7.280000,7.110000,7.170000,7.170000,237318149
2020-09-16,7.050000,7.140000,6.920000,7.040000,7.040000,168620765
2020-09-17,6.980000,6.990000,6.740000,6.800000,6.800000,233631054
2020-09-18,6.860000,7.050000,6.820000,7.030000,7.030000,220922464
2020-09-21,7.000000,7.110000,6.830000,6.870000,6.870000,198003684
2020-09-22,6.600000,6.770000,6.510000,6.560000,6.560000,281916503
2020-09-23,6.580000,6.630000,6.380000,6.450000,6.450000,256802497
2020-09-24,6.270000,6.300000,6.000000,6.020000,6.020000,394361753
2020-09-25,6.150000,6.240000,6.100000,6.200000,6.200000,220718804
2020-09-28,6.220000,6.280000,6.090000,6.190000,6.190000,155839487
2020-09-29,6.340000,6.420000,6.160000,6.190000,6.190000,208115087
2020-09-30,6.250000,6.290000,6.070000,6.150000,6.150000,160117715
2020-10-09,6.250000,6.280000,6.150000,6.220000,6.220000,254255997
2020-10-12,6.270000,6.590000,6.270000,6.580000,6.580000,283980140
2020-10-13,6.540000,6.600000,6.420000,6.580000,6.580000,142469824
2020-10-14,6.410000,6.540000,6.370000,6.490000,6.490000,125442996
2020-10-15,6.510000,6.670000,6.490000,6.560000,6.560000,132363029
2020-10-16,6.700000,6.820000,6.560000,6.590000,6.590000,164105665
2020-10-19,6.600000,6.710000,6.490000,6.680000,6.680000,146237282
2020-10-20,6.710000,6.820000,6.570000,6.750000,6.750000,181648607
2020-10-21,6.880000,7.040000,6.880000,6.970000,6.970000,250975220
2020-10-22,6.980000,7.000000,6.860000,6.960000,6.960000,132248568
2020-10-23,6.870000,7.030000,6.870000,6.910000,6.910000,123050431
2020-10-26,6.910000,7.070000,6.770000,7.040000,7.040000,187101086
2020-10-27,7.000000,7.100000,6.980000,7.070000,7.070000,125888167
2020-10-28,7.050000,7.230000,7.000000,7.160000,7.160000,165674101
2020-10-29,6.920000,7.080000,6.880000,7.010000,7.010000,150836485
2020-10-30,7.040000,7.280000,6.950000,6.990000,6.990000,196605879
2020-11-02,7.070000,7.220000,7.000000,7.190000,7.190000,202034380
2020-11-03,7.250000,7.890000,7.220000,7.650000,7.650000,416717738
2020-11-04,7.650000,7.730000,7.510000,7.670000,7.670000,198735271
2020-11-05,7.740000,7.780000,7.510000,7.660000,7.660000,217953241
2020-11-06,7.850000,8.030000,7.760000,7.900000,7.900000,318343976
2020-11-09,8.020000,8.170000,7.950000,8.130000,8.130000,293704261
2020-11-10,7.750000,7.860000,7.610000,7.700000,7.700000,389531053
2020-11-11,7.680000,7.750000,7.500000,7.530000,7.530000,223126301
2020-11-12,7.470000,7.720000,7.340000,7.670000,7.670000,248024070
2020-11-13,7.700000,7.770000,7.520000,7.640000,7.640000,155571312
2020-11-16,7.780000,8.300000,7.780000,8.190000,8.190000,400916661
